**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 6

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
Mn,  0.00038,  0.00037,  0.00070,  0.00089,  0.00115,  0.00159,  0.00092,  0.00036,  0.38911,  0.93924
Fe,  0.07544,  0.04640,  0.08817,  0.10432,  0.12335,  0.14650,  0.10229,  0.02798,  0.27350,  0.37087
Zn,  0.00013,  0.00000,  0.00038,  0.00084,  0.00120,  0.00185,  0.00084,  0.00057,  0.67824,  4.40643
Br,  0.00105,  0.00102,  0.00103,  0.00105,  0.00115,  0.00116,  0.00108,  0.00006,  0.05326,  0.05442
Pb,  0.00019,  0.00019,  0.00022,  0.00028,  0.00035,  0.00045,  0.00030,  0.00009,  0.28981,  0.45655

Factor 4,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 15.87500, 11.78000, 13.42050, 20.01400, 20.77025, 22.98200, 18.29480,  4.08333,  0.22320,  0.25722
Na,  0.00744,  0.00000,  0.00587,  0.00731,  0.00767,  0.01034,  0.00702,  0.00244,  0.34752,  0.32772
Mg,  0.07728,  0.00000,  0.04134,  0.10124,  0.10652,  0.12466,  0.08389,  0.03907,  0.46571,  0.50554
Al,  0.45877,  0.01478,  0.24593,  0.57130,  0.60844,  0.67874,  0.47309,  0.21094,  0.44588,  0.45980
Si,  1.77570,  0.80336,  1.23783,  2.21950,  2.32363,  2.61240,  1.95588,  0.61571,  0.31480,  0.34674
P,  0.00024,  0.00000,  0.00000,  0.00000,  0.00000,  0.00024,  0.00002,  0.00007,  3.08902,  0.28587
S,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Cl,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
K,  0.13416,  0.07688,  0.10047,  0.16499,  0.17238,  0.19153,  0.14792,  0.03996,  0.27011,  0.29782
Ca,  0.56576,  0.49586,  0.56393,  0.71995,  0.77189,  0.82571,  0.68420,  0.11844,  0.17311,  0.20935
Ti,  0.04930,  0.02633,  0.03567,  0.06144,  0.06429,  0.07179,  0.05476,  0.01603,  0.29271,  0.32516
V,  0.00142,  0.00108,  0.00123,  0.00179,  0.00185,  0.00205,  0.00164,  0.00035,  0.21432,  0.24654
Mn,  0.01136,  0.00792,  0.00899,  0.01427,  0.01480,  0.01658,  0.01296,  0.00321,  0.24757,  0.28251
