**** Analysis Summary ****

Time of run: ,10/16/15 20:14
Concentration file: ,E:\pmf_fa\RIcH.csv
Uncertainty file: ,E:\pmf_fa\RIcHunc.csv
Configuration file: ,


**** Input Data Statistics ****

Species,Category,S/N,Min,25th,Median,75th,Max,% Modeled Samples,% Raw Samples
8                    2,1.80375,155.59161,47.78433,57.07033,68.54574,71.72232,6.35447,17.88461,369.51923,1254.99078,22.15105,6.22947,43.91888,33.68805,603.31574,1.60176,35.95638,
8                    3,0.00044,0.00754,0.01962,0.00629,0.01505,0.03671,0.00048,0.00077,0.08385,0.78824,0.01710,0.00312,0.01266,0.02910,0.25594,0.00020,0.02430,
8                    4,2.26610,155.90233,47.91856,57.01864,68.76363,71.86943,6.55737,17.94929,412.73731,1257.50900,22.31873,6.19238,44.78794,58.06009,604.42241,1.59293,36.12960,
8                    5,0.00772,0.00559,0.00501,0.00275,0.00441,0.00930,0.00451,0.00099,0.73997,0.20658,0.00785,0.00085,0.01559,0.44162,0.06983,0.00033,0.00799,
8                    6,2.45181,155.63678,47.81918,56.73087,68.47425,71.96810,6.75453,17.94099,435.71391,1258.34115,22.34671,6.21168,45.22277,64.67157,606.49470,1.59749,36.59259,
8                    7,2.66457,156.15019,47.88124,56.76731,68.57963,72.07803,6.91620,17.98928,456.19542,1259.79212,22.42431,6.21681,45.67290,75.57673,609.45407,1.59818,36.76441,
9                    1,0.06641,0.00089,0.00358,0.00438,0.00542,0.00460,0.03037,0.00041,6.25200,0.01076,0.03021,0.00029,0.08941,3.69526,0.30292,0.00044,0.05095,
9                    2,0.00323,0.00097,0.00027,0.00048,0.00063,0.00041,0.00171,0.00008,0.31827,0.00062,0.00152,0.00006,0.00465,0.16458,0.03261,0.00009,0.00441,
9                    3,1.85187,155.91731,46.92320,56.22572,67.22322,70.03109,6.37385,17.83304,373.79955,1240.10051,21.98441,6.17401,43.43531,35.45527,594.99473,1.57867,35.02335,
9                    4,0.13769,0.00145,0.00390,0.00870,0.01130,0.00693,0.06037,0.00099,12.85198,0.02025,0.06067,0.00131,0.18399,7.85922,0.48563,0.00066,0.09027,
9                    5,1.80271,155.11548,47.28876,56.69411,67.85035,70.96681,6.29162,17.87297,367.87668,1248.72654,22.15636,6.22197,43.64737,32.55474,597.77601,1.59098,35.52350,
9                    6,0.19531,0.00129,0.00631,0.01106,0.01302,0.01092,0.08869,0.00125,18.12490,0.03027,0.08841,0.00081,0.25950,11.39740,0.53889,0.00100,0.11339,
9                    7,0.29972,0.00337,0.01013,0.01722,0.01887,0.01689,0.13580,0.00268,27.82399,0.04690,0.13754,0.00121,0.39970,17.83493,0.88067,0.00164,0.17768,
9                    8,1.86392,155.46565,47.75161,56.93834,68.40672,71.76392,6.40861,17.89072,376.99536,1255.30154,22.16327,6.23436,44.05491,35.66797,604.00552,1.60116,36.02623,
10                    1,0.38546,0.00389,0.01639,0.03543,0.03744,0.02571,0.17861,0.00858,35.91883,0.05646,0.17368,0.00542,0.53265,24.70622,2.10915,0.00378,0.33258,
10                    2,0.84986,0.00629,0.02245,0.05514,0.05663,0.04331,0.38986,0.01152,78.55784,0.12538,0.38836,0.00610,1.14199,53.21477,2.47746,0.00593,0.50030,
10                    3,3.25247,157.11709,47.47970,56.74961,68.48965,70.56974,6.93506,18.06547,497.21292,1247.50820,22.61206,6.10096,45.99419,119.10370,602.89913,1.57015,35.64899,
10                    4,0.24875,0.00338,0.00772,0.01857,0.01704,0.01356,0.11699,0.00651,22.74900,0.03849,0.11590,0.00193,0.33680,16.70753,0.76092,0.00272,0.14867,
10                    5,3.05553,156.31509,47.84680,57.21235,69.11586,71.50852,6.78798,18.10252,477.54697,1256.18003,22.71946,6.14718,46.00371,106.89854,605.41091,1.58080,36.08484,
10                    6,0.18869,0.00411,0.01002,0.02119,0.02203,0.01368,0.08842,0.00583,17.66547,0.02855,0.08567,0.00330,0.26536,12.36549,1.26439,0.00242,0.18654,
10                    7,0.11317,0.00262,0.00958,0.01651,0.01860,0.01161,0.05540,0.00352,10.88421,0.01647,0.04932,0.00296,0.16580,7.13504,1.32619,0.00174,0.17305,
10                    8,3.26471,156.66171,48.31696,57.46570,69.68158,72.31285,6.96911,18.12327,500.46453,1262.83777,22.78790,6.16060,46.62287,119.07497,611.96415,1.59249,36.65852,
10                    9,0.75499,0.00579,0.02153,0.05158,0.05307,0.03919,0.34457,0.01137,69.76227,0.11127,0.34390,0.00628,1.01722,47.47391,2.42424,0.00532,0.46825,
11                    1,0.47179,0.00433,0.01303,0.03085,0.02842,0.02447,0.22280,0.01010,42.90568,0.07021,0.21910,0.00293,0.63575,31.34014,1.27705,0.00400,0.26601,
11                    2,0.99050,0.00657,0.02826,0.05829,0.05672,0.05187,0.46429,0.01341,90.99833,0.14883,0.45929,0.00427,1.32764,62.79551,2.63439,0.00687,0.55388,
11                    3,3.55137,157.00226,47.35380,56.34324,68.05536,70.59810,7.28099,18.05414,532.62119,1248.09926,22.62374,6.12624,46.63028,131.56636,605.41576,1.57709,36.23248,
11                    4,0.32999,0.00342,0.01231,0.02074,0.01807,0.01930,0.16058,0.00806,30.00142,0.05220,0.15639,0.00123,0.44557,22.25795,1.09780,0.00345,0.20379,
11                    5,3.34235,156.20086,47.71781,56.80206,68.67642,71.53505,7.12520,18.09073,511.80934,1256.77073,22.72535,6.17291,46.62226,118.50775,607.84983,1.58747,36.65518,
11                    6,0.25021,0.00491,0.00713,0.01679,0.01455,0.01233,0.11990,0.00713,22.59588,0.03818,0.11803,0.00143,0.33801,17.17392,0.65718,0.00259,0.13651,
11                    7,0.15663,0.00107,0.00444,0.01085,0.00964,0.00780,0.07672,0.00443,14.07672,0.02295,0.07309,0.00107,0.21234,10.87114,0.44368,0.00169,0.08986,
11                    8,3.56401,156.54776,48.18799,57.05584,69.24182,72.34073,7.31550,18.11182,535.95412,1263.43686,22.80004,6.18627,47.26241,131.51452,614.37692,1.59942,37.23230,
11                    9,0.88509,0.00733,0.02535,0.05258,0.05041,0.04531,0.41292,0.01324,81.07658,0.13277,0.41001,0.00417,1.18571,56.53963,2.29874,0.00608,0.48916,
11                    10,0.01239,0.00183,0.00558,0.00508,0.00655,0.00529,0.00817,0.00031,1.50445,0.00259,0.00503,0.00088,0.02371,0.41265,0.70085,0.00048,0.07720,
