**** Analysis Summary ****

Time of run: ,07/07/15 17:06
Concentration file: ,E:\pmf\JFcH.csv
Uncertainty file: ,E:\pmf\JFcHunc.csv
Configuration file: ,


**** Input Data Statistics ****

Species,Category,S/N,Min,25th,Median,75th,Max,% Modeled Samples,% Raw Samples
mass,Weak,     10.0,  2.45000, 25.79000, 34.16000, 61.17500,3318.47000, 100.00 %, 100.00 %
8                    6,0.00475,0.00372,0.00038,0.01390,0.03994,0.05369,6.73634,0.01076,2.88556,0.12097,0.00876,0.00530,0.00265,0.00854,0.00348,0.02059,0.01051,0.16890,0.62132,0.00126,0.00151,0.00011,0.05915,1.20774,
8                    7,0.00749,0.00605,0.00039,0.00882,0.02039,0.05645,2.98971,0.00764,1.74563,0.09060,0.00543,0.00701,0.00466,0.00893,0.00349,0.03427,0.01663,0.30402,0.39586,0.00181,0.00209,0.00012,0.09364,1.28436,
9                    1,0.01224,0.00772,0.00088,0.01983,0.06896,0.08237,7.75010,0.05527,4.38870,0.44715,0.01443,0.00879,0.00488,0.01798,0.02241,0.03669,0.01835,0.32954,0.80863,0.00210,0.00305,0.00043,0.10136,2.45828,
9                    2,0.00509,0.00571,0.00058,0.00757,0.02321,0.03330,1.50810,0.03795,0.94482,0.08308,0.00502,0.00408,0.00296,0.00650,0.00676,0.02034,0.01057,0.19111,0.27813,0.00114,0.00157,0.00031,0.05391,1.29107,
9                    3,0.00637,0.00505,0.00041,0.00738,0.02119,0.04723,3.14082,0.01750,1.62199,0.08553,0.00463,0.00562,0.00370,0.00841,0.00433,0.02568,0.01380,0.23634,0.47089,0.00149,0.00174,0.00018,0.07043,1.22323,
9                    4,0.00611,0.00450,0.00027,0.00408,0.01096,0.04353,2.37260,0.00283,1.40718,0.06193,0.00248,0.00569,0.00374,0.00727,0.00233,0.02661,0.01399,0.24889,0.47618,0.00154,0.00182,0.00010,0.07358,1.02257,
9                    5,0.00105,0.00034,0.00003,0.00038,0.00124,0.00393,0.38794,0.00028,0.28433,0.03456,0.00030,0.00040,0.00020,0.00123,0.00144,0.00125,0.00071,0.01288,0.03821,0.00012,0.00014,0.00003,0.00370,0.08920,
9                    6,0.00345,0.00363,0.00028,0.00374,0.00757,0.02856,1.21602,0.00106,0.74663,0.02567,0.00205,0.00388,0.00252,0.00411,0.00073,0.01859,0.00929,0.17083,0.23156,0.00107,0.00125,0.00010,0.05138,0.66848,
9                    7,0.00519,0.00156,0.00012,0.00242,0.00966,0.02008,1.74059,0.00187,1.31766,0.16399,0.00193,0.00213,0.00125,0.00557,0.00685,0.00814,0.00429,0.08030,0.17944,0.00056,0.00075,0.00009,0.02357,0.44841,
9                    8,0.00416,0.00388,0.00033,0.00879,0.02351,0.04253,3.56597,0.00820,1.73501,0.09031,0.00556,0.00479,0.00278,0.00651,0.00291,0.02162,0.01061,0.18569,0.37614,0.00118,0.00146,0.00010,0.05944,0.98025,
10                    1,0.00672,0.00617,0.00086,0.01744,0.05744,0.06059,5.54859,0.05933,2.63503,0.21000,0.01221,0.00671,0.00402,0.01243,0.01357,0.03002,0.01446,0.25548,0.57286,0.00165,0.00238,0.00043,0.08142,1.92341,
