**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 12

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
Ti,  0.00141,  0.00000,  0.00030,  0.00079,  0.00146,  0.00315,  0.00110,  0.00104,  0.94456,  0.74171
V,  0.00013,  0.00012,  0.00014,  0.00015,  0.00019,  0.00023,  0.00017,  0.00003,  0.19630,  0.25645
Mn,  0.00009,  0.00003,  0.00032,  0.00035,  0.00069,  0.00087,  0.00046,  0.00025,  0.53679,  2.72866
Fe,  0.00068,  0.00000,  0.02356,  0.02550,  0.02661,  0.05191,  0.02560,  0.01534,  0.59937, 22.48214
Zn,  0.00265,  0.00241,  0.00372,  0.00393,  0.00509,  0.00633,  0.00418,  0.00101,  0.24072,  0.38034
Br,  0.00003,  0.00000,  0.00160,  0.00203,  0.00322,  0.00492,  0.00225,  0.00122,  0.54349, 45.29914
Pb,  0.00142,  0.00130,  0.00270,  0.00291,  0.00337,  0.00367,  0.00286,  0.00062,  0.21621,  0.43426
BC,  0.00000,  0.00000,  0.57385,  0.63013,  0.65914,  0.66936,  0.55562,  0.19725,  0.35500,  0.00000

Factor 4,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,  5.85950,  0.85520,  8.79030, 12.67000, 21.24275, 24.87900, 14.13240,  7.59995,  0.53777,  1.29703
Na,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.03106,  0.00155,  0.00694,  4.47214,  0.00000
Mg,  0.06367,  0.01190,  0.12145,  0.23390,  0.31276,  0.34829,  0.21446,  0.11138,  0.51935,  1.74938
Al,  0.39570,  0.03004,  0.87129,  1.37925,  1.89715,  2.12350,  1.32586,  0.65887,  0.49694,  1.66507
Si,  0.71439,  0.05695,  1.93070,  3.33685,  4.54985,  5.08830,  3.13981,  1.61912,  0.51568,  2.26644
P,  0.01255,  0.00000,  0.00030,  0.00427,  0.00802,  0.01577,  0.00533,  0.00554,  1.03976,  0.44137
S,  0.20172,  0.00000,  0.00000,  0.09374,  0.15394,  0.31895,  0.09967,  0.10457,  1.04916,  0.51838
Cl,  0.00299,  0.00000,  0.03067,  0.09037,  0.12960,  0.20703,  0.08174,  0.06233,  0.76256, 20.84393
K,  0.04099,  0.00000,  0.09554,  0.31950,  0.50848,  0.59768,  0.31034,  0.21241,  0.68443,  5.18219
Ca,  0.35286,  0.00000,  0.00000,  0.15715,  0.20250,  0.45698,  0.14375,  0.14223,  0.98937,  0.40307
Ti,  0.03144,  0.00119,  0.05285,  0.06913,  0.10287,  0.12026,  0.07176,  0.03519,  0.49035,  1.11912
V,  0.00054,  0.00003,  0.00053,  0.00079,  0.00129,  0.00167,  0.00089,  0.00045,  0.50821,  0.83274
Mn,  0.00206,  0.00000,  0.00714,  0.01281,  0.01810,  0.02034,  0.01219,  0.00668,  0.54759,  3.23744
Fe,  0.27869,  0.00000,  0.44957,  0.56207,  0.80232,  0.99065,  0.58702,  0.25846,  0.44030,  0.92742
Zn,  0.00000,  0.00000,  0.00226,  0.00428,  0.00763,  0.00904,  0.00460,  0.00311,  0.67633,  0.00000
Br,  0.00156,  0.00000,  0.00000,  0.00012,  0.00094,  0.01912,  0.00135,  0.00421,  3.12648,  2.70480
Pb,  0.00000,  0.00000,  0.00109,  0.00220,  0.00359,  0.00421,  0.00216,  0.00147,  0.67988,  0.00000
BC,  0.62981,  0.00000,  0.06417,  0.24504,  0.26598,  0.72088,  0.24726,  0.24008,  0.97096,  0.38120

Factor 5,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 13.51900,  9.33710,  9.66760, 10.16550, 11.64125, 14.71800, 11.01089,  1.67413,  0.15204,  0.12384
Na,  0.03790,  0.02123,  0.02640,  0.03650,  0.05462,  0.10870,  0.04261,  0.02057,  0.48268,  0.54268
Mg,  0.00000,  0.00000,  0.00000,  0.00000,  0.00608,  0.02396,  0.00427,  0.00747,  1.74806,  0.00000
Al,  0.20031,  0.07629,  0.08790,  0.13058,  0.15747,  0.28590,  0.14244,  0.06153,  0.43199,  0.30719
Si,  0.34594,  0.04562,  0.11504,  0.12408,  0.27748,  0.54981,  0.21092,  0.14556,  0.69012,  0.42076
P,  0.00137,  0.00000,  0.00000,  0.00000,  0.00366,  0.00622,  0.00154,  0.00219,  1.42768,  1.59935
S,  0.04729,  0.00000,  0.00000,  0.03385,  0.09144,  0.15401,  0.04565,  0.04875,  1.06785,  1.03081
Cl,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
K,  0.33743,  0.08186,  0.16178,  0.22424,  0.32842,  0.47394,  0.24615,  0.10967,  0.44553,  0.32501
Ca,  0.10889,  0.00000,  0.00001,  0.10091,  0.16516,  0.22594,  0.09450,  0.08127,  0.85995,  0.74632
Ti,  0.01423,  0.00383,  0.00445,  0.01169,  0.01359,  0.01961,  0.01060,  0.00517,  0.48792,  0.36347
V,  0.00075,  0.00052,  0.00057,  0.00058,  0.00065,  0.00083,  0.00062,  0.00008,  0.12599,  0.10393
Mn,  0.00431,  0.00222,  0.00314,  0.00341,  0.00350,  0.00431,  0.00331,  0.00056,  0.16918,  0.12994
Fe,  0.17233,  0.07720,  0.09239,  0.13865,  0.20771,  0.22280,  0.14943,  0.05255,  0.35164,  0.30492
Zn,  0.01459,  0.00778,  0.00784,  0.00925,  0.01350,  0.01736,  0.01101,  0.00325,  0.29466,  0.22250
Br,  0.00321,  0.00000,  0.00000,  0.00155,  0.00313,  0.00510,  0.00190,  0.00173,  0.91015,  0.53859
Pb,  0.00788,  0.00475,  0.00480,  0.00549,  0.00809,  0.01008,  0.00653,  0.00178,  0.27295,  0.22615
BC,  2.09310,  1.50680,  1.52250,  1.98770,  2.20045,  2.55910,  1.93710,  0.35303,  0.18225,  0.16866

Factor 6,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,  0.69936,  0.69936,  7.02560, 10.58100, 15.99100, 27.08500, 11.98716,  7.41350,  0.61845, 10.60040
Na,  0.03095,  0.00000,  0.00000,  0.00000,  0.00000,  0.03095,  0.00162,  0.00691,  4.27534,  0.22330
Mg,  0.01435,  0.01435,  0.03508,  0.03867,  0.05521,  0.35532,  0.08594,  0.11201,  1.30325,  7.80317
Al,  0.03695,  0.03695,  0.38291,  0.40074,  0.41027,  2.22910,  0.62541,  0.66916,  1.06995, 18.10799
Si,  0.06676,  0.06676,  0.76960,  0.78816,  0.98888,  5.28470,  1.44346,  1.61340,  1.11772, 24.16638
P,  0.00000,  0.00000,  0.00000,  0.00013,  0.01556,  0.01582,  0.00629,  0.00781,  1.24189,  0.00000
S,  0.04109,  0.00000,  0.03968,  0.22186,  0.29633,  0.31799,  0.16936,  0.13033,  0.76951,  3.17178
Cl,  0.00000,  0.00000,  0.00000,  0.00000,  0.02379,  0.15655,  0.02243,  0.04773,  2.12822,  0.00000
K,  0.04502,  0.00000,  0.00058,  0.46010,  0.62426,  0.77417,  0.33262,  0.31808,  0.95629,  7.06594
Ca,  0.01508,  0.00000,  0.00377,  0.20262,  0.30851,  0.34268,  0.16950,  0.13941,  0.82245,  9.24696
Ti,  0.00174,  0.00174,  0.01982,  0.02850,  0.03069,  0.12568,  0.03753,  0.03647,  0.97162, 20.96727
V,  0.00003,  0.00003,  0.00045,  0.00059,  0.00064,  0.00169,  0.00069,  0.00042,  0.61555, 14.36400
Mn,  0.00000,  0.00000,  0.00282,  0.00376,  0.00504,  0.02130,  0.00630,  0.00646,  1.02605,  0.00000
Fe,  0.00421,  0.00000,  0.10106,  0.31867,  0.33812,  0.97945,  0.30742,  0.29836,  0.97051, 70.87041
