**** Analysis Summary ****

Time of run: ,07/07/15 17:08
Concentration file: ,E:\pmf\JIcH.csv
Uncertainty file: ,E:\pmf\JIcHunc.csv
Configuration file: ,


**** Input Data Statistics ****

Species,Category,S/N,Min,25th,Median,75th,Max,% Modeled Samples,% Raw Samples
mass,Weak,     10.0,  7.83000, 50.88500, 69.59500,117.46250,1255.81000, 100.00 %, 100.00 %
8                    7,0.00903,0.08144,0.00912,0.01930,0.01861,0.08159,5.31993,1.90814,3.46920,0.94135,0.01842,0.00167,0.00514,0.00453,0.01684,0.01204,0.01470,0.20156,0.36519,0.00091,0.01525,0.00074,0.03829,
9                    1,0.05287,0.89184,0.15427,0.19080,0.24319,0.55326,13.27198,22.94594,11.64820,14.78473,0.29368,0.01476,0.05241,0.12902,0.19822,0.10589,0.13145,1.30141,2.88301,0.00810,0.17518,0.00849,0.28710,
9                    2,0.00534,0.00936,0.00139,0.00940,0.00926,0.04115,3.54929,0.19288,2.41803,0.13563,0.00671,0.00062,0.00102,0.00189,0.01419,0.00211,0.00317,0.06536,0.11843,0.00012,0.00173,0.00020,0.01434,
9                    3,0.00153,0.00052,0.00022,0.00380,0.00469,0.01083,0.87891,0.00320,0.72930,0.01250,0.00258,0.00016,0.00020,0.00041,0.00306,0.00042,0.00077,0.01803,0.02274,0.00003,0.00017,0.00005,0.00414,
9                    4,0.01518,0.14474,0.02181,0.03759,0.03978,0.21066,7.66312,3.24593,6.08188,1.97858,0.04764,0.00375,0.01113,0.02183,0.06598,0.01958,0.03323,0.46685,0.75928,0.00155,0.02678,0.00145,0.10487,
9                    5,0.00149,0.01843,0.00231,0.00421,0.00509,0.00970,0.63256,0.42463,0.51596,0.21665,0.00475,0.00030,0.00103,0.00111,0.00226,0.00219,0.00240,0.02294,0.05990,0.00026,0.00324,0.00022,0.00444,
9                    6,0.00330,0.05422,0.00564,0.00764,0.00796,0.04547,1.23675,1.25516,0.93769,0.67211,0.01258,0.00117,0.00367,0.00514,0.01378,0.00682,0.01004,0.12048,0.26312,0.00063,0.00991,0.00049,0.02529,
9                    7,0.02543,0.01400,0.00476,0.05752,0.05925,0.22254,17.42956,0.17856,12.81889,0.27932,0.03426,0.00260,0.00377,0.00754,0.07082,0.00913,0.01565,0.39455,0.47704,0.00021,0.00318,0.00064,0.08163,
9                    8,0.00872,0.05639,0.00667,0.02268,0.02522,0.06749,4.39622,1.28275,3.75659,0.72104,0.02394,0.00123,0.00354,0.00738,0.03119,0.00695,0.00916,0.12389,0.26487,0.00061,0.01049,0.00062,0.02619,
10                    1,0.02331,0.34122,0.05937,0.08149,0.10411,0.16407,3.34233,10.09854,3.19800,7.57654,0.14610,0.00562,0.02024,0.04814,0.06471,0.04371,0.04790,0.39524,0.99973,0.00212,0.07568,0.00319,0.08792,
10                    2,0.01291,0.11913,0.02112,0.03365,0.03744,0.16684,7.57269,2.69596,4.74436,1.61180,0.03266,0.00328,0.00916,0.01421,0.02791,0.01799,0.02708,0.37533,0.61728,0.00155,0.02152,0.00124,0.08544,
10                    3,0.01241,0.19227,0.02791,0.03328,0.03685,0.17495,4.79665,4.39463,3.84136,2.53051,0.04863,0.00384,0.01283,0.02368,0.05171,0.02421,0.03528,0.41941,0.79112,0.00219,0.03553,0.00176,0.09483,
10                    4,0.00623,0.00581,0.00153,0.01522,0.01668,0.04842,4.05238,0.10577,3.05016,0.08739,0.00943,0.00061,0.00092,0.00152,0.01531,0.00232,0.00334,0.08493,0.10615,0.00014,0.00118,0.00019,0.01707,
10                    5,0.00657,0.08931,0.01408,0.01849,0.02075,0.09763,2.74323,2.02876,2.15591,1.22926,0.02518,0.00204,0.00633,0.01297,0.02847,0.01163,0.01807,0.22843,0.40118,0.00106,0.01673,0.00089,0.05210,
