**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 14

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
Ti,  0.01635,  0.00481,  0.00647,  0.01075,  0.01132,  0.01635,  0.00994,  0.00334,  0.33627,  0.20436
V,  0.00054,  0.00044,  0.00054,  0.00056,  0.00057,  0.00096,  0.00061,  0.00014,  0.23025,  0.25892
Mn,  0.00340,  0.00163,  0.00179,  0.00261,  0.00321,  0.00428,  0.00263,  0.00079,  0.30159,  0.23304
Fe,  0.15925,  0.06798,  0.08089,  0.11672,  0.13293,  0.17508,  0.11437,  0.03165,  0.27676,  0.19876
Zn,  0.00796,  0.00416,  0.00669,  0.00728,  0.00930,  0.01715,  0.00878,  0.00374,  0.42589,  0.47000
Br,  0.00000,  0.00000,  0.00078,  0.00194,  0.00204,  0.00496,  0.00179,  0.00134,  0.75060,  0.00000
Pb,  0.00513,  0.00420,  0.00597,  0.00598,  0.00647,  0.01043,  0.00662,  0.00170,  0.25770,  0.33209
BC,  1.42800,  1.42800,  1.87620,  1.88180,  1.97053,  2.81600,  1.99302,  0.35303,  0.17713,  0.24722

Factor 4,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,  1.55430,  0.77811,  0.96397,  1.60675,  1.66440,  1.94700,  1.37886,  0.38575,  0.27976,  0.24818
Na,  0.13639,  0.12316,  0.12862,  0.13879,  0.14151,  0.14623,  0.13575,  0.00683,  0.05035,  0.05011
Mg,  0.02449,  0.02155,  0.02161,  0.02317,  0.02945,  0.03334,  0.02496,  0.00442,  0.17702,  0.18040
Al,  0.02378,  0.00043,  0.01356,  0.01438,  0.03746,  0.08135,  0.02460,  0.02099,  0.85333,  0.88269
Si,  0.06294,  0.00000,  0.00000,  0.01361,  0.10256,  0.18651,  0.04571,  0.06401,  1.40044,  1.01706
P,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00226,  0.00022,  0.00062,  2.86949,  0.00000
S,  0.06821,  0.06821,  0.08323,  0.08546,  0.08919,  0.15678,  0.09215,  0.02252,  0.24442,  0.33019
Cl,  0.41728,  0.38242,  0.39652,  0.39837,  0.41378,  0.42019,  0.40223,  0.00970,  0.02411,  0.02324
K,  0.01844,  0.00000,  0.00000,  0.00000,  0.01079,  0.05421,  0.00724,  0.01482,  2.04758,  0.80366
Ca,  0.00251,  0.00000,  0.00063,  0.02712,  0.03697,  0.06728,  0.02366,  0.01900,  0.80298,  7.56598
Ti,  0.00077,  0.00077,  0.00099,  0.00150,  0.00167,  0.00315,  0.00152,  0.00058,  0.38422,  0.76212
V,  0.00007,  0.00005,  0.00007,  0.00012,  0.00022,  0.00022,  0.00014,  0.00007,  0.50866,  1.01361
Mn,  0.00017,  0.00003,  0.00009,  0.00029,  0.00040,  0.00040,  0.00026,  0.00015,  0.59876,  0.92999
Fe,  0.00000,  0.00000,  0.00087,  0.01356,  0.01396,  0.01832,  0.00916,  0.00641,  0.69931,  0.00000
Zn,  0.00257,  0.00112,  0.00210,  0.00249,  0.00365,  0.00367,  0.00276,  0.00087,  0.31532,  0.33829
Br,  0.00000,  0.00000,  0.00000,  0.00355,  0.00389,  0.00390,  0.00263,  0.00178,  0.67411,  0.00000
Pb,  0.00169,  0.00090,  0.00128,  0.00159,  0.00315,  0.00315,  0.00215,  0.00094,  0.43831,  0.55570
BC,  0.16343,  0.00000,  0.00000,  0.08172,  0.58963,  0.59052,  0.27349,  0.29553,  1.08058,  1.80829

Factor 5,,Statistics Over All Runs
