**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 5

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
BC,  2.48110,  2.47050,  2.47453,  2.47600,  2.47983,  2.48110,  2.47661,  0.00294,  0.00119,  0.00119

Factor 3,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,  3.90120,  3.89450,  3.90148,  3.90420,  3.90610,  3.91590,  3.90409,  0.00409,  0.00105,  0.00105
Na,  0.16834,  0.16821,  0.16838,  0.16843,  0.16850,  0.16870,  0.16844,  0.00011,  0.00066,  0.00066
Mg,  0.01318,  0.01316,  0.01317,  0.01318,  0.01318,  0.01319,  0.01318,  0.00001,  0.00069,  0.00069
Al,  0.00071,  0.00070,  0.00071,  0.00071,  0.00071,  0.00072,  0.00071,  0.00001,  0.00976,  0.00982
Si,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
P,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
S,  0.08282,  0.08243,  0.08262,  0.08282,  0.08293,  0.08310,  0.08278,  0.00019,  0.00232,  0.00232
Cl,  0.40670,  0.40618,  0.40645,  0.40662,  0.40694,  0.40710,  0.40666,  0.00026,  0.00065,  0.00065
K,  0.09186,  0.09165,  0.09186,  0.09191,  0.09203,  0.09228,  0.09193,  0.00013,  0.00145,  0.00145
Ca,  0.03082,  0.03080,  0.03082,  0.03084,  0.03085,  0.03089,  0.03084,  0.00003,  0.00089,  0.00089
Ti,  0.00116,  0.00116,  0.00116,  0.00116,  0.00116,  0.00116,  0.00116,  0.00000,  0.00062,  0.00062
V,  0.00022,  0.00022,  0.00022,  0.00022,  0.00022,  0.00022,  0.00022,  0.00000,  0.00099,  0.00099
Cr,  0.00031,  0.00031,  0.00031,  0.00031,  0.00031,  0.00031,  0.00031,  0.00000,  0.00131,  0.00131
Mn,  0.00044,  0.00044,  0.00044,  0.00044,  0.00044,  0.00044,  0.00044,  0.00000,  0.00135,  0.00135
Fe,  0.00998,  0.00997,  0.00998,  0.00999,  0.01000,  0.01002,  0.00999,  0.00001,  0.00147,  0.00148
Ni,  0.00073,  0.00073,  0.00073,  0.00073,  0.00074,  0.00074,  0.00073,  0.00000,  0.00118,  0.00118
Cu,  0.00198,  0.00198,  0.00198,  0.00198,  0.00199,  0.00199,  0.00198,  0.00000,  0.00072,  0.00072
Zn,  0.00560,  0.00560,  0.00560,  0.00561,  0.00561,  0.00562,  0.00561,  0.00001,  0.00095,  0.00095
Br,  0.00388,  0.00387,  0.00388,  0.00388,  0.00388,  0.00389,  0.00388,  0.00000,  0.00124,  0.00124
