**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 9

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
Ti,  0.00713,  0.00713,  0.00724,  0.01044,  0.01679,  0.02772,  0.01352,  0.00781,  0.57750,  1.09437
V,  0.00037,  0.00037,  0.00037,  0.00047,  0.00074,  0.00089,  0.00053,  0.00018,  0.34514,  0.49508
Mn,  0.00179,  0.00179,  0.00181,  0.00217,  0.00385,  0.00522,  0.00277,  0.00134,  0.48168,  0.74828
Fe,  0.07616,  0.07616,  0.07768,  0.11626,  0.19110,  0.26740,  0.14056,  0.07317,  0.52059,  0.96075
Zn,  0.00936,  0.00668,  0.00936,  0.00938,  0.01369,  0.01992,  0.01119,  0.00328,  0.29297,  0.35029
Br,  0.00405,  0.00187,  0.00403,  0.00406,  0.00519,  0.00944,  0.00455,  0.00150,  0.33092,  0.37142
Pb,  0.00586,  0.00586,  0.00587,  0.00646,  0.00842,  0.01197,  0.00721,  0.00170,  0.23588,  0.29017
BC,  1.41350,  1.41140,  1.41368,  1.88715,  1.94478,  2.77640,  1.77436,  0.39397,  0.22203,  0.27872

Factor 4,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 18.67400, 11.20500, 14.22525, 18.53350, 18.67000, 22.27500, 17.53575,  3.05639,  0.17429,  0.16367
Na,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Mg,  0.23654,  0.04443,  0.12242,  0.23306,  0.23600,  0.26915,  0.18924,  0.07500,  0.39632,  0.31707
Al,  1.57930,  0.57609,  0.85378,  1.56485,  1.57665,  1.88330,  1.31165,  0.41248,  0.31448,  0.26118
Si,  3.75590,  1.51760,  2.14655,  3.72130,  3.74940,  4.45860,  3.16699,  0.90734,  0.28650,  0.24158
P,  0.00978,  0.00000,  0.00415,  0.00974,  0.00980,  0.01057,  0.00757,  0.00391,  0.51659,  0.39958
S,  0.17381,  0.02296,  0.16261,  0.17452,  0.17559,  0.17707,  0.14856,  0.05199,  0.34993,  0.29911
Cl,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.05165,  0.00258,  0.01155,  4.47214,  0.00000
K,  0.35095,  0.19663,  0.26335,  0.35001,  0.35690,  0.63665,  0.36188,  0.12144,  0.33558,  0.34603
Ca,  0.28806,  0.00000,  0.04110,  0.24115,  0.28586,  0.28806,  0.18661,  0.11921,  0.63879,  0.41382
Ti,  0.08444,  0.02777,  0.04242,  0.08347,  0.08415,  0.09496,  0.06830,  0.02254,  0.32994,  0.26691
V,  0.00123,  0.00035,  0.00085,  0.00122,  0.00123,  0.00130,  0.00103,  0.00026,  0.25669,  0.21433
Mn,  0.01276,  0.00504,  0.00764,  0.01254,  0.01271,  0.01405,  0.01061,  0.00280,  0.26400,  0.21952
Fe,  0.70490,  0.22436,  0.35730,  0.69613,  0.70239,  0.77613,  0.56795,  0.18448,  0.32482,  0.26171
Zn,  0.00427,  0.00109,  0.00372,  0.00426,  0.00506,  0.01829,  0.00601,  0.00551,  0.91618,  1.29030
Br,  0.00211,  0.00000,  0.00132,  0.00211,  0.00412,  0.01188,  0.00323,  0.00313,  0.96893,  1.48627
Pb,  0.00190,  0.00000,  0.00186,  0.00190,  0.00216,  0.00636,  0.00232,  0.00198,  0.85394,  1.04068
BC,  0.38369,  0.00000,  0.25203,  0.38465,  0.40765,  0.77181,  0.37187,  0.24155,  0.64956,  0.62955

Factor 5,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,  3.39520,  1.15730,  1.98623,  3.37900,  3.39503,  5.21150,  2.99288,  0.99523,  0.33253,  0.29313
Na,  0.05661,  0.03193,  0.04023,  0.05691,  0.05731,  0.08325,  0.05606,  0.01641,  0.29278,  0.28990
Mg,  0.05600,  0.02299,  0.03225,  0.04742,  0.05602,  0.05609,  0.04409,  0.01286,  0.29161,  0.22958
Al,  0.21867,  0.00016,  0.04457,  0.15261,  0.21865,  0.21896,  0.13223,  0.09074,  0.68623,  0.41497
Si,  0.51684,  0.00000,  0.13801,  0.36142,  0.51684,  0.51760,  0.32348,  0.20359,  0.62937,  0.39391
P,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00288,  0.00041,  0.00093,  2.28589,  0.00000
S,  0.03676,  0.03676,  0.03705,  0.04748,  0.09930,  0.19208,  0.06877,  0.04700,  0.68341,  1.27863
Cl,  0.37999,  0.37111,  0.37989,  0.38035,  0.38553,  0.42574,  0.38800,  0.01864,  0.04804,  0.04906
K,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.13451,  0.01656,  0.03754,  2.26708,  0.00000
Ca,  0.10515,  0.00000,  0.00428,  0.07343,  0.10483,  0.10515,  0.06034,  0.04699,  0.77879,  0.44689
Ti,  0.01479,  0.00126,  0.00173,  0.00953,  0.01477,  0.01479,  0.00855,  0.00636,  0.74360,  0.43015
V,  0.00022,  0.00007,  0.00011,  0.00022,  0.00022,  0.00022,  0.00017,  0.00006,  0.35847,  0.27531
Mn,  0.00221,  0.00005,  0.00047,  0.00145,  0.00220,  0.00221,  0.00133,  0.00090,  0.67965,  0.40878
Fe,  0.13026,  0.00663,  0.01758,  0.08324,  0.13005,  0.13031,  0.07525,  0.05599,  0.74400,  0.42981
Zn,  0.00100,  0.00068,  0.00099,  0.00099,  0.00229,  0.00531,  0.00183,  0.00151,  0.82603,  1.51650
Br,  0.00095,  0.00095,  0.00095,  0.00128,  0.00187,  0.00345,  0.00149,  0.00067,  0.44786,  0.70252
Pb,  0.00120,  0.00095,  0.00120,  0.00120,  0.00206,  0.00220,  0.00150,  0.00045,  0.30371,  0.37769
BC,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.33012,  0.05810,  0.12058,  2.07554,  0.00000

Percent of Species Sum

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 17.61819,  6.96847, 10.28373, 16.15124, 17.61861, 17.71443, 14.29305,  4.12838,  0.28884,  0.23432
Na, 50.06063,  0.00000, 22.09512, 50.16366, 50.50586, 57.45325, 40.14961, 18.68494,  0.46538,  0.37325
Mg,  0.00000,  0.00000,  0.00000,  0.00946,  4.16351,  7.92307,  1.65117,  2.59855,  1.57377,  0.00000
Al,  0.61032,  0.06391,  0.34827,  0.61149,  0.61953,  5.91676,  0.82196,  1.24489,  1.51453,  2.03973
Si,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  6.61555,  0.48124,  1.51120,  3.14019,  0.00000
P, 51.73017, 48.50487, 51.66186, 51.74498, 54.71832, 57.27142, 52.68363,  2.37958,  0.04517,  0.04600
S, 66.17731, 54.86872, 63.95465, 66.07246, 66.16984, 66.36416, 64.40580,  3.06772,  0.04763,  0.04636
Cl,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
K, 34.10612, 16.49151, 21.55274, 31.86477, 34.09507, 34.16912, 28.68738,  6.82519,  0.23792,  0.20012
Ca,  4.58584,  0.00000,  4.58891,  4.70498,  5.41326,  6.63950,  4.56370,  1.38838,  0.30422,  0.30275
Ti,  1.02335,  0.00000,  0.79301,  1.05093,  1.20588,  4.37171,  1.17312,  0.87217,  0.74346,  0.85227
V, 17.37200,  9.09172, 12.42402, 16.87200, 17.40076, 17.51490, 15.45011,  2.61825,  0.16946,  0.15072
Mn,  2.64383,  0.00000,  1.45529,  2.57880,  2.67724,  3.54655,  2.02890,  1.11955,  0.55180,  0.42346
Fe,  2.07670,  0.25161,  1.52556,  2.10073,  2.15045,  4.03352,  1.93936,  0.84076,  0.43353,  0.40486
Zn, 37.36138,  4.13656, 12.12642, 32.09283, 37.35347, 37.47733, 26.64158, 13.14350,  0.49335,  0.35179
Br, 54.01458, 25.18040, 36.86006, 50.54981, 53.99217, 54.09319, 45.84654, 10.07003,  0.21965,  0.18643
Pb, 33.28911,  0.28790, 11.16472, 26.65676, 33.28311, 33.38548, 22.88630, 12.07154,  0.52746,  0.36263
BC, 42.77037,  0.00000, 17.65036, 33.03645, 42.76321, 42.83848, 30.09923, 14.38725,  0.47799,  0.33638

Factor 2,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 36.54476, 32.82494, 36.63123, 37.09496, 44.05671, 52.16712, 39.72294,  5.05645,  0.12729,  0.13836
Na,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Mg, 36.39611, 28.18444, 36.48523, 37.57145, 63.51041, 76.07698, 46.13081, 16.77017,  0.36354,  0.46077
Al, 40.45070, 30.05661, 40.53623, 40.87440, 68.07250, 78.02626, 49.64915, 16.29777,  0.32826,  0.40290
Si, 39.81936, 29.02324, 39.91606, 40.34468, 68.14602, 78.29574, 49.22762, 16.63577,  0.33794,  0.41778
P,  9.40686,  1.87205,  9.39282,  9.43510, 25.71956, 33.93357, 14.67950, 10.55697,  0.71916,  1.12226
S,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  6.05779,  0.59038,  1.49913,  2.53926,  0.00000
Cl, 29.56496, 18.83000, 23.70445, 29.56004, 29.57730, 31.22880, 27.66029,  3.98971,  0.14424,  0.13495
