**** Analysis Summary ****

Time of run: ,06/30/15 14:29
Concentration file: ,E:\pmf\RFsH.csv
Uncertainty file: ,E:\pmf\RFsHunc.csv
Configuration file: ,


**** Input Data Statistics ****

Species,Category,S/N,Min,25th,Median,75th,Max,% Modeled Samples,% Raw Samples
mass,Weak,     10.0,  2.45000, 20.81250, 24.50500, 28.85250,115.18000, 100.00 %, 100.00 %
8                    7,0.02769,0.02472,0.00055,0.00494,0.00857,0.06078,6.01443,0.01819,7.01466,0.67517,0.00280,0.01150,0.01196,0.04477,0.02872,0.06569,0.02334,0.29339,0.86156,0.00405,0.00603,0.00109,0.09336,1.71436,
9                    1,0.00900,0.03016,0.00121,0.00958,0.01821,0.03845,1.97443,0.67877,2.60042,0.25655,0.00550,0.00539,0.00573,0.01858,0.01796,0.03494,0.01186,0.13518,0.45531,0.00211,0.00333,0.00062,0.04802,0.70913,
9                    2,0.19119,0.27311,0.01039,0.05236,0.16546,0.33718,38.53817,6.47747,42.72822,4.79590,0.02578,0.06842,0.06813,0.27415,0.26811,0.37294,0.13536,1.65599,5.98220,0.02412,0.03506,0.00634,0.53846,11.10181,
9                    3,0.08019,0.10249,0.00367,0.02181,0.06341,0.16600,16.69397,1.63431,19.36744,2.13237,0.01112,0.03434,0.03459,0.13621,0.10262,0.19393,0.06736,0.85352,2.61240,0.01247,0.01783,0.00324,0.27557,5.00058,
9                    4,0.02078,0.05522,0.00261,0.01326,0.03727,0.03809,3.79680,1.90107,4.09461,0.55779,0.00614,0.00663,0.00663,0.02693,0.04159,0.03671,0.01467,0.15773,0.70594,0.00245,0.00359,0.00072,0.05369,1.27924,
9                    5,0.17294,0.24632,0.00944,0.05229,0.15989,0.31343,33.87031,5.24476,38.25622,4.33025,0.02598,0.06554,0.06599,0.26314,0.23228,0.36536,0.13054,1.61670,5.35592,0.02382,0.03381,0.00619,0.52297,10.49103,
9                    6,0.02247,0.03865,0.00157,0.01149,0.03208,0.05411,4.51757,0.70740,5.90718,0.67354,0.00606,0.01299,0.01281,0.05043,0.03111,0.07624,0.02496,0.31313,0.94134,0.00522,0.00692,0.00126,0.10655,1.70283,
9                    7,0.00560,0.01566,0.00078,0.00624,0.01048,0.02740,0.92693,0.42375,1.14179,0.12156,0.00349,0.00191,0.00247,0.00762,0.01141,0.01197,0.00539,0.05804,0.15866,0.00075,0.00109,0.00023,0.01662,0.39562,
9                    8,0.01112,0.03297,0.00095,0.00428,0.01337,0.03479,2.90530,0.57380,3.40462,0.42079,0.00237,0.00614,0.00586,0.02403,0.02214,0.03393,0.01147,0.14048,0.51460,0.00208,0.00336,0.00061,0.04843,0.69282,
10                    1,0.04115,0.02390,0.00075,0.00830,0.01489,0.08256,7.36691,0.05504,7.88918,0.79776,0.00509,0.01187,0.01281,0.04902,0.04187,0.06503,0.02496,0.31588,0.84549,0.00422,0.00594,0.00114,0.09196,2.26434,
10                    2,0.06306,0.08597,0.00363,0.02176,0.06348,0.09079,11.00856,2.27574,11.79828,1.29075,0.01079,0.01783,0.01851,0.07331,0.08119,0.09637,0.03780,0.45379,1.64227,0.00660,0.00907,0.00171,0.14061,3.67938,
10                    3,0.01741,0.01211,0.00061,0.01174,0.02500,0.02872,1.70751,0.05983,2.75164,0.18510,0.00570,0.00693,0.00781,0.02712,0.00841,0.04578,0.01581,0.20177,0.45878,0.00357,0.00386,0.00068,0.06291,1.50949,
