**** Analysis Summary ****

Time of run: ,06/30/15 14:29
Concentration file: ,E:\pmf\RFsH.csv
Uncertainty file: ,E:\pmf\RFsHunc.csv
Configuration file: ,


**** Input Data Statistics ****

Species,Category,S/N,Min,25th,Median,75th,Max,% Modeled Samples,% Raw Samples
mass,Weak,     10.0,  2.45000, 20.81250, 24.50500, 28.85250,115.18000, 100.00 %, 100.00 %
13                    4,0.00846,0.00722,0.00018,0.00221,0.00604,0.01657,1.60392,0.01961,1.91415,0.19968,0.00126,0.00364,0.00363,0.01422,0.00919,0.01996,0.00708,0.08896,0.22496,0.00133,0.00186,0.00034,0.02803,0.51143,
13                    5,0.04374,0.04920,0.00176,0.01330,0.03397,0.09171,8.31281,0.60303,10.13811,0.96257,0.00645,0.01855,0.01915,0.07202,0.04351,0.11107,0.03765,0.47388,1.47340,0.00723,0.00984,0.00176,0.15784,2.96048,
13                    6,0.01803,0.01915,0.00088,0.01020,0.01919,0.02538,2.15153,0.45522,2.62518,0.24415,0.00539,0.00471,0.00505,0.01912,0.01924,0.02858,0.01055,0.12206,0.36806,0.00224,0.00254,0.00049,0.03994,1.13540,
13                    7,0.07625,0.06015,0.00181,0.01169,0.03540,0.12776,14.32683,0.76020,15.41178,1.63454,0.00565,0.02380,0.02437,0.09615,0.08301,0.12707,0.04802,0.60432,1.78285,0.00831,0.01170,0.00215,0.18229,4.24263,
13                    8,0.01743,0.01660,0.00088,0.00544,0.01621,0.02117,2.66567,0.57432,2.74239,0.30743,0.00272,0.00411,0.00417,0.01650,0.02134,0.02201,0.00881,0.10195,0.32526,0.00157,0.00197,0.00039,0.03187,0.92440,
13                    9,0.04860,0.08480,0.00346,0.01782,0.05495,0.08209,9.35457,2.29487,10.02631,1.28276,0.00906,0.01652,0.01630,0.06723,0.07955,0.08748,0.03301,0.39390,1.39112,0.00577,0.00835,0.00159,0.12581,2.72908,
13                    10,0.00721,0.01379,0.00052,0.00572,0.01084,0.01735,1.06737,0.23017,1.41904,0.11993,0.00359,0.00292,0.00300,0.01149,0.00811,0.01883,0.00638,0.07290,0.21754,0.00134,0.00171,0.00035,0.02646,0.51806,
13                    11,0.09741,0.12655,0.00517,0.02848,0.08571,0.14235,17.18823,3.28574,18.22426,2.17453,0.01355,0.02884,0.02840,0.11812,0.12655,0.15326,0.05837,0.70426,2.41924,0.01040,0.01446,0.00276,0.22208,5.40271,
13                    12,0.01634,0.02159,0.00050,0.00344,0.00840,0.03365,3.59802,0.16329,4.05549,0.47233,0.00228,0.00691,0.00664,0.02809,0.02336,0.03675,0.01251,0.16063,0.47064,0.00236,0.00354,0.00066,0.05152,0.84829,
14                    1,0.01525,0.06447,0.00272,0.01329,0.03455,0.04457,4.00157,1.96015,4.76898,0.57018,0.00596,0.00883,0.00840,0.03235,0.03421,0.05351,0.01833,0.20029,0.90762,0.00325,0.00525,0.00092,0.07832,1.13233,
14                    2,0.29278,0.39435,0.01549,0.07863,0.24711,0.50132,57.02464,9.75960,61.93593,6.87414,0.03514,0.09789,0.09911,0.38980,0.37908,0.53800,0.20030,2.43271,8.67617,0.03517,0.05024,0.00896,0.78270,17.39188,
14                    3,0.15443,0.18286,0.00709,0.04494,0.12616,0.29889,29.71161,3.45231,33.46850,3.56119,0.02075,0.05814,0.06016,0.22738,0.17489,0.33414,0.12052,1.49784,4.61685,0.02200,0.03032,0.00537,0.47866,9.96243,
14                    4,0.06033,0.11424,0.00527,0.02512,0.07653,0.09145,11.12955,3.83169,11.30370,1.40144,0.00991,0.01742,0.01778,0.06978,0.08886,0.09651,0.03889,0.43752,1.76990,0.00650,0.00914,0.00174,0.14326,3.74206,
14                    5,0.27525,0.36443,0.01450,0.08364,0.25015,0.48051,51.59408,8.23358,57.26583,6.32615,0.03834,0.09693,0.09930,0.38553,0.33683,0.54717,0.20031,2.45615,8.08610,0.03626,0.05014,0.00901,0.78793,17.16442,
14                    6,0.06510,0.09151,0.00398,0.02898,0.07929,0.13349,11.75881,2.01879,14.00829,1.49962,0.01370,0.02817,0.02897,0.10787,0.07259,0.16843,0.05901,0.72038,2.22034,0.01164,0.01496,0.00263,0.23893,4.79833,
14                    7,0.00424,0.03664,0.00195,0.01052,0.02757,0.01129,0.69473,1.50473,0.70156,0.19102,0.00455,0.00158,0.00171,0.00819,0.01827,0.00934,0.00497,0.03932,0.23709,0.00074,0.00099,0.00024,0.01432,0.38260,
14                    8,0.04451,0.08105,0.00290,0.01500,0.04453,0.08460,9.19603,1.78664,10.00836,1.12647,0.00654,0.01709,0.01752,0.06496,0.05815,0.09842,0.03614,0.43145,1.51744,0.00633,0.00914,0.00160,0.14266,2.94591,
14                    9,0.01357,0.01474,0.00066,0.00472,0.01177,0.02629,2.32759,0.33662,2.42212,0.22634,0.00203,0.00431,0.00490,0.01484,0.01169,0.02709,0.01044,0.12227,0.37619,0.00185,0.00229,0.00039,0.03881,0.98001,
14                    10,0.08717,0.11853,0.00438,0.02047,0.06296,0.17631,18.62111,2.61117,20.56915,2.29454,0.00927,0.03387,0.03385,0.13205,0.11492,0.18992,0.06796,0.82732,2.89459,0.01200,0.01770,0.00308,0.27460,5.29173,
14                    11,0.00174,0.00294,0.00017,0.00133,0.00287,0.00327,0.32930,0.07953,0.31290,0.02697,0.00081,0.00070,0.00087,0.00207,0.00215,0.00487,0.00186,0.02017,0.06053,0.00034,0.00039,0.00008,0.00679,0.15246,
14                    12,0.04340,0.07605,0.00392,0.01953,0.06245,0.06777,7.60157,2.86260,7.60780,0.93768,0.00768,0.01231,0.01318,0.04849,0.06044,0.07102,0.02937,0.32688,1.25404,0.00485,0.00640,0.00118,0.10502,2.88612,
14                    13,0.10544,0.15580,0.00656,0.03469,0.10791,0.16314,19.40028,4.38473,20.22234,2.45346,0.01523,0.03246,0.03302,0.13147,0.14395,0.17522,0.06848,0.81467,2.80916,0.01185,0.01653,0.00302,0.25550,6.26253,
15                    1,0.07662,0.04409,0.00162,0.02408,0.04997,0.14823,12.35237,0.14865,13.92415,1.31065,0.01250,0.02390,0.02663,0.09586,0.06653,0.13874,0.05248,0.67000,1.62028,0.00949,0.01217,0.00229,0.19398,4.85772,
15                    2,0.04559,0.06413,0.00280,0.02001,0.04978,0.06503,7.45136,1.84694,8.57557,0.87370,0.01007,0.01356,0.01357,0.05464,0.05775,0.07592,0.02818,0.32397,1.32257,0.00537,0.00710,0.00131,0.10929,2.75709,
15                    3,0.00111,0.00110,0.00007,0.00032,0.00071,0.00202,0.19239,0.00838,0.23570,0.02123,0.00017,0.00044,0.00043,0.00162,0.00092,0.00256,0.00087,0.01066,0.03141,0.00018,0.00025,0.00006,0.00358,0.06838,
15                    4,0.02171,0.02167,0.00075,0.01256,0.02085,0.06576,4.03386,0.04306,5.50795,0.53905,0.00661,0.01138,0.01203,0.04627,0.02321,0.06828,0.02344,0.29604,0.73047,0.00463,0.00618,0.00109,0.09487,1.59793,
15                    5,0.02972,0.04742,0.00204,0.01195,0.03217,0.04449,5.09368,1.21804,5.61399,0.63908,0.00608,0.00902,0.00899,0.03730,0.03999,0.04957,0.01856,0.21719,0.81768,0.00337,0.00472,0.00094,0.07169,1.72707,
15                    6,0.01562,0.01133,0.00034,0.00244,0.00648,0.02560,2.85485,0.12034,3.11967,0.30410,0.00119,0.00455,0.00507,0.01862,0.01646,0.02511,0.00980,0.12520,0.35405,0.00165,0.00232,0.00042,0.03596,0.89694,
15                    7,0.09800,0.07935,0.00223,0.02156,0.04536,0.22307,19.78635,0.30677,22.71336,2.26792,0.01140,0.03796,0.03979,0.15167,0.10292,0.21504,0.07725,0.98670,2.75056,0.01373,0.01950,0.00352,0.30542,6.01691,
15                    8,0.02377,0.01897,0.00071,0.00767,0.01832,0.05910,4.13796,0.18677,4.84980,0.48863,0.00393,0.00884,0.00936,0.03571,0.02457,0.05071,0.01824,0.23465,0.61248,0.00350,0.00447,0.00081,0.07162,1.53861,
15                    9,0.06298,0.08346,0.00293,0.01747,0.05242,0.13235,13.37715,1.40931,15.41759,1.73587,0.00915,0.02732,0.02757,0.10896,0.08622,0.15312,0.05345,0.67785,2.08612,0.00987,0.01413,0.00255,0.21788,3.92671,
15                    10,0.01169,0.00742,0.00036,0.00883,0.01867,0.01876,0.95679,0.02384,1.73457,0.09874,0.00436,0.00483,0.00548,0.01852,0.00485,0.03232,0.01105,0.14000,0.31122,0.00258,0.00264,0.00046,0.04396,1.07148,
15                    11,0.11565,0.12721,0.00462,0.02907,0.08501,0.21875,22.10826,2.20675,24.99580,2.69917,0.01382,0.04273,0.04322,0.16985,0.13294,0.24043,0.08579,1.07968,3.34348,0.01577,0.02191,0.00397,0.34361,7.06759,
15                    12,0.02810,0.03118,0.00069,0.00642,0.01326,0.07439,6.66466,0.01092,8.21231,0.87995,0.00348,0.01518,0.01519,0.06123,0.03550,0.08589,0.02861,0.37258,1.00681,0.00554,0.00796,0.00142,0.12043,1.73732,
15                    13,0.00833,0.01126,0.00047,0.00672,0.00869,0.02801,1.33821,0.11065,1.91295,0.14937,0.00363,0.00387,0.00413,0.01487,0.00783,0.02523,0.00833,0.10022,0.27439,0.00173,0.00218,0.00041,0.03525,0.62565,
15                    14,0.13019,0.15736,0.00607,0.03859,0.11026,0.25337,25.24639,3.12168,28.19718,3.04361,0.01800,0.04895,0.05086,0.19148,0.15308,0.28023,0.10183,1.26355,3.91335,0.01846,0.02540,0.00446,0.40192,8.43362,
16                    1,0.04512,0.02778,0.00093,0.01075,0.02367,0.08660,7.95386,0.10216,8.70559,0.85340,0.00529,0.01420,0.01591,0.05672,0.04233,0.08150,0.03109,0.39242,0.99803,0.00530,0.00717,0.00137,0.11466,2.76261,
16                    2,0.06336,0.07431,0.00302,0.01700,0.05272,0.08630,10.77218,2.01634,11.59520,1.21879,0.00786,0.01692,0.01707,0.06817,0.07515,0.09032,0.03504,0.41873,1.57808,0.00630,0.00839,0.00150,0.13180,3.52439,
16                    3,0.00973,0.00560,0.00029,0.00486,0.00979,0.01823,1.21773,0.02425,1.59966,0.13247,0.00270,0.00330,0.00356,0.01320,0.00670,0.01997,0.00712,0.09269,0.21511,0.00153,0.00180,0.00035,0.02786,0.68908,
16                    4,0.00920,0.01398,0.00039,0.00365,0.00587,0.03255,2.36069,0.06711,3.13211,0.33661,0.00180,0.00616,0.00621,0.02490,0.01318,0.03618,0.01204,0.14763,0.40410,0.00226,0.00333,0.00059,0.05072,0.60840,
16                    5,0.05289,0.06067,0.00248,0.01689,0.05019,0.07507,8.25176,1.35732,9.28604,0.97546,0.00806,0.01581,0.01627,0.06357,0.05615,0.08888,0.03310,0.40770,1.27865,0.00632,0.00800,0.00148,0.12728,3.21415,
16                    6,0.00943,0.00802,0.00032,0.00520,0.01021,0.01651,1.29121,0.08118,1.86236,0.14313,0.00298,0.00388,0.00425,0.01543,0.00814,0.02436,0.00834,0.10200,0.30186,0.00179,0.00217,0.00042,0.03388,0.74596,
16                    7,0.06731,0.06183,0.00152,0.01060,0.02379,0.15900,14.89773,0.23924,17.20055,1.72913,0.00554,0.02858,0.02947,0.11283,0.07508,0.16193,0.05692,0.71842,2.13886,0.00996,0.01472,0.00268,0.23103,4.09245,
16                    8,0.00894,0.01029,0.00037,0.00222,0.00621,0.02530,2.01081,0.13630,2.31051,0.25301,0.00122,0.00402,0.00410,0.01629,0.01252,0.02255,0.00782,0.09804,0.30147,0.00142,0.00204,0.00040,0.03221,0.54337,
16                    9,0.03932,0.06782,0.00236,0.01090,0.03364,0.09341,9.64387,1.26655,11.18221,1.30822,0.00600,0.01977,0.01937,0.07849,0.06477,0.10997,0.03741,0.46491,1.57881,0.00675,0.01037,0.00192,0.15706,2.40738,
16                    10,0.00248,0.00209,0.00014,0.00299,0.00497,0.00408,0.15554,0.00819,0.34594,0.01752,0.00176,0.00105,0.00119,0.00442,0.00150,0.00742,0.00248,0.03020,0.07084,0.00061,0.00062,0.00012,0.01002,0.23956,
16                    11,0.08124,0.10635,0.00388,0.02032,0.05952,0.15961,16.92387,2.02652,19.10417,2.12427,0.01003,0.03229,0.03193,0.12826,0.10501,0.18068,0.06339,0.78471,2.64119,0.01143,0.01675,0.00310,0.25935,4.87735,
16                    12,0.01449,0.02234,0.00038,0.00173,0.00343,0.04694,4.44407,0.00292,5.53252,0.61957,0.00137,0.01029,0.00980,0.04122,0.02370,0.05742,0.01825,0.23393,0.69286,0.00350,0.00540,0.00100,0.08083,0.83796,
16                    13,0.00753,0.01002,0.00031,0.00218,0.00408,0.01466,1.26284,0.15286,1.53415,0.12024,0.00098,0.00262,0.00258,0.00914,0.00619,0.01637,0.00545,0.06132,0.19626,0.00108,0.00140,0.00026,0.02365,0.42303,
16                    14,0.09259,0.13398,0.00516,0.02693,0.07949,0.18720,19.59061,2.90659,21.75233,2.41873,0.01227,0.03717,0.03802,0.14483,0.12160,0.21232,0.07639,0.92974,3.12276,0.01347,0.01952,0.00346,0.30644,5.94641,
16                    15,0.00500,0.00256,0.00015,0.00327,0.00605,0.01013,0.54297,0.00442,0.75729,0.05764,0.00197,0.00173,0.00188,0.00693,0.00350,0.01049,0.00374,0.04846,0.10609,0.00083,0.00094,0.00019,0.01445,0.37076,
17                    1,0.00542,0.00447,0.00013,0.00156,0.00325,0.01068,1.07907,0.01993,1.16227,0.10849,0.00080,0.00209,0.00222,0.00760,0.00506,0.01222,0.00437,0.05554,0.13594,0.00081,0.00110,0.00022,0.01686,0.34224,
17                    2,0.16279,0.15303,0.00507,0.02854,0.09094,0.28306,31.28352,2.52534,34.66446,3.66503,0.01414,0.05435,0.05422,0.21889,0.18903,0.29347,0.10581,1.32768,4.37339,0.01940,0.02719,0.00479,0.42294,9.08139,
17                    3,0.06504,0.05052,0.00156,0.01827,0.03838,0.14882,12.22593,0.11295,14.69743,1.49254,0.01012,0.02640,0.02715,0.10668,0.06651,0.15153,0.05251,0.67382,1.79210,0.01007,0.01373,0.00246,0.21291,4.06096,
17                    4,0.01299,0.00822,0.00034,0.00188,0.00560,0.01520,1.95709,0.17702,2.04070,0.21085,0.00071,0.00290,0.00278,0.01172,0.01232,0.01506,0.00563,0.06831,0.22308,0.00114,0.00138,0.00026,0.02207,0.66177,
17                    5,0.14938,0.13717,0.00469,0.03452,0.09857,0.26893,27.28634,1.78298,31.27560,3.29021,0.01743,0.05359,0.05441,0.21594,0.16162,0.30055,0.10629,1.34462,3.99905,0.02013,0.02726,0.00487,0.42756,8.92121,
17                    6,0.01752,0.01691,0.00068,0.01305,0.02433,0.05123,2.53366,0.01876,3.94041,0.36825,0.00770,0.00965,0.01001,0.03859,0.01655,0.06030,0.01953,0.24509,0.61015,0.00439,0.00532,0.00097,0.08239,1.46285,
17                    7,0.01105,0.01040,0.00029,0.00190,0.00428,0.02241,2.27344,0.09817,2.56673,0.21299,0.00079,0.00399,0.00433,0.01475,0.00952,0.02379,0.00872,0.10826,0.34338,0.00145,0.00208,0.00041,0.03443,0.72299,
17                    8,0.00553,0.00658,0.00020,0.00218,0.00364,0.01389,1.25417,0.04310,1.59735,0.17490,0.00142,0.00293,0.00294,0.01182,0.00762,0.01694,0.00566,0.06984,0.19326,0.00108,0.00161,0.00030,0.02338,0.33839,
17                    9,0.00282,0.02677,0.00126,0.00713,0.01764,0.01723,0.64706,0.92129,0.82461,0.13933,0.00386,0.00168,0.00189,0.00662,0.01443,0.01092,0.00451,0.04174,0.22250,0.00063,0.00114,0.00026,0.01547,0.26612,
17                    10,0.02555,0.02445,0.00050,0.00477,0.00760,0.06958,5.82079,0.01133,6.92000,0.76077,0.00368,0.01183,0.01138,0.04878,0.03422,0.06496,0.02160,0.27370,0.81911,0.00413,0.00614,0.00108,0.09130,1.38816,
17                    11,0.01654,0.04780,0.00223,0.01198,0.03081,0.02967,3.14431,1.57889,3.37628,0.44258,0.00595,0.00555,0.00551,0.02269,0.03021,0.03189,0.01258,0.13624,0.61928,0.00200,0.00313,0.00068,0.04684,1.05714,
17                    12,0.00627,0.00382,0.00016,0.00240,0.00429,0.01393,0.80677,0.02487,0.87760,0.07652,0.00164,0.00146,0.00150,0.00587,0.00515,0.00839,0.00314,0.03725,0.09791,0.00065,0.00075,0.00016,0.01200,0.36672,
17                    13,0.03837,0.02668,0.00080,0.00598,0.01866,0.05695,6.57256,0.31253,7.14243,0.76171,0.00311,0.01139,0.01116,0.04579,0.03978,0.06033,0.02197,0.27498,0.77929,0.00416,0.00554,0.00100,0.08623,2.01958,
17                    14,0.02153,0.06815,0.00315,0.01513,0.04438,0.04079,4.45717,2.36455,4.58279,0.60145,0.00617,0.00767,0.00805,0.02991,0.04020,0.04515,0.01834,0.19683,0.86710,0.00286,0.00429,0.00084,0.06708,1.53983,
17                    15,0.05000,0.03910,0.00114,0.01468,0.02987,0.11886,9.48213,0.06159,11.37812,1.16844,0.00838,0.02049,0.02121,0.08328,0.05300,0.11717,0.04081,0.52371,1.37597,0.00781,0.01062,0.00190,0.16455,3.12834,
17                    16,0.02712,0.02619,0.00061,0.00491,0.01084,0.07054,6.15795,0.03327,7.35717,0.79754,0.00296,0.01302,0.01303,0.05252,0.03398,0.07314,0.02473,0.31352,0.89412,0.00460,0.00671,0.00120,0.10322,1.61042,
18                    1,0.04719,0.02723,0.00133,0.02354,0.04796,0.09240,6.11332,0.10747,7.83715,0.64458,0.01240,0.01640,0.01791,0.06454,0.03216,0.10273,0.03580,0.45359,1.10907,0.00756,0.00879,0.00164,0.14233,3.47599,
18                    2,0.08036,0.08614,0.00325,0.02560,0.06518,0.11635,13.69097,1.99630,15.30680,1.56061,0.01264,0.02387,0.02463,0.09729,0.09462,0.12997,0.04994,0.60460,2.11213,0.00914,0.01194,0.00218,0.18625,4.75823,
18                    3,0.01248,0.00812,0.00019,0.00145,0.00334,0.02204,2.41873,0.02215,2.60755,0.26194,0.00060,0.00389,0.00427,0.01571,0.01277,0.02028,0.00840,0.10757,0.26467,0.00130,0.00188,0.00036,0.02873,0.68311,
18                    4,0.01468,0.01495,0.00072,0.01406,0.02435,0.04081,1.64109,0.06359,3.12508,0.22797,0.00726,0.00847,0.00877,0.03308,0.00943,0.05577,0.01763,0.22017,0.55721,0.00417,0.00489,0.00084,0.07721,1.39020,
18                    5,0.05768,0.06602,0.00235,0.01421,0.04001,0.08691,10.62907,1.34042,11.24792,1.25263,0.00687,0.01688,0.01751,0.07013,0.07247,0.08878,0.03504,0.43168,1.40826,0.00586,0.00829,0.00160,0.12790,3.16191,
18                    6,0.00364,0.00445,0.00020,0.00090,0.00235,0.00645,0.66130,0.08520,0.79600,0.05549,0.00045,0.00131,0.00132,0.00441,0.00295,0.00839,0.00263,0.03163,0.11629,0.00053,0.00081,0.00014,0.01245,0.23992,
18                    7,0.06273,0.05607,0.00187,0.01956,0.03988,0.15166,12.12787,0.24637,14.80592,1.37117,0.01046,0.02714,0.02773,0.10509,0.05821,0.16204,0.05408,0.68782,1.99627,0.01060,0.01462,0.00259,0.23039,4.24289,
18                    8,0.01214,0.01130,0.00060,0.00803,0.01796,0.03229,1.32210,0.14217,2.18271,0.15673,0.00408,0.00572,0.00587,0.02170,0.00725,0.03741,0.01184,0.14977,0.39587,0.00287,0.00320,0.00055,0.05219,1.06944,
18                    9,0.03868,0.06350,0.00267,0.01666,0.04759,0.08568,7.66043,1.28339,9.63967,1.02404,0.00857,0.01938,0.01915,0.07429,0.04948,0.11591,0.03772,0.47178,1.51242,0.00770,0.01063,0.00186,0.16460,2.78417,
18                    10,0.01316,0.00805,0.00043,0.01167,0.02380,0.02022,0.66796,0.01014,1.91302,0.07323,0.00588,0.00628,0.00679,0.02405,0.00284,0.04328,0.01402,0.17502,0.42160,0.00360,0.00354,0.00058,0.05854,1.35082,
18                    11,0.08017,0.10155,0.00425,0.02772,0.07848,0.15368,14.35229,2.04795,17.20448,1.76954,0.01330,0.03230,0.03195,0.12475,0.08520,0.19103,0.06444,0.80067,2.57725,0.01286,0.01731,0.00308,0.27291,5.36751,
18                    12,0.01484,0.01926,0.00057,0.00679,0.01346,0.04230,3.13118,0.00284,4.48415,0.42406,0.00367,0.00992,0.00962,0.03803,0.01483,0.06066,0.01828,0.23805,0.65950,0.00413,0.00555,0.00097,0.08501,1.15272,
18                    13,0.01329,0.01318,0.00053,0.00851,0.01342,0.02596,1.65739,0.14728,2.31818,0.14261,0.00436,0.00486,0.00500,0.01752,0.00886,0.03208,0.01049,0.12606,0.35261,0.00236,0.00277,0.00050,0.04532,0.97518,
18                    14,0.09230,0.12941,0.00564,0.03696,0.10296,0.18304,16.83688,2.93274,19.87291,2.04212,0.01719,0.03791,0.03867,0.14427,0.10059,0.22810,0.07859,0.96172,3.09695,0.01549,0.02048,0.00354,0.32722,6.58705,
18                    15,0.00798,0.00468,0.00012,0.00115,0.00245,0.01389,1.47439,0.00362,1.61047,0.15158,0.00051,0.00247,0.00275,0.00978,0.00777,0.01323,0.00559,0.07079,0.16425,0.00088,0.00124,0.00023,0.01862,0.46044,
18                    16,0.00579,0.00349,0.00019,0.00461,0.00886,0.01010,0.46882,0.00033,0.94589,0.05505,0.00258,0.00275,0.00291,0.01049,0.00287,0.01752,0.00593,0.07411,0.17909,0.00142,0.00150,0.00029,0.02406,0.54079,
18                    17,0.02897,0.02434,0.00094,0.01458,0.02898,0.07263,4.57578,0.03605,6.36548,0.58410,0.00828,0.01379,0.01399,0.05457,0.02454,0.08507,0.02712,0.34791,0.92520,0.00606,0.00758,0.00133,0.11879,2.17086,
19                    1,0.03521,0.08980,0.00343,0.01666,0.04611,0.09208,9.20096,2.32619,10.82496,1.34962,0.00816,0.01962,0.01874,0.07682,0.06961,0.11157,0.03773,0.44887,1.75686,0.00693,0.01081,0.00198,0.15980,2.26262,
19                    2,0.38073,0.46746,0.01739,0.08829,0.28400,0.67528,75.89674,10.56213,82.95115,9.34357,0.04104,0.13149,0.13235,0.53080,0.49785,0.71329,0.26273,3.23860,11.21666,0.04652,0.06678,0.01214,1.03097,21.94252,
19                    3,0.21424,0.23589,0.00835,0.04876,0.14651,0.43118,43.47653,3.93647,48.68959,5.42069,0.02363,0.08213,0.08367,0.32953,0.26155,0.45608,0.16429,2.06826,6.36522,0.02957,0.04213,0.00768,0.65224,12.88685,
19                    4,0.10223,0.14761,0.00627,0.03015,0.09509,0.16572,19.57199,4.33839,20.60224,2.51482,0.01256,0.03207,0.03229,0.13094,0.14409,0.17239,0.06638,0.79074,2.91266,0.01149,0.01631,0.00312,0.25127,5.91577,
19                    5,0.35539,0.43242,0.01624,0.08982,0.28020,0.64375,69.46066,8.97165,76.87108,8.69839,0.04252,0.12775,0.12960,0.51593,0.44966,0.70477,0.25685,3.18943,10.38065,0.04615,0.06529,0.01196,1.01234,21.10300,
19                    6,0.10131,0.12756,0.00483,0.03037,0.09182,0.22027,20.73539,2.39195,23.85524,2.76222,0.01527,0.04376,0.04383,0.17439,0.13134,0.24557,0.08647,1.07957,3.35085,0.01630,0.02265,0.00415,0.34966,6.47373,
19                    7,0.01617,0.04862,0.00244,0.01212,0.03512,0.03011,3.30722,1.82606,3.47110,0.57414,0.00539,0.00604,0.00598,0.02622,0.03786,0.03194,0.01292,0.14098,0.61125,0.00219,0.00325,0.00066,0.04690,0.96103,
19                    8,0.08026,0.11283,0.00369,0.01800,0.05746,0.15831,17.34410,2.13837,19.14097,2.25063,0.00839,0.03173,0.03178,0.12737,0.11025,0.17325,0.06278,0.77720,2.60708,0.01109,0.01647,0.00301,0.24911,4.75160,
19                    9,0.03370,0.02942,0.00101,0.00610,0.01900,0.06774,6.49258,0.49840,6.92522,0.77363,0.00287,0.01087,0.01142,0.04397,0.03893,0.05914,0.02271,0.28194,0.86610,0.00392,0.00551,0.00102,0.08517,1.95287,
19                    10,0.13817,0.16545,0.00546,0.02606,0.08311,0.28875,30.11983,3.03438,33.61099,3.86075,0.01292,0.05525,0.05479,0.22258,0.18823,0.30191,0.10712,1.33355,4.47712,0.01922,0.02838,0.00512,0.43261,7.94783,
19                    11,0.00948,0.01125,0.00036,0.00197,0.00584,0.02375,2.31137,0.16607,2.51779,0.31109,0.00129,0.00417,0.00443,0.01737,0.01531,0.02229,0.00842,0.10500,0.31388,0.00142,0.00216,0.00040,0.03181,0.55373,
19                    12,0.07697,0.10191,0.00472,0.02278,0.07684,0.12916,14.28081,3.30248,14.78134,1.81637,0.00946,0.02308,0.02386,0.09415,0.10492,0.12451,0.04968,0.58753,2.10225,0.00832,0.01160,0.00220,0.18226,4.55968,
19                    13,0.16004,0.20032,0.00776,0.04009,0.13007,0.26633,30.96416,4.92652,32.93479,3.97840,0.01848,0.05257,0.05287,0.21531,0.21810,0.27926,0.10590,1.29592,4.31068,0.01851,0.02640,0.00491,0.40305,9.00989,
19                    14,0.00742,0.00758,0.00014,0.00112,0.00342,0.01788,1.72915,0.01638,2.00092,0.22938,0.00087,0.00349,0.00357,0.01437,0.01073,0.01975,0.00664,0.08480,0.25156,0.00130,0.00177,0.00036,0.02697,0.41154,
19                    15,0.18577,0.20703,0.00723,0.04228,0.12932,0.37659,38.03770,3.58269,42.34169,4.77599,0.02068,0.07118,0.07271,0.28663,0.23398,0.39327,0.14252,1.79398,5.53901,0.02551,0.03640,0.00660,0.56300,11.15763,
19                    16,0.14180,0.17987,0.00625,0.03116,0.09827,0.29670,31.04599,3.35173,34.60542,3.99663,0.01522,0.05796,0.05834,0.23331,0.19510,0.31900,0.11417,1.42022,4.65324,0.02019,0.02984,0.00549,0.45795,8.43487,
19                    17,0.04669,0.09056,0.00387,0.01831,0.05707,0.08790,9.91497,2.76531,10.55758,1.34787,0.00792,0.01714,0.01753,0.06981,0.07678,0.09388,0.03621,0.42756,1.62963,0.00599,0.00901,0.00177,0.13657,2.86500,
19                    18,0.13476,0.16988,0.00666,0.03901,0.11802,0.28007,26.95218,3.37939,31.00685,3.45405,0.01914,0.05540,0.05548,0.21924,0.16657,0.31574,0.10961,1.36805,4.39362,0.02083,0.02918,0.00525,0.45284,8.59081,
20                    1,0.15261,0.11429,0.00427,0.02554,0.07610,0.25856,27.50304,1.91937,29.46951,3.06518,0.01206,0.04412,0.04581,0.18065,0.16092,0.23813,0.08991,1.13485,3.44074,0.01581,0.02195,0.00407,0.34312,8.52130,
20                    2,0.00367,0.00694,0.00026,0.00280,0.00568,0.00575,0.58266,0.11813,0.59940,0.06678,0.00184,0.00089,0.00099,0.00397,0.00571,0.00460,0.00204,0.02385,0.09553,0.00035,0.00047,0.00012,0.00676,0.20960,
20                    3,0.02121,0.02643,0.00133,0.01274,0.02942,0.03113,2.84956,0.85536,3.90919,0.34432,0.00599,0.00740,0.00783,0.02918,0.02262,0.04676,0.01622,0.18666,0.66970,0.00342,0.00417,0.00075,0.06501,1.55475,
20                    4,0.05980,0.06292,0.00191,0.01029,0.02888,0.14155,13.52297,0.68227,15.68940,1.66179,0.00594,0.02601,0.02579,0.10504,0.07607,0.14496,0.04920,0.62727,1.98754,0.00905,0.01370,0.00239,0.20612,3.47025,
20                    5,0.01131,0.01019,0.00042,0.01090,0.02229,0.01800,0.52846,0.00905,1.58868,0.06471,0.00593,0.00523,0.00592,0.01993,0.00351,0.03705,0.01216,0.14968,0.34627,0.00292,0.00292,0.00053,0.04968,1.17031,
20                    6,0.07740,0.07926,0.00316,0.02257,0.05900,0.11961,13.21519,1.85298,15.42646,1.49544,0.01066,0.02470,0.02573,0.09878,0.08485,0.14297,0.05126,0.62142,2.14420,0.00978,0.01308,0.00231,0.20350,4.78607,
20                    7,0.19293,0.17991,0.00568,0.03107,0.08941,0.38432,39.35126,2.43145,44.22978,4.52653,0.01560,0.06984,0.07052,0.27881,0.21808,0.38785,0.13757,1.73263,5.57659,0.02462,0.03588,0.00642,0.55673,11.22055,
