**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 7

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 33.35600, 20.03700, 23.27075, 28.94250, 32.13250, 33.87400, 27.87650,  4.95828,  0.17787,  0.14865
Na,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Mg,  0.11014,  0.00000,  0.00171,  0.06195,  0.10366,  0.11014,  0.05492,  0.05075,  0.92411,  0.46082
Al,  1.01370,  0.17601,  0.20810,  0.64805,  0.96204,  1.01370,  0.59878,  0.37807,  0.63141,  0.37296
Si,  2.26620,  0.46983,  0.54715,  1.48518,  2.15318,  2.26620,  1.37937,  0.80733,  0.58529,  0.35625
P,  0.03030,  0.02623,  0.02911,  0.03026,  0.03085,  0.03324,  0.02994,  0.00176,  0.05881,  0.05812
S,  0.65829,  0.62318,  0.63707,  0.66351,  0.72530,  0.79079,  0.68203,  0.05088,  0.07459,  0.07728
Cl,  0.27494,  0.20323,  0.23586,  0.26068,  0.26629,  0.28406,  0.25171,  0.02327,  0.09244,  0.08463
K,  0.89210,  0.71038,  0.82549,  0.85621,  0.89112,  0.92665,  0.84658,  0.05841,  0.06900,  0.06548
Ca,  0.66185,  0.25517,  0.29652,  0.49118,  0.63250,  0.66320,  0.46994,  0.17263,  0.36736,  0.26084
Ti,  0.07714,  0.01623,  0.01890,  0.05056,  0.07329,  0.07714,  0.04706,  0.02736,  0.58130,  0.35461
V,  0.00180,  0.00082,  0.00095,  0.00141,  0.00173,  0.00181,  0.00135,  0.00041,  0.29946,  0.22477
Cr,  0.00195,  0.00110,  0.00127,  0.00164,  0.00187,  0.00197,  0.00159,  0.00033,  0.20634,  0.16787
Mn,  0.01204,  0.00348,  0.00405,  0.00840,  0.01147,  0.01204,  0.00789,  0.00376,  0.47631,  0.31239
Fe,  0.81272,  0.26713,  0.31080,  0.58266,  0.77529,  0.81352,  0.55138,  0.23655,  0.42901,  0.29106
Ni,  0.00129,  0.00111,  0.00123,  0.00128,  0.00131,  0.00140,  0.00127,  0.00007,  0.05908,  0.05803
Cu,  0.00450,  0.00342,  0.00397,  0.00430,  0.00440,  0.00465,  0.00417,  0.00034,  0.08259,  0.07655
Zn,  0.02590,  0.02193,  0.02483,  0.02544,  0.02606,  0.02782,  0.02530,  0.00150,  0.05923,  0.05787
Br,  0.01309,  0.01224,  0.01263,  0.01310,  0.01424,  0.01554,  0.01346,  0.00096,  0.07170,  0.07374
Rb,  0.00149,  0.00044,  0.00051,  0.00105,  0.00142,  0.00149,  0.00099,  0.00046,  0.46650,  0.30853
Sr,  0.00510,  0.00163,  0.00189,  0.00363,  0.00486,  0.00510,  0.00343,  0.00151,  0.44046,  0.29623
Zr,  0.00341,  0.00097,  0.00113,  0.00236,  0.00325,  0.00341,  0.00223,  0.00107,  0.48138,  0.31431
Pb,  0.01181,  0.01021,  0.01134,  0.01179,  0.01202,  0.01295,  0.01166,  0.00069,  0.05893,  0.05819

Percent of Species Sum

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 57.52539, 57.52539, 57.69420, 61.05909, 65.23372, 72.87627, 61.49050,  4.22464,  0.06870,  0.07344
Na,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Mg, 77.38745, 77.38745, 77.58322, 80.81317, 83.62096, 93.19720, 81.08305,  4.03234,  0.04973,  0.05211
Al, 79.86266, 79.86266, 80.07263, 83.59816, 86.77943, 96.80968, 83.88482,  4.35537,  0.05192,  0.05454
Si, 78.81223, 78.81223, 79.01911, 82.53546, 85.76285, 95.68006, 82.82945,  4.34512,  0.05246,  0.05513
P, 27.32199, 27.32199, 27.43251, 29.37627, 38.54658, 43.52300, 32.20505,  5.46579,  0.16972,  0.20005
S,  0.00000,  0.00000,  0.00000,  0.04049, 11.04561, 12.96306,  4.34354,  5.27501,  1.21445,997656625220.36800
