**** Analysis Summary ****

Time of run: ,05/08/16 00:07
Concentration file: ,C:\Users\thiago\Documents\EPA PMF\Data\pmf_fa\TGeH.csv
Uncertainty file: ,C:\Users\thiago\Documents\EPA PMF\Data\pmf_fa\TGeHunc8.csv
Configuration file: ,


**** Input Data Statistics ****

Species,Category,S/N,Min,25th,Median,75th,Max,% Modeled Samples,% Raw Samples
8                    2,0.59744,331.54952,4.00921,26.93101,11.60553,467.61617,3.24914,4.66932,2.58985,4.42304,2.56773,4.04885,18.36264,4.83237,26.72665,7.20745,4.06727,
8                    3,0.00033,0.00443,0.00495,0.01092,0.00720,0.02109,0.00422,0.00682,0.00951,0.00470,0.00170,0.00226,0.00500,0.00267,0.01040,0.00630,0.00101,
8                    4,0.59664,331.56683,4.00464,26.92660,11.60573,467.64221,3.24496,4.67367,2.58801,4.42115,2.56733,4.04920,18.35911,4.83366,26.72137,7.20831,4.06456,
8                    5,0.00040,0.00577,0.00670,0.01461,0.00962,0.02854,0.00598,0.00782,0.01345,0.00607,0.00241,0.00284,0.00659,0.00353,0.01323,0.00476,0.00135,
8                    6,0.00033,0.00422,0.00502,0.01036,0.00707,0.02014,0.00418,0.00622,0.00927,0.00446,0.00175,0.00218,0.00469,0.00260,0.01036,0.00370,0.00098,
8                    7,0.00008,0.00077,0.00117,0.00191,0.00125,0.00366,0.00137,0.00176,0.00261,0.00080,0.00035,0.00044,0.00080,0.00043,0.00178,0.00175,0.00017,
9                    1,0.58765,331.58508,4.03105,26.90195,11.51942,467.23323,3.23237,4.72498,2.59008,4.38688,2.55030,4.03100,18.37884,4.81856,26.73938,7.29620,4.08784,
9                    2,0.58895,331.56711,4.03638,26.90619,11.51921,467.20493,3.23879,4.72228,2.59080,4.38794,2.55248,4.03043,18.38284,4.81873,26.75291,7.29549,4.08897,
9                    3,0.00012,0.00192,0.00200,0.00478,0.00327,0.00904,0.00189,0.00157,0.00310,0.00200,0.00076,0.00093,0.00236,0.00116,0.00435,0.00096,0.00050,
9                    4,0.58815,331.58445,4.03179,26.90182,11.51942,467.23094,3.23461,4.72668,2.58904,4.38607,2.55208,4.03077,18.37930,4.81999,26.74774,7.29633,4.08624,
9                    5,0.00017,0.00286,0.00317,0.00733,0.00499,0.01415,0.00352,0.00232,0.00560,0.00292,0.00128,0.00135,0.00354,0.00175,0.00627,0.00201,0.00075,
