**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 16

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 65.53100, 26.05400, 27.99575, 43.54650, 66.26125, 71.70300, 47.68760, 19.59610,  0.41093,  0.29904
Na,  0.00000,  0.00000,  0.00000, 11.57473, 22.71550, 24.06100, 11.45827, 11.69121,  1.02033,  0.00000
Mg,  0.33773,  0.09143,  0.10737,  0.22356,  0.34081,  0.38781,  0.22699,  0.12256,  0.53995,  0.36290
Al,  2.28970,  0.48727,  0.57007,  1.40518,  2.33305,  2.52140,  1.47340,  0.90605,  0.61494,  0.39571
Si,  6.35130,  1.61730,  1.85655,  4.19125,  6.76668,  6.94540,  4.26905,  2.41224,  0.56505,  0.37980
P,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  4.46525,  0.00000
S,  0.03203,  0.00000,  0.00004,  0.00533,  0.01170,  0.03203,  0.00818,  0.00959,  1.17266,  0.29950
Cl,  0.14455,  0.00000,  0.00000,  0.07003,  0.17227,  0.21047,  0.08423,  0.08776,  1.04194,  0.60715
K,  0.36891,  0.15828,  0.17000,  0.26971,  0.38428,  0.42908,  0.27703,  0.10917,  0.39407,  0.29593
Ca,  2.04080,  0.67448,  0.74287,  1.32757,  2.07440,  2.20510,  1.41825,  0.67527,  0.47613,  0.33089
Ti,  0.25574,  0.09567,  0.10299,  0.17018,  0.25896,  0.28392,  0.18413,  0.08101,  0.43997,  0.31678
V,  0.00319,  0.00190,  0.00199,  0.00254,  0.00343,  0.00360,  0.00268,  0.00070,  0.26258,  0.22033
Mn,  0.04077,  0.01788,  0.01919,  0.02962,  0.04350,  0.04437,  0.03090,  0.01167,  0.37757,  0.28621
Fe,  2.29050,  0.92570,  0.99067,  1.55225,  2.31395,  2.55060,  1.68242,  0.69275,  0.41176,  0.30244
Zn,  0.00001,  0.00000,  0.00196,  0.00438,  0.00465,  0.00487,  0.00315,  0.00188,  0.59695,131.14416
Br,  0.00161,  0.00000,  0.00001,  0.00023,  0.00101,  0.00178,  0.00055,  0.00061,  1.11883,  0.38193
Pb,  0.00334,  0.00079,  0.00089,  0.00207,  0.00349,  0.00394,  0.00222,  0.00135,  0.60689,  0.40462

Factor 2,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,  8.88780,  0.00000,  9.11678, 13.90550, 17.27125, 20.61800, 12.76810,  5.34913,  0.41894,  0.60185
Na,  0.22432,  0.00000,  0.14977,  0.22455,  0.24271,  1.51240,  0.30102,  0.34085,  1.13232,  1.51950
Mg,  0.08134,  0.05158,  0.07374,  0.09946,  0.12383,  0.18149,  0.09959,  0.03280,  0.32931,  0.40322
Al,  1.03530,  0.59103,  0.89818,  1.00160,  1.07055,  1.25010,  0.96928,  0.17748,  0.18310,  0.17143
Si,  1.96480,  1.16940,  1.66513,  1.96690,  2.37040,  2.71270,  1.98518,  0.43359,  0.21841,  0.22068
P,  0.00434,  0.00000,  0.00144,  0.00613,  0.00983,  0.01264,  0.00585,  0.00422,  0.72236,  0.97326
S,  0.04041,  0.03594,  0.04071,  0.05077,  0.06184,  0.22246,  0.06106,  0.04016,  0.65774,  0.99387
Cl,  1.03810,  0.67018,  0.94692,  1.00680,  1.03775,  1.09690,  0.97179,  0.10517,  0.10822,  0.10131
K,  0.11618,  0.09282,  0.10056,  0.12325,  0.16349,  0.21361,  0.13312,  0.03416,  0.25663,  0.29403
Ca,  0.52194,  0.27584,  0.48768,  0.63389,  0.73839,  0.81817,  0.61350,  0.14987,  0.24428,  0.28714
Ti,  0.05219,  0.00254,  0.05024,  0.06437,  0.07783,  0.08845,  0.06215,  0.02039,  0.32801,  0.39060
V,  0.00019,  0.00000,  0.00003,  0.00032,  0.00086,  0.00091,  0.00042,  0.00038,  0.88884,  1.96563
Mn,  0.00247,  0.00000,  0.00285,  0.00600,  0.00737,  0.01059,  0.00536,  0.00289,  0.53954,  1.17085
Fe,  0.36101,  0.00000,  0.36935,  0.44615,  0.61735,  0.71466,  0.46703,  0.17697,  0.37892,  0.49021
Zn,  0.01061,  0.00336,  0.00627,  0.01046,  0.01229,  0.01481,  0.00942,  0.00359,  0.38103,  0.33807
Br,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00332,  0.00017,  0.00074,  4.27661,  0.00000
Pb,  0.00300,  0.00133,  0.00243,  0.00263,  0.00299,  0.00327,  0.00260,  0.00052,  0.20031,  0.17364

Factor 3,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,  0.94420,  0.00000,  0.86000,  2.60105,  5.62228, 29.65800,  4.68193,  6.65601,  1.42164,  7.04936
Na,  0.00000,  0.00000,  0.00000,  0.00000,  0.03622,  1.39830,  0.15196,  0.39991,  2.63176,  0.00000
Mg,  0.12230,  0.10585,  0.12709,  0.15202,  0.16968,  0.17948,  0.14774,  0.02255,  0.15262,  0.18437
Al,  0.24347,  0.18712,  0.24183,  0.31794,  0.41953,  1.33410,  0.37455,  0.24901,  0.66481,  1.02274
Si,  0.63848,  0.50066,  0.68648,  0.91427,  1.13458,  3.15990,  1.02635,  0.57451,  0.55976,  0.89980
P,  0.00907,  0.00000,  0.00000,  0.00000,  0.00461,  0.01198,  0.00231,  0.00369,  1.60042,  0.40710
S,  0.18747,  0.00000,  0.17317,  0.18577,  0.19229,  0.20203,  0.17348,  0.04371,  0.25195,  0.23315
Cl,  0.02770,  0.00000,  0.02834,  0.10099,  0.10711,  0.63828,  0.10073,  0.13407,  1.33101,  4.83959
K,  0.18235,  0.15301,  0.17926,  0.18977,  0.20678,  0.26176,  0.19557,  0.02889,  0.14772,  0.15843
Ca,  0.23381,  0.18066,  0.21268,  0.26255,  0.36607,  1.04600,  0.32933,  0.19335,  0.58710,  0.82695
Ti,  0.00942,  0.00248,  0.00793,  0.01470,  0.02152,  0.12881,  0.02181,  0.02752,  1.26193,  2.92053
V,  0.00069,  0.00049,  0.00067,  0.00076,  0.00084,  0.00152,  0.00079,  0.00023,  0.28325,  0.32768
Mn,  0.00363,  0.00282,  0.00422,  0.00495,  0.00708,  0.01550,  0.00601,  0.00283,  0.47175,  0.77966
Fe,  0.14446,  0.07715,  0.12305,  0.18273,  0.24600,  1.11220,  0.24228,  0.22672,  0.93575,  1.56941
Zn,  0.00362,  0.00000,  0.00260,  0.00283,  0.00375,  0.00887,  0.00351,  0.00230,  0.65450,  0.63404
