**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 1

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,  0.50099,  0.00000,  0.00980,  0.44078,  0.87302,  2.81140,  0.58233,  0.65719,  1.12855,  1.31179
Na,  0.00528,  0.00000,  0.00000,  0.00045,  0.00633,  0.06861,  0.00904,  0.01822,  2.01603,  3.45143
Mg,  0.00822,  0.00451,  0.00826,  0.01793,  0.02363,  0.02917,  0.01615,  0.00827,  0.51246,  1.00724
Al,  0.07550,  0.01326,  0.04760,  0.07778,  0.11550,  0.23998,  0.08716,  0.05379,  0.61714,  0.71250
Si,  0.08488,  0.01430,  0.06700,  0.09933,  0.16937,  0.40391,  0.12642,  0.09109,  0.72055,  1.07318
P,  0.00000,  0.00000,  0.00003,  0.00064,  0.00140,  0.00363,  0.00082,  0.00095,  1.16021,  0.00000
S,  0.02175,  0.01420,  0.03376,  0.04309,  0.05296,  0.05883,  0.04111,  0.01435,  0.34902,  0.65981
Cl,  0.13958,  0.01787,  0.04592,  0.05543,  0.13853,  0.17734,  0.08117,  0.05278,  0.65031,  0.37816
K,  0.02638,  0.01878,  0.04419,  0.05648,  0.07292,  0.08430,  0.05541,  0.01927,  0.34783,  0.73067
Ca,  0.10272,  0.00000,  0.00931,  0.02784,  0.05324,  0.18747,  0.04145,  0.05176,  1.24864,  0.50390
Ti,  0.00807,  0.00067,  0.00279,  0.00584,  0.00801,  0.02085,  0.00644,  0.00462,  0.71660,  0.57188
V,  0.00000,  0.00000,  0.00002,  0.00009,  0.00015,  0.00020,  0.00009,  0.00007,  0.71858,237.09696
Mn,  0.00041,  0.00003,  0.00030,  0.00043,  0.00082,  0.00182,  0.00057,  0.00044,  0.78072,  1.07273
Fe,  0.00277,  0.00001,  0.00426,  0.01668,  0.06027,  0.10196,  0.02958,  0.03216,  1.08712, 11.62214
Zn,  0.00322,  0.00090,  0.00155,  0.00261,  0.00343,  0.00475,  0.00255,  0.00107,  0.41823,  0.33135
Br,  0.00432,  0.00350,  0.00412,  0.00422,  0.00432,  0.00478,  0.00422,  0.00030,  0.07012,  0.06850
Pb,  0.00150,  0.00114,  0.00132,  0.00146,  0.00152,  0.00159,  0.00143,  0.00012,  0.08167,  0.07764

Factor 2,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,  9.71760,  5.20550,  7.14635,  7.77205,  8.26383,  9.71760,  7.64411,  1.12310,  0.14692,  0.11557
Na,  0.03225,  0.00000,  0.00000,  0.00414,  0.04687,  0.07070,  0.01903,  0.02657,  1.39640,  0.82391
Mg,  0.01791,  0.00000,  0.00000,  0.00096,  0.01729,  0.04426,  0.01021,  0.01406,  1.37697,  0.78539
Al,  0.48977,  0.23798,  0.26587,  0.32354,  0.40761,  0.57679,  0.34871,  0.10122,  0.29028,  0.20668
Si,  0.98198,  0.48642,  0.65818,  0.73229,  0.86189,  1.08230,  0.75928,  0.14886,  0.19606,  0.15160
P,  0.00780,  0.00000,  0.00367,  0.00942,  0.01235,  0.01332,  0.00846,  0.00450,  0.53224,  0.57753
S,  0.00000,  0.00000,  0.00000,  0.00010,  0.00203,  0.01711,  0.00203,  0.00411,  2.02657,  0.00000
Cl,  0.43316,  0.05637,  0.18758,  0.29730,  0.35113,  0.43316,  0.26651,  0.11211,  0.42064,  0.25881
K,  0.02169,  0.00019,  0.01351,  0.02421,  0.03110,  0.05153,  0.02315,  0.01293,  0.55849,  0.59610
Ca,  0.64770,  0.22348,  0.36388,  0.45802,  0.52180,  0.64770,  0.44133,  0.10893,  0.24683,  0.16819
Ti,  0.05034,  0.01919,  0.02711,  0.03408,  0.04264,  0.05201,  0.03450,  0.00978,  0.28353,  0.19432
V,  0.00019,  0.00000,  0.00007,  0.00025,  0.00036,  0.00048,  0.00023,  0.00016,  0.66576,  0.80310
Mn,  0.00467,  0.00244,  0.00272,  0.00323,  0.00378,  0.00508,  0.00338,  0.00079,  0.23348,  0.16911
Fe,  0.29108,  0.03689,  0.20727,  0.31339,  0.41178,  0.46644,  0.30039,  0.12991,  0.43246,  0.44629
Zn,  0.00993,  0.00329,  0.00510,  0.01007,  0.01153,  0.01301,  0.00898,  0.00318,  0.35406,  0.32022
Br,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00087,  0.00009,  0.00022,  2.64318,  0.00000
Pb,  0.00204,  0.00109,  0.00135,  0.00144,  0.00185,  0.00213,  0.00155,  0.00030,  0.19612,  0.14860

Factor 3,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,  5.24570,  1.32180,  2.80278,  4.12745,  4.76055,  5.75840,  3.89036,  1.16587,  0.29968,  0.22225
Na,  0.14259,  0.00419,  0.05408,  0.06937,  0.14123,  0.20624,  0.09275,  0.05518,  0.59495,  0.38701
Mg,  0.03057,  0.01521,  0.02519,  0.03296,  0.04057,  0.04930,  0.03278,  0.00920,  0.28082,  0.30106
Al,  0.16927,  0.02480,  0.09707,  0.19127,  0.24334,  0.33450,  0.17998,  0.09226,  0.51261,  0.54505
Si,  0.47410,  0.10137,  0.25261,  0.44278,  0.59450,  0.66091,  0.41292,  0.17769,  0.43032,  0.37479
P,  0.00856,  0.00276,  0.00439,  0.00546,  0.00623,  0.01056,  0.00556,  0.00186,  0.33514,  0.21764
S,  0.11443,  0.06946,  0.09219,  0.10955,  0.13052,  0.13582,  0.10899,  0.02183,  0.20029,  0.19077
Cl,  0.16060,  0.00000,  0.00000,  0.00823,  0.19343,  0.37902,  0.09054,  0.12329,  1.36164,  0.76767
K,  0.14660,  0.09341,  0.11910,  0.14490,  0.16486,  0.18948,  0.14227,  0.02660,  0.18695,  0.18143
Ca,  0.11505,  0.00000,  0.02752,  0.06139,  0.18424,  0.24106,  0.09957,  0.08155,  0.81897,  0.70880
