"Sample    : Nb2O3",
"Operator  : Mariana",
"Comment  : 47,3 ug/cm2",
"Group     : kerr2007ag180cal_lt",
"Date       : 2008-05-30 22:22:35",
"",
"Mesurement Condition",
"------------------------------------------------------------------------------------",
"Instrument : 700HS2   Atmosphere : Vac.   Collimator : 10(mm)   Spin : No",
"------------------------------------------------------------------------------------",
"Analyte               TG kV   uA      FI Acq.(keV)  Anal.(keV)  Time(sec)     DT(%)",
"------------------------------------------------------------------------------------",
"Na                    Rh 50  187-Auto Al  0 - 20    0.8 - 1.2   Live -  179   15",
"",
"<Profile>",
"Channel_info_start",
"Channel : Na",
"Points : 2048",
"Range : 0.000000 - 20.480000",
"Step : 0.010000",
"Channel_info_end",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"15",
"41",
"29",
"44",
"43",
"69",
"63",
"62",
"60",
"77",
"81",
"90",
"81",
"84",
"73",
"81",
"75",
"68",
"69",
"74",
"48",
"60",
"52",
"61",
"49",
"59",
"50",
"52",
"61",
"56",
"48",
"56",
"45",
"53",
"45",
"42",
"59",
"37",
"50",
"48",
"38",
"52",
"57",
"38",
"42",
"43",
"43",
"52",
"46",
"54",
"46",
"62",
"56",
"56",
"50",
"50",
"45",
"43",
"42",
"53",
"49",
"39",
"50",
"59",
"51",
"44",
"55",
"51",
"45",
"52",
"54",
"41",
"44",
"54",
"46",
"33",
"37",
"33",
"45",
"54",
"40",
"49",
"45",
"38",
"36",
"48",
"44",
"56",
"32",
"46",
"31",
"38",
"38",
"44",
"34",
"34",
"30",
"46",
"36",
"36",
"31",
"36",
"43",
"26",
"31",
"36",
"24",
"25",
"21",
"22",
"29",
"29",
"21",
"41",
"42",
"32",
"44",
"39",
"45",
"24",
"34",
"35",
"33",
"35",
"27",
"33",
"29",
"39",
"26",
"27",
"36",
"37",
"38",
"36",
"26",
"30",
"29",
"40",
"42",
"54",
"52",
"55",
"61",
"60",
"57",
"71",
"65",
"79",
"78",
"82",
"88",
"97",
"82",
"141",
"147",
"140",
"144",
"198",
"212",
"217",
"219",
"234",
"230",
"248",
"235",
"227",
"216",
"234",
"187",
"243",
"228",
"240",
"220",
"221",
"271",
"302",
"373",
"506",
"600",
"795",
"1003",
"1304",
"1600",
"1976",
"2098",
"2431",
"2500",
"2599",
"2553",
"2517",
"2404",
"2304",
"2095",
"2031",
"1815",
"1666",
"1576",
"1438",
"1270",
"1225",
"1053",
"1018",
"782",
"782",
"666",
"620",
"452",
"396",
"291",
"274",
"246",
"217",
"171",
"149",
"125",
"131",
"102",
"94",
"67",
"62",
"58",
"45",
"43",
"42",
"43",
"38",
"34",
"34",
"45",
"36",
"37",
"53",
"38",
"54",
"56",
"57",
"63",
"80",
"71",
"53",
"64",
"45",
"46",
"59",
"38",
"38",
"30",
"43",
"29",
"32",
"33",
"34",
"25",
"20",
"32",
"24",
"29",
"25",
"25",
"27",
"15",
"27",
"15",
"22",
"16",
"15",
"18",
"23",
"15",
"22",
"19",
"20",
"22",
"23",
"19",
"14",
"22",
"16",
"17",
"19",
"21",
"20",
"25",
"12",
"15",
"24",
"21",
"25",
"21",
"26",
"24",
"18",
"18",
"20",
"22",
"18",
"19",
"27",
"23",
"24",
"18",
"20",
"18",
"21",
"22",
"17",
"22",
"26",
"15",
"16",
"26",
"25",
"22",
"22",
"11",
"33",
"21",
"26",
"22",
"25",
"21",
"34",
"41",
"42",
"54",
"51",
"65",
"89",
"119",
"143",
"173",
"208",
"249",
"288",
"335",
"387",
"423",
"505",
"472",
"528",
"482",
"458",
"409",
"386",
"308",
"267",
"241",
"187",
"158",
"140",
"91",
"70",
"87",
"67",
"53",
"39",
"35",
"35",
"43",
"62",
"32",
"55",
"43",
"60",
"49",
"74",
"71",
"57",
"75",
"89",
"80",
"97",
"78",
"91",
"75",
"61",
"70",
"54",
"54",
"63",
"45",
"55",
"40",
"46",
"29",
"36",
"26",
"38",
"34",
"21",
"43",
"23",
"29",
"39",
"24",
"33",
"34",
"43",
"24",
"29",
"23",
"24",
"39",
"30",
"49",
"37",
"41",
"26",
"33",
"40",
"33",
"45",
"46",
"43",
"42",
"55",
"44",
"46",
"38",
"63",
"46",
"50",
"52",
"62",
"46",
"54",
"56",
"46",
"54",
"50",
