id,ug_cm2,erro
GPE607,4.7221512153,0.1094711732
GPE608,9.9145462451,0.2534828362
GPE609,10.6535805061,0.2742612364
GPE611,1.3837068601,0.0358680626
GPE612,1.3787248547,0.0358322896
GPE613,0.5812583834,0.0372578148
GPE614,2.5894255642,0.0555113889
GPE615,2.3871063506,0.0511567635
GPE616,5.4637580216,0.129592609
GPE617,0.9427826539,0.0348444115
GPE618,3.0077254877,0.0651974451
GPE619,5.0333434279,0.1178757384
GPE620,1.7230361626,0.0394360391
GPE632,9.9145462451,0.2534828362
GPE646,10.8476597617,0.2797223989
GPE647,7.0851211192,0.1743353274
GPE649,0.3075877667,0.0407394567
GPE750,0.2596255385,0.0414693183
GPE753,10.8476597617,0.2797223989
GPE754,0.2706380041,0.041298915
GPE758,10.8476597617,0.2797223989
GPE790,2.4068415943,0.0515696187
GPE791,2.2078753142,0.0475450525
GPE792,2.548055684,0.0546001656
GPE793,0.3637225172,0.0399271705
GPE794,1.5416175773,0.0372626909
GPE795,0.846840856,0.0352110189
GPE796,1.1146750032,0.0347153076
GPE797,2.6453241745,0.0567579192
GPE798,0.5335410518,0.0377732819
