id,ug_cm2,erro
ACC469,4.5999224166,0.1061887711
ACC470,5.0469029996,0.1182433468
ACC471,6.1117897836,0.1473837977
ACC472,5.6192836373,0.1338479405
ACC473,3.6522775157,0.0812611039
ACC475,5.5251762807,0.131271844
ACC477,0.3038759326,0.0407947881
ACC478,0.3599532539,0.0399802441
ACC479,3.9719299549,0.0895435484
ACC480,4.1059531707,0.0930596666
ACC481,3.9017491895,0.0877118332
ACC482,4.5759597052,0.1055466441
ACC483,4.5999224166,0.1061887711
ACC484,4.2560041781,0.0970217884
ACC485,3.8720794699,0.0869395537
ACC486,3.8918324931,0.0874535673
ACC487,3.2570703956,0.0712850952
ACC488,3.078380113,0.0669027932
ACC489,3.3412745911,0.0733807853
ACC490,3.8819426348,0.087196142
ACC491,3.5426402805,0.0784602304
ACC493,3.8524326462,0.0864288736
ACC495,5.6996011648,0.1360493893
ACC496,4.8102109075,0.1118428697
ACC498,3.7653061257,0.0841713091
ACC499,3.4890310004,0.0770993024
ACC500,3.1910767214,0.0696557949
ACC501,3.4361968213,0.075763988
ACC502,5.0198339841,0.1175095971
ACC503,6.4947892491,0.1579620896
ACC504,6.5764529915,0.1602225314
ACC507,9.0480027479,0.2291616907
ACC508,1.9603383997,0.0430484654
ACC511,0.8425391482,0.03523229
ACC512,8.626622276,0.2173556659
ACC514,11.4220631016,0.2958948425
ACC515,0.6827168824,0.0363054402
ACC516,5.2854641054,0.1247276248
ACC517,1.4440268057,0.0363420094
ACC518,0.6417948378,0.0366653789
ACC520,3.9316617745,0.088491712
ACC521,0.5732620993,0.0373412701
ACC522,1.9370625223,0.042660716
ACC523,1.2419168848,0.0350588436
ACC524,3.7941181046,0.0849165501
ACC527,7.4074037816,0.1833022404
ACC528,6.4546316978,0.15685113
ACC533,5.5876444752,0.1329814403
ACC534,3.6061949328,0.0800810691
ACC535,5.8487769955,0.1401446876
ACC536,2.6172679876,0.0561301336
ACC537,5.299994146,0.1251235269
ACC538,8.5549670313,0.2153496589
ACC539,7.4074037816,0.1833022404
ACC540,0.2559620791,0.0415263712
ACC541,0.3038759326,0.0407947881
ACC542,4.4816499447,0.103024106
ACC543,3.2737567278,0.0716989345
ACC544,3.8231590553,0.0856690411
ACC545,2.2266635324,0.0479111271
ACC546,5.6672620122,0.1351626902
ACC547,1.4899292983,0.0367519731
ACC548,10.6535805061,0.2742612364
ACC549,0.2340581151,0.0418712504
ACC550,5.1154659939,0.1201037592
ACC551,3.9517403986,0.0890159034
ACC552,5.6352065401,0.1342841736
ACC553,4.9929640072,0.1167816747
ACC554,3.2821285537,0.0719068411
ACC555,10.5911123116,0.2725038256
ACC556,5.6352065401,0.1342841736
ACC557,0.3224729213,0.0405195562
ACC558,5.4183624018,0.1283525229
ACC559,3.9216636824,0.0882309018
ACC560,7.1570113143,0.1763339923
ACC561,9.5243839904,0.2425258281
ACC562,1.2085004498,0.0349328704
ACC563,7.9663997186,0.1988927605
ACC564,9.4784173416,0.2412355911
ACC565,3.62455829,0.080550829
ACC566,0.3411650357,0.0402479855
ACC567,0.2632926742,0.0414123905
ACC568,5.8487769955,0.1401446876
ACC569,0.5374937838,0.0377290059
ACC570,1.6633506423,0.0386589665
ACC571,2.8331358804,0.0610613095
ACC572,5.0605130727,0.1186124325
ACC573,7.1570113143,0.1763339923
ACC575,0.6621985781,0.036481742
ACC576,0.315022765,0.0406292188
ACC577,4.0228973138,0.0908779799
ACC578,8.3146917463,0.2086268038
ACC579,4.0024249891,0.090341561
ACC580,7.9064918131,0.1972199039
ACC581,3.5246829943,0.0780037094
ACC582,9.6658584475,0.2464977616
ACC583,2.8183411217,0.0607164234
ACC584,0.3038759326,0.0407947881
ACC585,10.7171351584,0.2760494002
ACC586,0.42073304,0.0391512591
ACC587,9.4330217218,0.2399615252
ACC588,8.8504248799,0.2236241334
ACC589,10.5911123116,0.2725038256
ACC590,1.2756417158,0.035211396
ACC591,9.0480027479,0.2291616907
ACC592,10.0723103298,0.2579159956
ACC593,10.6535805061,0.2742612364
ACC594,4.7346019953,0.1098061692
ACC595,3.3327663209,0.0731682157
ACC596,0.2559620791,0.0415263712
ACC597,0.3001678649,0.0408502594
ACC598,2.2645322692,0.0486583374
ACC599,3.8622428545,0.0866837988
ACC600,8.4157387481,0.2114533626
ACC601,2.6312691557,0.0564428944
ACC602,2.3285321606,0.0499482531
ACC603,10.2371939542,0.2625507129
ACC604,1.4238093245,0.0361748347
ACC605,8.5549670313,0.2153496589
ACC606,7.0851211192,0.1743353274
ACC607,0.2853731063,0.0410735183
ACC608,0.2050555788,0.0423376015
ACC609,3.4361968213,0.075763988
ACC610,4.3334052646,0.0990750994
ACC611,11.1235870407,0.2874895134
ACC612,7.5125707631,0.1862319698
ACC613,8.9281788854,0.2258029721
ACC614,3.0942684006,0.0672885459
ACC615,9.4784173416,0.2412355911
