Acquisition date and time: 00-00-   0 (00:00:00)
Live Time:,        0
Real Time:,        0
 
Photopeaks:,     8
  13,      1.487,        345,         58,       1.11
  19,      3.313,        358,         63,       1.27
  20,      3.691,       1483,         79,       2.07
  26,      6.399,       2662,        209,       2.25
  29,      8.041,       6671,        382,       2.52
  30,      8.631,       2311,        370,       1.18
  45,      2.696,        528,         54,       1.10
  58,      4.838,        609,        194,       1.06
