Acquisition date and time: 00-00-   0 (00:00:00)
Live Time:,        0
Real Time:,        0
 
Photopeaks:,    12
  13,      1.487,        218,         69,       0.94
  14,      1.740,        121,         66,       1.33
  19,      3.313,        611,         77,       1.33
  20,      3.691,        500,         85,       1.19
  23,      4.950,        438,        160,       1.09
  24,      5.412,        551,        183,       2.24
  26,      6.399,       4474,        252,       2.09
  28,      7.472,        859,        453,       1.64
  29,      8.041,       8852,        456,       2.19
  30,      8.631,       2569,        442,       1.91
  45,      2.696,        818,         66,       2.24
  58,      4.838,        348,        243,       1.42
