**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 19

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
Ti,  0.01216,  0.01214,  0.01216,  0.01217,  0.01238,  0.01688,  0.01290,  0.00171,  0.13253,  0.14066
V,  0.00078,  0.00078,  0.00078,  0.00078,  0.00078,  0.00100,  0.00081,  0.00008,  0.10045,  0.10476
Mn,  0.00350,  0.00350,  0.00350,  0.00351,  0.00353,  0.00403,  0.00359,  0.00019,  0.05271,  0.05393
Fe,  0.13841,  0.13820,  0.13840,  0.13856,  0.14027,  0.17888,  0.14478,  0.01465,  0.10121,  0.10587
Zn,  0.01510,  0.01503,  0.01507,  0.01508,  0.01509,  0.01510,  0.01508,  0.00002,  0.00118,  0.00118
Br,  0.00478,  0.00000,  0.00476,  0.00477,  0.00477,  0.00478,  0.00406,  0.00175,  0.43100,  0.36557
Pb,  0.00928,  0.00849,  0.00926,  0.00928,  0.00928,  0.00929,  0.00916,  0.00028,  0.03109,  0.03067
BC,  2.24420,  2.13690,  2.23900,  2.24205,  2.24318,  2.24510,  2.22674,  0.03749,  0.01684,  0.01671

Factor 4,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,  3.49290,  1.66480,  3.47755,  3.48855,  3.49093,  3.49470,  3.21458,  0.66659,  0.20737,  0.19084
Na,  0.13019,  0.07653,  0.12997,  0.13006,  0.13017,  0.13025,  0.12207,  0.01958,  0.16040,  0.15040
Mg,  0.02222,  0.01297,  0.02208,  0.02221,  0.02222,  0.02224,  0.02081,  0.00337,  0.16196,  0.15166
Al,  0.02544,  0.02031,  0.02435,  0.02529,  0.02538,  0.02550,  0.02442,  0.00184,  0.07519,  0.07215
Si,  0.05192,  0.01921,  0.04959,  0.05159,  0.05179,  0.05205,  0.04646,  0.01179,  0.25377,  0.22711
P,  0.00716,  0.00173,  0.00714,  0.00715,  0.00716,  0.00716,  0.00634,  0.00199,  0.31326,  0.27741
S,  0.29066,  0.08410,  0.29019,  0.29038,  0.29065,  0.29083,  0.25955,  0.07551,  0.29091,  0.25977
Cl,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
K,  0.19151,  0.07367,  0.19112,  0.19132,  0.19148,  0.19163,  0.17371,  0.04308,  0.24800,  0.22494
Ca,  0.01902,  0.00376,  0.01866,  0.01895,  0.01899,  0.01904,  0.01664,  0.00555,  0.33346,  0.29178
Ti,  0.00107,  0.00042,  0.00100,  0.00106,  0.00107,  0.00108,  0.00096,  0.00023,  0.24329,  0.21753
V,  0.00020,  0.00010,  0.00020,  0.00020,  0.00020,  0.00020,  0.00019,  0.00004,  0.19865,  0.18338
Mn,  0.00021,  0.00020,  0.00021,  0.00021,  0.00021,  0.00024,  0.00022,  0.00001,  0.04827,  0.04858
Fe,  0.00765,  0.00000,  0.00707,  0.00757,  0.00762,  0.00768,  0.00636,  0.00276,  0.43294,  0.36011
Zn,  0.00220,  0.00219,  0.00220,  0.00220,  0.00220,  0.00357,  0.00240,  0.00050,  0.20926,  0.22866
Br,  0.00726,  0.00725,  0.00726,  0.00726,  0.00727,  0.02042,  0.00923,  0.00482,  0.52177,  0.66353
Pb,  0.00024,  0.00024,  0.00024,  0.00024,  0.00024,  0.00160,  0.00044,  0.00050,  1.13480,  2.11585
