**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 20

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,  7.25400,  7.25400,  7.46498,  8.52820,  8.98738,  9.47500,  8.33588,  0.77493,  0.09296,  0.10683
Na,  0.00419,  0.00000,  0.00000,  0.00271,  0.01779,  0.04353,  0.01117,  0.01486,  1.33007,  3.54497
Mg,  0.08566,  0.08566,  0.08841,  0.08944,  0.09188,  0.09705,  0.09043,  0.00295,  0.03267,  0.03450
Al,  0.54007,  0.53506,  0.55572,  0.60781,  0.63360,  0.66960,  0.59816,  0.04422,  0.07392,  0.08187
Si,  1.20090,  1.19120,  1.23470,  1.36285,  1.42148,  1.50190,  1.33736,  0.10387,  0.07767,  0.08650
P,  0.00125,  0.00102,  0.00119,  0.00275,  0.00313,  0.00329,  0.00228,  0.00094,  0.41313,  0.75305
S,  0.01211,  0.01149,  0.01219,  0.01430,  0.01799,  0.01905,  0.01501,  0.00283,  0.18846,  0.23354
Cl,  0.13232,  0.12518,  0.15068,  0.17593,  0.18430,  0.25307,  0.17358,  0.03388,  0.19516,  0.25601
K,  0.07519,  0.07280,  0.07937,  0.08344,  0.08616,  0.09613,  0.08366,  0.00623,  0.07442,  0.08280
Ca,  0.23550,  0.23151,  0.23839,  0.29928,  0.31724,  0.33383,  0.28428,  0.03906,  0.13739,  0.16585
Ti,  0.03730,  0.03687,  0.03820,  0.04343,  0.04543,  0.04795,  0.04223,  0.00383,  0.09074,  0.10273
V,  0.00065,  0.00064,  0.00067,  0.00075,  0.00077,  0.00082,  0.00073,  0.00006,  0.08138,  0.09098
Mn,  0.00490,  0.00485,  0.00506,  0.00553,  0.00581,  0.00614,  0.00546,  0.00042,  0.07609,  0.08481
Fe,  0.35795,  0.35366,  0.36601,  0.42212,  0.44207,  0.46648,  0.40874,  0.03959,  0.09685,  0.11059
Zn,  0.00003,  0.00000,  0.00001,  0.00107,  0.00137,  0.00157,  0.00080,  0.00064,  0.80016, 22.73045
Br,  0.00000,  0.00000,  0.00000,  0.00006,  0.00015,  0.00018,  0.00008,  0.00007,  0.96297,  0.00000
Pb,  0.00044,  0.00042,  0.00050,  0.00062,  0.00071,  0.00081,  0.00062,  0.00013,  0.20601,  0.28587

Factor 2,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,  7.97740,  5.84630,  5.98995,  6.87280,  7.78200,  9.10030,  6.94606,  0.94207,  0.13563,  0.11809
Na,  0.00003,  0.00000,  0.00091,  0.00510,  0.01393,  0.08121,  0.01465,  0.02416,  1.64977,923.54905
Mg,  0.01054,  0.00000,  0.00011,  0.00307,  0.01014,  0.02057,  0.00570,  0.00639,  1.12083,  0.60644
Al,  0.42251,  0.28511,  0.29745,  0.35113,  0.41734,  0.48546,  0.35194,  0.06112,  0.17367,  0.14466
Si,  1.00940,  0.69306,  0.72016,  0.84500,  0.99195,  1.15500,  0.84787,  0.14009,  0.16522,  0.13878
P,  0.01075,  0.00872,  0.00887,  0.00952,  0.01067,  0.01141,  0.00976,  0.00093,  0.09504,  0.08631
S,  0.00000,  0.00000,  0.00000,  0.00000,  0.00067,  0.00499,  0.00046,  0.00113,  2.48490,  0.00000
Cl,  0.25696,  0.20076,  0.22016,  0.24789,  0.26799,  0.35302,  0.25389,  0.04549,  0.17917,  0.17703
K,  0.03577,  0.01666,  0.02356,  0.02753,  0.03517,  0.04065,  0.02823,  0.00686,  0.24292,  0.19172
Ca,  0.42242,  0.32426,  0.33053,  0.36969,  0.41247,  0.46858,  0.37483,  0.04325,  0.11538,  0.10239
Ti,  0.03874,  0.02767,  0.02854,  0.03291,  0.03765,  0.04373,  0.03314,  0.00486,  0.14653,  0.12533
V,  0.00059,  0.00041,  0.00042,  0.00049,  0.00057,  0.00067,  0.00050,  0.00008,  0.15769,  0.13358
Mn,  0.00400,  0.00274,  0.00285,  0.00335,  0.00394,  0.00458,  0.00336,  0.00056,  0.16652,  0.13971
Fe,  0.40607,  0.29434,  0.30334,  0.34689,  0.39479,  0.45646,  0.34986,  0.04889,  0.13976,  0.12041
Zn,  0.00755,  0.00627,  0.00636,  0.00679,  0.00760,  0.00794,  0.00695,  0.00062,  0.08856,  0.08157
Br,  0.00012,  0.00008,  0.00011,  0.00014,  0.00016,  0.00028,  0.00014,  0.00004,  0.29458,  0.34071
Pb,  0.00138,  0.00106,  0.00112,  0.00125,  0.00136,  0.00146,  0.00124,  0.00013,  0.10306,  0.09276

Factor 3,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,  4.07110,  4.04740,  4.54830,  4.90635,  5.12255,  5.29280,  4.79876,  0.37599,  0.07835,  0.09236
Na,  0.50008,  0.49100,  0.49742,  0.50985,  0.55265,  0.59122,  0.52438,  0.03444,  0.06568,  0.06887
Mg,  0.06235,  0.06198,  0.06912,  0.07234,  0.07535,  0.08045,  0.07161,  0.00477,  0.06656,  0.07643
Al,  0.05195,  0.05074,  0.05874,  0.10644,  0.12864,  0.13891,  0.09859,  0.03397,  0.34453,  0.65389
Si,  0.15402,  0.15127,  0.17630,  0.27502,  0.32528,  0.34957,  0.25970,  0.07430,  0.28608,  0.48238
P,  0.00000,  0.00000,  0.00000,  0.00022,  0.00043,  0.00051,  0.00023,  0.00021,  0.91212,11085.07650
S,  0.02735,  0.01979,  0.02091,  0.02375,  0.02810,  0.03262,  0.02524,  0.00443,  0.17552,  0.16196
Cl,  0.91819,  0.91509,  0.92200,  0.95143,  1.02260,  1.08500,  0.97386,  0.05967,  0.06127,  0.06498
K,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00557,  0.00055,  0.00151,  2.72286,  0.00000
Ca,  0.12957,  0.12877,  0.14861,  0.16018,  0.16886,  0.17743,  0.15781,  0.01517,  0.09615,  0.11711
Ti,  0.00601,  0.00592,  0.00694,  0.00980,  0.01151,  0.01235,  0.00945,  0.00234,  0.24719,  0.38863
V,  0.00015,  0.00015,  0.00017,  0.00022,  0.00025,  0.00026,  0.00021,  0.00004,  0.19581,  0.28045
Mn,  0.00068,  0.00067,  0.00078,  0.00114,  0.00133,  0.00143,  0.00108,  0.00028,  0.25620,  0.40797
Fe,  0.07167,  0.07080,  0.08318,  0.10820,  0.12497,  0.13357,  0.10551,  0.02215,  0.20992,  0.30905
Zn,  0.00084,  0.00060,  0.00075,  0.00082,  0.00091,  0.00130,  0.00084,  0.00015,  0.18198,  0.18228
Br,  0.00055,  0.00031,  0.00034,  0.00042,  0.00056,  0.00067,  0.00046,  0.00013,  0.27387,  0.22959
Pb,  0.00006,  0.00001,  0.00003,  0.00005,  0.00006,  0.00012,  0.00005,  0.00002,  0.49006,  0.42747

Factor 4,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,  5.54800,  4.03830,  4.35603,  4.65930,  5.32370,  5.63570,  4.77356,  0.50269,  0.10531,  0.09061
Na,  0.12975,  0.00000,  0.01925,  0.10185,  0.12899,  0.14342,  0.08390,  0.05420,  0.64606,  0.41774
Mg,  0.02272,  0.00273,  0.00871,  0.01321,  0.01981,  0.02357,  0.01354,  0.00626,  0.46212,  0.27540
Al,  0.10939,  0.03810,  0.04902,  0.07297,  0.09655,  0.11435,  0.07521,  0.02531,  0.33645,  0.23133
Si,  0.28937,  0.13057,  0.14877,  0.20165,  0.26065,  0.29454,  0.20874,  0.05683,  0.27227,  0.19640
P,  0.00173,  0.00055,  0.00138,  0.00155,  0.00163,  0.00173,  0.00145,  0.00032,  0.22205,  0.18682
S,  0.14249,  0.13529,  0.13760,  0.14264,  0.14466,  0.14793,  0.14147,  0.00387,  0.02738,  0.02718
Cl,  0.32277,  0.07824,  0.11082,  0.25265,  0.31926,  0.33387,  0.22900,  0.09801,  0.42800,  0.30365
K,  0.17574,  0.16698,  0.17105,  0.17529,  0.17794,  0.18199,  0.17452,  0.00420,  0.02405,  0.02388
Ca,  0.12278,  0.05739,  0.07763,  0.09118,  0.11177,  0.12441,  0.09329,  0.01853,  0.19867,  0.15096
Ti,  0.01039,  0.00526,  0.00559,  0.00738,  0.00925,  0.01055,  0.00762,  0.00188,  0.24666,  0.18090
V,  0.00008,  0.00000,  0.00000,  0.00003,  0.00006,  0.00009,  0.00003,  0.00003,  0.93104,  0.36475
