Acquisition date and time: 00-00-   0 (00:00:00)
Live Time:,        0
Real Time:,        0
 
Photopeaks:,    11
  12,      1.254,         37,         67,       1.01
  13,      1.487,        316,         71,       1.96
  14,      1.740,         51,         68,       0.98
  19,      3.313,        146,         75,       1.20
  20,      3.691,        235,         85,       1.11
  24,      5.412,        806,        189,       2.54
  26,      6.399,       2506,        255,       3.16
  29,      8.041,       8425,        469,       2.01
  30,      8.631,       2185,        455,       1.28
  45,      2.696,        631,         66,       1.41
  58,      4.838,        697,        242,       1.71
