**** Analysis Summary ****

Time of run: ,05/08/16 00:04
Concentration file: ,C:\Users\thiago\Documents\EPA PMF\Data\pmf_fa\TFeH.csv
Uncertainty file: ,C:\Users\thiago\Documents\EPA PMF\Data\pmf_fa\TFeHunc8.csv
Configuration file: ,


**** Input Data Statistics ****

Species,Category,S/N,Min,25th,Median,75th,Max,% Modeled Samples,% Raw Samples
8                    4,0.00001,0.00721,0.00006,0.00005,0.00006,0.00009,0.00031,0.00219,0.00014,0.00005,0.00004,0.00002,0.00006,0.00004,0.00012,0.00002,0.00003,0.00051,
8                    5,0.00001,0.00789,0.00006,0.00005,0.00006,0.00010,0.00029,0.00191,0.00014,0.00005,0.00004,0.00003,0.00006,0.00004,0.00011,0.00004,0.00002,0.00046,
8                    6,0.00001,0.00801,0.00006,0.00006,0.00006,0.00011,0.00028,0.00194,0.00013,0.00004,0.00004,0.00002,0.00006,0.00004,0.00013,0.00002,0.00003,0.00045,
8                    7,0.00001,0.00449,0.00005,0.00005,0.00007,0.00010,0.00033,0.00238,0.00019,0.00004,0.00004,0.00002,0.00005,0.00004,0.00015,0.00003,0.00002,0.00054,
9                    1,0.00000,0.00104,0.00001,0.00001,0.00000,0.00002,0.00002,0.00007,0.00001,0.00001,0.00001,0.00000,0.00001,0.00001,0.00001,0.00002,0.00001,0.00003,
9                    2,0.00000,0.00003,0.00001,0.00001,0.00000,0.00001,0.00001,0.00002,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00001,0.00001,0.00000,0.00000,
9                    3,0.00000,0.00001,0.00001,0.00000,0.00000,0.00002,0.00003,0.00004,0.00001,0.00000,0.00001,0.00000,0.00001,0.00000,0.00001,0.00003,0.00000,0.00002,
9                    4,0.00000,0.00018,0.00001,0.00001,0.00000,0.00001,0.00001,0.00002,0.00000,0.00000,0.00000,0.00001,0.00001,0.00000,0.00000,0.00004,0.00000,0.00001,
9                    5,0.00000,0.00002,0.00001,0.00000,0.00000,0.00001,0.00001,0.00004,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00001,0.00001,0.00000,0.00001,
9                    6,0.00000,0.00023,0.00001,0.00001,0.00000,0.00002,0.00001,0.00004,0.00001,0.00000,0.00000,0.00000,0.00001,0.00000,0.00001,0.00004,0.00000,0.00002,
9                    7,0.00000,0.00039,0.00001,0.00001,0.00000,0.00001,0.00002,0.00010,0.00001,0.00001,0.00000,0.00001,0.00001,0.00001,0.00001,0.00003,0.00000,0.00003,
9                    8,0.00001,0.00735,0.00006,0.00007,0.00007,0.00011,0.00031,0.00204,0.00016,0.00004,0.00004,0.00002,0.00006,0.00004,0.00013,0.00004,0.00003,0.00047,
10                    1,0.00000,0.00066,0.00001,0.00001,0.00001,0.00002,0.00003,0.00013,0.00002,0.00001,0.00001,0.00001,0.00002,0.00001,0.00002,0.00002,0.00001,0.00004,
10                    2,0.00000,0.00024,0.00001,0.00001,0.00001,0.00002,0.00001,0.00006,0.00001,0.00001,0.00000,0.00001,0.00001,0.00000,0.00002,0.00001,0.00001,0.00003,
10                    3,0.00000,0.00016,0.00001,0.00001,0.00001,0.00002,0.00004,0.00016,0.00002,0.00001,0.00001,0.00001,0.00002,0.00001,0.00002,0.00003,0.00001,0.00003,
10                    4,0.00000,0.00013,0.00001,0.00001,0.00001,0.00001,0.00001,0.00011,0.00001,0.00001,0.00000,0.00001,0.00001,0.00000,0.00002,0.00002,0.00001,0.00002,
10                    5,0.00000,0.00023,0.00001,0.00000,0.00001,0.00001,0.00001,0.00004,0.00001,0.00001,0.00000,0.00001,0.00001,0.00000,0.00001,0.00001,0.00001,0.00002,
10                    6,0.00000,0.00025,0.00001,0.00001,0.00001,0.00001,0.00001,0.00007,0.00002,0.00001,0.00000,0.00001,0.00001,0.00000,0.00003,0.00001,0.00001,0.00003,
10                    7,0.00000,0.00014,0.00001,0.00000,0.00001,0.00002,0.00003,0.00021,0.00003,0.00001,0.00000,0.00000,0.00001,0.00001,0.00002,0.00002,0.00001,0.00004,
10                    8,0.00001,0.00574,0.00005,0.00005,0.00005,0.00010,0.00027,0.00164,0.00011,0.00003,0.00004,0.00001,0.00005,0.00003,0.00009,0.00002,0.00002,0.00044,
10                    9,0.00000,0.00016,0.00001,0.00001,0.00001,0.00002,0.00001,0.00007,0.00001,0.00001,0.00000,0.00001,0.00001,0.00000,0.00002,0.00002,0.00001,0.00002,
11                    1,0.00000,0.00145,0.00001,0.00001,0.00001,0.00002,0.00002,0.00010,0.00001,0.00001,0.00001,0.00001,0.00002,0.00001,0.00001,0.00003,0.00001,0.00003,
11                    2,0.00000,0.00001,0.00001,0.00001,0.00000,0.00002,0.00001,0.00007,0.00001,0.00001,0.00000,0.00000,0.00001,0.00000,0.00001,0.00001,0.00000,0.00002,
11                    3,0.00000,0.00004,0.00001,0.00001,0.00000,0.00003,0.00003,0.00004,0.00001,0.00001,0.00000,0.00001,0.00001,0.00000,0.00002,0.00002,0.00000,0.00002,
11                    4,0.00000,0.00017,0.00001,0.00001,0.00000,0.00001,0.00001,0.00003,0.00001,0.00001,0.00000,0.00001,0.00001,0.00000,0.00001,0.00002,0.00000,0.00002,
11                    5,0.00000,0.00001,0.00001,0.00001,0.00001,0.00001,0.00002,0.00012,0.00001,0.00001,0.00000,0.00000,0.00001,0.00000,0.00002,0.00002,0.00000,0.00003,
11                    6,0.00000,0.00016,0.00001,0.00001,0.00001,0.00002,0.00001,0.00011,0.00001,0.00001,0.00000,0.00001,0.00001,0.00000,0.00001,0.00002,0.00000,0.00003,
11                    7,0.00000,0.00063,0.00002,0.00001,0.00001,0.00002,0.00002,0.00008,0.00001,0.00001,0.00000,0.00001,0.00001,0.00001,0.00001,0.00002,0.00000,0.00003,
11                    8,0.00001,0.00820,0.00008,0.00006,0.00007,0.00012,0.00032,0.00247,0.00018,0.00005,0.00004,0.00003,0.00007,0.00005,0.00015,0.00003,0.00003,0.00055,
11                    9,0.00000,0.00004,0.00001,0.00001,0.00000,0.00002,0.00001,0.00005,0.00001,0.00001,0.00000,0.00000,0.00001,0.00000,0.00001,0.00002,0.00000,0.00002,
11                    10,0.00000,0.00027,0.00002,0.00001,0.00001,0.00001,0.00002,0.00021,0.00003,0.00002,0.00000,0.00001,0.00002,0.00001,0.00003,0.00002,0.00001,0.00005,
12                    1,0.00000,0.00054,0.00001,0.00001,0.00000,0.00003,0.00001,0.00005,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00000,0.00002,0.00001,0.00002,
12                    2,0.00000,0.00020,0.00000,0.00000,0.00000,0.00001,0.00000,0.00004,0.00001,0.00000,0.00000,0.00001,0.00000,0.00000,0.00001,0.00000,0.00000,0.00002,
12                    3,0.00000,0.00010,0.00001,0.00001,0.00000,0.00003,0.00002,0.00005,0.00001,0.00000,0.00000,0.00001,0.00001,0.00000,0.00001,0.00001,0.00000,0.00001,
12                    4,0.00000,0.00030,0.00001,0.00000,0.00000,0.00001,0.00000,0.00002,0.00000,0.00001,0.00000,0.00000,0.00000,0.00000,0.00001,0.00002,0.00000,0.00001,
12                    5,0.00000,0.00017,0.00001,0.00000,0.00000,0.00001,0.00001,0.00007,0.00001,0.00001,0.00000,0.00001,0.00001,0.00001,0.00001,0.00001,0.00000,0.00001,
12                    6,0.00000,0.00044,0.00001,0.00001,0.00001,0.00003,0.00001,0.00008,0.00001,0.00000,0.00000,0.00001,0.00001,0.00000,0.00002,0.00002,0.00000,0.00002,
12                    7,0.00000,0.00013,0.00001,0.00000,0.00000,0.00000,0.00001,0.00005,0.00001,0.00001,0.00000,0.00001,0.00001,0.00000,0.00001,0.00001,0.00000,0.00002,
12                    8,0.00001,0.00604,0.00005,0.00005,0.00006,0.00009,0.00033,0.00214,0.00014,0.00004,0.00004,0.00002,0.00006,0.00004,0.00013,0.00003,0.00003,0.00050,
12                    9,0.00000,0.00009,0.00001,0.00001,0.00000,0.00001,0.00001,0.00002,0.00000,0.00000,0.00000,0.00001,0.00000,0.00000,0.00001,0.00001,0.00000,0.00001,
12                    10,0.00000,0.00009,0.00001,0.00000,0.00001,0.00002,0.00001,0.00009,0.00002,0.00001,0.00000,0.00001,0.00001,0.00000,0.00002,0.00002,0.00001,0.00003,
12                    11,0.00000,0.00023,0.00001,0.00001,0.00000,0.00002,0.00001,0.00005,0.00001,0.00001,0.00000,0.00001,0.00001,0.00000,0.00002,0.00001,0.00000,0.00002,
13                    1,0.00000,0.00138,0.00001,0.00001,0.00001,0.00002,0.00002,0.00010,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00004,0.00001,0.00003,
13                    2,0.00000,0.00014,0.00000,0.00001,0.00000,0.00002,0.00000,0.00002,0.00001,0.00000,0.00000,0.00001,0.00000,0.00000,0.00001,0.00002,0.00000,0.00001,
13                    3,0.00000,0.00015,0.00001,0.00001,0.00000,0.00001,0.00003,0.00008,0.00001,0.00000,0.00000,0.00001,0.00001,0.00000,0.00001,0.00002,0.00000,0.00001,
13                    4,0.00000,0.00001,0.00001,0.00000,0.00000,0.00002,0.00001,0.00005,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00001,0.00001,0.00000,0.00001,
13                    5,0.00000,0.00015,0.00001,0.00000,0.00000,0.00001,0.00001,0.00003,0.00000,0.00000,0.00000,0.00001,0.00001,0.00000,0.00001,0.00003,0.00000,0.00001,
13                    6,0.00000,0.00003,0.00001,0.00001,0.00001,0.00002,0.00001,0.00003,0.00001,0.00000,0.00000,0.00001,0.00001,0.00000,0.00002,0.00001,0.00000,0.00001,
13                    7,0.00000,0.00053,0.00001,0.00000,0.00000,0.00003,0.00002,0.00014,0.00002,0.00001,0.00000,0.00001,0.00001,0.00001,0.00002,0.00002,0.00001,0.00003,
13                    8,0.00001,0.00736,0.00005,0.00005,0.00006,0.00012,0.00031,0.00190,0.00012,0.00004,0.00004,0.00002,0.00006,0.00004,0.00010,0.00002,0.00002,0.00047,
13                    9,0.00000,0.00016,0.00000,0.00001,0.00000,0.00002,0.00001,0.00002,0.00001,0.00000,0.00000,0.00001,0.00000,0.00000,0.00001,0.00003,0.00000,0.00001,
13                    10,0.00000,0.00014,0.00001,0.00000,0.00001,0.00001,0.00001,0.00004,0.00001,0.00001,0.00000,0.00000,0.00001,0.00000,0.00001,0.00001,0.00001,0.00002,
13                    11,0.00000,0.00014,0.00001,0.00001,0.00000,0.00002,0.00001,0.00009,0.00001,0.00001,0.00000,0.00001,0.00001,0.00000,0.00002,0.00002,0.00000,0.00003,
