Acquisition date and time: 00-00-   0 (00:00:00)
Live Time:,        0
Real Time:,        0
 
Photopeaks:,    14
  12,      1.254,        213,         67,       0.94
  13,      1.487,        277,         69,       0.70
  19,      3.313,         79,         72,       1.01
  20,      3.691,        116,         81,       1.77
  23,      4.950,        580,        155,       1.64
  24,      5.412,        975,        180,       1.57
  26,      6.399,       4068,        250,       3.60
  29,      8.041,       9187,        463,       2.46
  30,      8.631,       2605,        449,       1.37
  31,      9.243,        697,        435,       1.50
  35,     11.908,        905,        439,       1.93
  45,      2.696,        633,         63,       2.47
  56,      4.464,        455,        205,       1.58
  82,     10.542,        762,        433,       1.33
