**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 19

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
Mn,  0.01724,  0.01388,  0.01417,  0.01423,  0.01427,  0.01726,  0.01448,  0.00096,  0.06594,  0.05539
Fe,  0.93932,  0.79717,  0.81280,  0.81558,  0.81805,  0.94035,  0.82559,  0.03961,  0.04798,  0.04217
Zn,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Br,  0.00010,  0.00010,  0.00051,  0.00052,  0.00052,  0.00055,  0.00048,  0.00013,  0.27194,  1.31692
Pb,  0.00111,  0.00104,  0.00105,  0.00105,  0.00105,  0.00111,  0.00105,  0.00002,  0.01815,  0.01727

Factor 4,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,  2.34810,  2.34770,  2.86283,  2.86980,  2.87845,  2.91280,  2.82356,  0.16344,  0.05789,  0.06961
Na,  0.00000,  0.00000,  0.01852,  0.01893,  0.01942,  0.02089,  0.01729,  0.00593,  0.34305,357779153.45588
Mg,  0.05575,  0.01197,  0.01333,  0.01370,  0.01386,  0.05652,  0.01768,  0.01316,  0.74440,  0.23611
Al,  0.73449,  0.51686,  0.52129,  0.52224,  0.52318,  0.74095,  0.54335,  0.06650,  0.12239,  0.09054
Si,  1.28050,  0.91324,  0.92054,  0.92162,  0.92317,  1.29130,  0.95743,  0.11238,  0.11737,  0.08776
P,  0.01501,  0.01406,  0.01406,  0.01406,  0.01407,  0.01509,  0.01417,  0.00030,  0.02135,  0.02015
S,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Cl,  0.43315,  0.40588,  0.40659,  0.40723,  0.40877,  0.43629,  0.41011,  0.00852,  0.02076,  0.01966
K,  0.00868,  0.00000,  0.00000,  0.00000,  0.00000,  0.00875,  0.00087,  0.00268,  3.07796,  0.30907
Ca,  0.16899,  0.16882,  0.21934,  0.21969,  0.22027,  0.22250,  0.21501,  0.01580,  0.07348,  0.09349
Ti,  0.03258,  0.02737,  0.02742,  0.02744,  0.02746,  0.03281,  0.02796,  0.00162,  0.05787,  0.04967
V,  0.00000,  0.00000,  0.00004,  0.00004,  0.00004,  0.00004,  0.00004,  0.00001,  0.34262,  0.00000
Mn,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Fe,  0.30160,  0.27791,  0.27814,  0.27827,  0.27852,  0.30308,  0.28071,  0.00741,  0.02639,  0.02456
