**** Analysis Summary ****

Time of run: ,08/27/15 18:08
Concentration file: ,E:\pmf_fa\TGsH.csv
Uncertainty file: ,E:\pmf_fa\TGsHunc.csv
Configuration file: ,


**** Input Data Statistics ****

Species,Category,S/N,Min,25th,Median,75th,Max,% Modeled Samples,% Raw Samples
8                    3,0.00724,8.07435,0.13345,0.44589,0.38790,1.17538,0.54133,0.12068,2.38518,6.04819,0.03291,0.02393,0.10341,0.10246,0.88984,0.64820,0.07399,1.09973,
8                    4,0.00008,0.00007,0.00006,0.00046,0.00050,0.00067,0.00149,0.00010,0.02108,0.00563,0.00014,0.00008,0.00025,0.00076,0.00156,0.00175,0.00061,0.01332,
8                    5,0.04264,81.93226,0.72011,2.84238,2.51238,3.88388,11.18488,0.45901,15.58697,35.72341,0.19633,0.15174,0.64727,0.64750,4.42873,3.79556,0.59655,11.64852,
8                    6,0.04197,82.08508,0.65548,2.82955,2.50777,3.86128,10.62469,0.46612,15.32885,35.41719,0.19611,0.15035,0.63850,0.64033,4.35911,3.70671,0.59801,11.63347,
8                    7,0.04219,82.07797,0.65148,2.83774,2.50747,3.77175,7.45433,0.47063,15.06485,35.68292,0.19480,0.14667,0.62874,0.63174,4.33343,3.57517,0.56929,10.62119,
9                    1,29.48477,87.08807,184.44827,1182.58661,1336.25344,55.45412,227.41869,18.66883,5267.95162,8278.58565,66.68152,9.82697,112.94864,93.41366,1118.35492,315.38308,82.23369,1809.18709,
9                    2,29.56690,129.57840,186.42425,1195.06994,1335.89803,59.42567,222.25559,19.43358,5267.33634,8290.46766,66.10526,9.76729,112.03116,92.16663,1120.48692,312.99081,81.80952,1802.47172,
9                    3,29.39097,85.59171,184.63214,1175.48962,1336.96985,54.89718,226.12761,18.70899,5255.13197,8294.44502,67.47355,9.88609,113.37612,94.85333,1113.90494,316.12548,81.96573,1814.14025,
9                    4,29.58840,129.73673,186.43267,1196.46020,1335.87465,59.62814,222.56569,19.44102,5271.23983,8289.56349,65.99746,9.77146,111.98426,91.95847,1121.43546,312.36822,81.85725,1801.60264,
9                    5,29.17396,43.82297,185.10604,1142.94903,1331.34205,55.83051,258.20031,19.82854,5254.09701,8383.01051,69.56516,10.25315,116.53615,99.66241,1111.24327,316.66853,84.10287,1833.56365,
9                    6,29.17983,43.82145,185.34280,1143.67617,1331.38483,55.76195,257.29498,19.82611,5254.95119,8382.35584,69.51042,10.24553,116.50633,99.59874,1111.54472,316.06784,84.09940,1832.37792,
9                    7,29.18362,43.81727,185.31017,1143.55534,1331.46660,55.42960,251.15506,19.82557,5256.06809,8382.20092,69.51360,10.23900,116.39792,99.52392,1110.96792,316.24586,83.95612,1829.70891,
9                    8,29.57932,129.71016,186.37129,1195.47211,1335.54598,59.53527,221.94561,19.42508,5267.62730,8284.21857,65.95791,9.75358,111.96398,91.91431,1121.43522,312.44876,81.87810,1802.65949,
10                    1,0.00308,7.43706,0.08717,0.18115,0.16514,1.04692,0.61202,0.12220,0.93800,1.06458,0.01430,0.00493,0.02301,0.02571,0.21536,0.21303,0.03661,0.94812,
10                    2,0.00021,0.00372,0.00175,0.00755,0.00731,0.00282,0.01788,0.00147,0.05543,0.19115,0.00148,0.00095,0.00358,0.00401,0.02569,0.03086,0.00185,0.00601,
10                    3,0.00529,8.02280,0.10683,0.32300,0.28471,1.09753,0.41190,0.12681,1.66220,3.66060,0.02165,0.01376,0.06293,0.06386,0.56312,0.38271,0.05474,1.05287,
10                    4,0.00036,0.00862,0.00331,0.01423,0.01273,0.00502,0.01687,0.00149,0.09704,0.36445,0.00251,0.00162,0.00676,0.00735,0.04682,0.05134,0.00359,0.00728,
10                    5,0.03644,81.55289,0.65281,2.54340,2.25837,3.72472,10.76871,0.46001,13.21388,29.48903,0.16877,0.12489,0.54334,0.53666,3.66218,3.14837,0.53788,11.20209,
10                    6,0.03583,81.70248,0.58761,2.53263,2.25480,3.70363,10.23564,0.46769,12.97719,29.21747,0.16905,0.12366,0.53581,0.53053,3.60015,3.07540,0.53944,11.18852,
10                    7,0.03607,81.69434,0.58337,2.54004,2.25378,3.61697,7.13184,0.47191,12.72831,29.45730,0.16779,0.12014,0.52596,0.52196,3.57265,2.95949,0.51116,10.19794,
10                    8,0.00043,0.00789,0.00340,0.01249,0.01304,0.00417,0.02209,0.00190,0.12967,0.39208,0.00318,0.00192,0.00746,0.00944,0.04751,0.05520,0.00375,0.01908,
10                    9,29.52433,129.47248,186.47652,1191.46662,1335.19850,59.21123,223.52719,19.48311,5263.28797,8300.12797,66.31575,9.76937,112.11641,92.62478,1118.37221,315.13827,81.67700,1803.52906,
11                    1,0.00215,0.04901,0.01300,0.05228,0.04623,0.01660,0.30066,0.00447,0.68290,1.91686,0.01687,0.00841,0.04064,0.04719,0.22152,0.12810,0.01463,0.13253,
11                    2,0.00858,8.32532,0.13936,0.48488,0.42104,1.16482,0.63236,0.12707,2.67711,7.01252,0.04028,0.02798,0.12654,0.12474,1.02999,0.67323,0.09508,1.57547,
11                    3,0.00022,0.00429,0.00095,0.00325,0.00381,0.00556,0.19138,0.00057,0.08361,0.14327,0.00184,0.00090,0.00423,0.00466,0.01798,0.01305,0.00312,0.07943,
11                    4,0.00925,8.37798,0.14903,0.52852,0.45747,1.22395,0.63122,0.12841,2.90499,7.94933,0.04476,0.03112,0.14216,0.14101,1.13547,0.75350,0.09954,1.52431,
11                    5,0.01656,42.06494,0.46335,1.15323,1.07248,0.93590,6.98102,0.14934,7.50397,11.69529,0.07176,0.05364,0.20594,0.23293,1.42443,1.57778,0.26438,5.72204,
11                    6,0.01617,42.12423,0.38988,1.14785,1.06958,0.91775,6.56855,0.15219,7.29821,11.45817,0.07251,0.05253,0.20206,0.22904,1.38006,1.51519,0.26488,5.72287,
11                    7,0.01613,42.11257,0.38197,1.14950,1.06447,0.84810,4.12095,0.15495,6.86244,11.55660,0.07126,0.04952,0.19453,0.22109,1.34782,1.40183,0.24484,5.06270,
11                    8,0.00918,8.37047,0.14862,0.51791,0.45542,1.17895,0.64343,0.12708,2.95818,7.95168,0.04575,0.03198,0.14263,0.14214,1.13516,0.75955,0.10097,1.58253,
11                    9,29.37924,84.89189,184.69417,1173.87690,1337.02165,54.79438,227.41446,18.66762,5254.74514,8302.95399,67.78363,9.91520,113.67930,95.42787,1113.22803,315.87929,82.04377,1816.22376,
11                    10,0.00679,8.31167,0.11889,0.38394,0.34138,1.10191,0.53972,0.13196,2.09650,5.12199,0.03081,0.01986,0.09304,0.09300,0.75755,0.47251,0.07724,1.49258,
12                    1,0.04098,6.29799,1.25247,6.17543,5.28192,1.27667,1.02399,0.11506,18.68572,43.11398,0.14681,0.19391,0.77908,0.59974,11.30327,5.09903,0.60343,2.63258,
12                    2,0.02706,0.14060,0.91741,4.41355,3.81330,0.39331,0.20838,0.02494,13.01226,29.79941,0.11345,0.14395,0.54829,0.44707,8.47320,3.47601,0.43477,1.41961,
12                    3,0.05184,6.89905,1.38768,6.89470,5.85532,1.37519,0.82556,0.13217,22.34502,53.92840,0.19541,0.23308,1.02208,0.81204,13.18453,5.80266,0.69977,2.98005,
12                    4,0.02583,0.12979,0.90208,4.33139,3.75422,0.39804,0.20370,0.02430,12.62090,28.58973,0.10900,0.14032,0.51812,0.42215,8.27436,3.38967,0.41997,1.39835,
12                    5,0.10858,78.83678,2.22351,10.84477,8.99713,3.88936,11.62513,0.49583,43.30751,103.84150,0.38189,0.42521,2.08260,1.64279,19.57007,10.03053,1.42891,14.59544,
12                    6,0.10743,78.98362,2.16624,10.78127,8.95997,3.86803,11.06124,0.50180,42.94986,103.16724,0.37747,0.42274,2.06291,1.63089,19.40122,9.92555,1.42647,14.54224,
12                    7,0.10774,78.97792,2.16665,10.80699,8.97657,3.78272,7.88173,0.50790,42.86774,103.62360,0.37525,0.41929,2.05589,1.62510,19.43142,9.83437,1.39908,13.48019,
12                    8,0.02568,0.13068,0.89876,4.34137,3.74378,0.38347,0.19549,0.02426,12.53671,28.46658,0.10450,0.13757,0.51537,0.41363,8.24657,3.37861,0.42073,1.38248,
12                    9,30.09583,125.36007,182.64241,1252.65299,1342.52701,63.54876,220.01214,19.27487,5369.83246,8311.29812,64.05240,8.85791,111.29508,87.15858,1162.00113,329.30657,84.52239,1765.27723,
12                    10,0.03032,0.17377,0.97026,4.68091,4.01441,0.41504,0.25951,0.03165,14.12250,33.33350,0.13209,0.15763,0.62963,0.51443,9.12911,3.77107,0.47560,1.53272,
12                    11,0.05597,7.18742,1.44414,7.15704,6.08835,1.39527,0.94972,0.14272,23.77286,58.15331,0.22017,0.24934,1.12601,0.89241,13.83707,6.07501,0.75399,3.57146,
13                    1,29.40988,68.61664,186.68194,1196.59132,1346.50505,59.70302,228.21436,18.92613,5298.16177,8185.85274,68.11370,9.73596,113.05822,93.37328,1120.16668,317.23700,82.10480,1812.28327,
13                    2,29.49192,107.53089,188.67248,1209.21032,1346.22444,63.57351,222.86341,19.72355,5297.31761,8197.27286,67.54010,9.67568,112.12872,92.12208,1122.14833,315.03642,81.67306,1805.55177,
13                    3,29.31687,67.26315,186.87484,1189.46695,1347.21547,59.12796,226.92273,18.96277,5285.55358,8201.70898,68.91067,9.79702,113.50660,94.81889,1115.78938,317.95641,81.83863,1817.26575,
13                    4,29.51326,107.68674,188.68032,1210.60923,1346.20492,63.77525,223.17626,19.73204,5301.19939,8196.34688,67.43173,9.67941,112.07841,91.91274,1123.09132,314.43309,81.71854,1804.66912,
13                    5,29.10147,38.83566,187.28967,1156.40141,1341.23863,60.08872,259.41968,20.04470,5285.50977,8291.00561,70.95841,10.17166,116.70054,99.61836,1112.98171,318.23604,83.93381,1836.50877,
13                    6,29.10732,38.77258,187.52841,1157.13215,1341.28440,60.02177,258.51095,20.03916,5286.34643,8290.30985,70.90174,10.16367,116.66995,99.55085,1113.28171,317.65356,83.93000,1835.31737,
13                    7,29.11111,38.75739,187.49634,1157.01224,1341.36763,59.68313,252.33359,20.03805,5287.46041,8290.12995,70.90435,10.15715,116.56334,99.47563,1112.70957,317.85152,83.78822,1832.67733,
13                    8,29.50431,107.65893,188.61712,1209.60942,1345.87035,63.68676,222.55395,19.71637,5297.55404,8191.07688,67.39161,9.66160,112.05807,91.86891,1123.08406,314.51694,81.74131,1805.74341,
13                    9,0.00504,1.68094,0.03466,0.13021,0.08445,0.16275,0.19375,0.03095,0.78547,0.90181,0.05398,0.00431,0.05191,0.06650,0.36347,0.20009,0.03929,0.53749,
13                    10,29.44967,107.45373,188.72767,1205.58242,1345.51100,63.34789,224.13760,19.77150,5293.35096,8206.87064,67.75029,9.67881,112.22098,92.58027,1120.06364,317.11656,81.54179,1806.59601,
13                    11,29.30530,66.64447,186.93863,1187.84255,1347.26002,59.02538,228.24096,18.91977,5285.28792,8210.15591,69.21936,9.82639,113.81459,95.39196,1115.13769,317.70821,81.91449,1819.30843,
13                    12,30.01874,103.57760,184.77556,1266.88338,1352.82589,67.85310,220.60911,19.58001,5399.15353,8217.43222,65.41560,8.76406,111.25469,87.05199,1162.75299,331.84817,84.35696,1768.36784,
14                    1,11.49187,27.80250,23.94174,140.19096,156.74486,278.09050,9703.60099,21.91611,1424.61555,458.76200,26.90149,5.12908,109.60510,254.22421,549.63940,21972.76378,263.81977,7911.91182,
14                    2,11.43865,45.88963,23.90732,139.73834,155.64884,262.78605,9713.46405,20.74813,1439.18984,445.16515,26.56444,5.20295,108.12659,254.57553,556.23160,21965.86091,263.98152,7883.16053,
14                    3,11.53873,26.86946,24.07997,139.77061,156.97325,279.54698,9699.46414,21.93122,1421.71088,478.51891,27.00094,5.15164,110.68312,254.48843,548.31355,21973.50960,263.64642,7911.15860,
14                    4,11.43354,46.10862,23.87067,139.74782,155.51629,262.48825,9712.87473,20.74262,1439.82668,442.31772,26.54717,5.20085,107.94956,254.59452,556.34339,21966.34096,263.90808,7883.09067,
14                    5,11.72642,41.50021,25.24864,148.11784,167.48994,299.84553,9573.38830,23.30385,1413.50954,572.72012,28.10225,5.11471,115.08043,256.77166,543.49050,21964.30424,263.83353,7861.49490,
14                    6,11.71608,41.55789,25.60947,148.27303,167.57947,299.82380,9572.76609,23.31093,1413.50113,572.02988,28.11578,5.11844,115.22203,256.84751,543.72872,21965.02371,263.71594,7859.26128,
14                    7,11.70401,41.52786,25.62696,148.18283,167.49234,299.99994,9582.74859,23.29785,1413.02528,572.47014,28.10578,5.13546,115.33110,256.76408,544.39238,21967.71077,263.66667,7854.88494,
14                    8,11.43717,46.08717,23.87256,139.74143,155.56382,262.53907,9714.92810,20.74408,1439.06324,441.93040,26.53863,5.20028,107.98501,254.39991,556.43438,21965.47376,263.92740,7884.43121,
14                    9,30.88037,82.33357,149.69100,1135.30409,1463.49200,376.48927,10736.37322,50.87076,4390.14366,8233.39323,82.00621,11.16264,194.44800,332.34289,1549.12718,22529.50370,293.39882,8028.77805,
14                    10,11.44930,45.57657,23.98156,139.57701,155.80073,263.89481,9711.14062,20.70751,1437.67577,452.21622,26.61547,5.20489,108.51005,254.73622,555.18950,21965.33194,263.91207,7884.25674,
14                    11,11.56525,26.50709,24.13558,139.74446,157.15015,279.59286,9685.29469,21.96516,1423.04097,486.57002,27.08594,5.16424,111.12419,254.79192,547.61842,21974.34039,263.48303,7910.39842,
14                    12,11.32089,45.01303,26.61550,164.09980,173.02116,261.87181,9733.23486,20.81993,1519.59605,481.20566,26.98230,5.42226,103.30636,254.94072,598.50008,21890.94974,266.70100,7872.25626,
14                    13,30.78683,67.99525,151.90214,1150.92168,1475.51480,384.80252,10753.71441,51.33189,4413.66060,8139.92251,83.71877,11.12437,192.64774,332.63857,1557.33103,22529.49195,292.76022,8063.30720,
15                    1,0.00134,0.03283,0.00517,0.01887,0.02526,0.06078,2.40687,0.00166,0.93312,0.70139,0.00777,0.00535,0.02210,0.02783,0.09525,0.12955,0.01892,0.53931,
15                    2,0.00636,8.25639,0.12108,0.37458,0.33922,1.24812,3.80136,0.12538,2.36332,4.49165,0.02883,0.02317,0.09372,0.08732,0.74303,0.71018,0.10132,2.30868,
15                    3,0.00084,0.00472,0.00079,0.00372,0.00920,0.06744,2.55338,0.00092,0.82444,0.03596,0.00237,0.00292,0.00922,0.01196,0.03000,0.12116,0.01357,0.48087,
