**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 5

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
Ti,  0.01610,  0.00043,  0.00736,  0.01498,  0.02428,  0.02599,  0.01495,  0.00790,  0.52803,  0.49036
V,  0.00089,  0.00000,  0.00036,  0.00052,  0.00072,  0.00090,  0.00056,  0.00023,  0.42063,  0.26272
Mn,  0.00397,  0.00002,  0.00187,  0.00244,  0.00468,  0.00501,  0.00306,  0.00147,  0.48082,  0.37148
Fe,  0.18685,  0.00000,  0.07837,  0.16573,  0.23655,  0.25322,  0.15554,  0.07616,  0.48967,  0.40761
Zn,  0.02021,  0.00214,  0.00975,  0.01016,  0.01359,  0.02024,  0.01201,  0.00440,  0.36640,  0.21783
Br,  0.00942,  0.00405,  0.00421,  0.00498,  0.00571,  0.02177,  0.00630,  0.00406,  0.64345,  0.43041
Pb,  0.01213,  0.00103,  0.00603,  0.00755,  0.00826,  0.01215,  0.00757,  0.00255,  0.33648,  0.20995
BC,  2.72330,  0.00000,  1.41978,  1.82865,  2.05685,  2.72670,  1.79487,  0.60651,  0.33791,  0.22271

Factor 4,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 16.01600, 11.50700, 12.91025, 16.18700, 16.88475, 21.06800, 15.60975,  2.61572,  0.16757,  0.16332
Na,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Mg,  0.22387,  0.04148,  0.19170,  0.19605,  0.21531,  0.22575,  0.17531,  0.06768,  0.38605,  0.30231
Al,  1.48710,  0.50935,  1.23343,  1.27060,  1.42413,  1.49950,  1.20410,  0.33677,  0.27968,  0.22646
Si,  3.52160,  1.35420,  2.94573,  3.02515,  3.37220,  3.55140,  2.89168,  0.73537,  0.25431,  0.20882
P,  0.00547,  0.00000,  0.00549,  0.00928,  0.00934,  0.00940,  0.00687,  0.00356,  0.51861,  0.65082
S,  0.03882,  0.03882,  0.06271,  0.17953,  0.18144,  0.18294,  0.13728,  0.05992,  0.43653,  1.54358
Cl,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.06152,  0.00576,  0.01777,  3.08595,  0.00000
K,  0.24979,  0.18200,  0.25017,  0.29393,  0.33217,  0.61839,  0.32627,  0.11733,  0.35963,  0.46973
Ca,  0.23407,  0.00000,  0.14079,  0.16253,  0.24466,  0.24568,  0.16129,  0.09291,  0.57603,  0.39694
Ti,  0.07840,  0.02615,  0.06159,  0.06459,  0.07565,  0.07902,  0.06241,  0.01812,  0.29027,  0.23107
