SampleID,11,11erro,12,12erro,13,13erro,14,14erro,15,15erro,16,16erro,17,17erro,19,19erro,20,20erro,22,22erro,23,23erro,24,24erro,25,25erro,26,26erro,28,28erro,29,29erro,30,30erro,35,35erro,37,37erro,38,38erro,40,40erro,82,82erro
AFR32      ,492.677673,348.363098,301.447021,369.551605,331.13208,43.899071,133.156799,47.93523,0,0,38.022171,11.429935,52.013294,8.369166,10.433661,7.777709,0,0,0,0,0,0,0.221067,6.75302,0,0,0,0,0,0,0,0,6.364163,17.563723,0,0,0,0,0,0,0,0,,
AFR33      ,100.352249,603.772705,3627.7229,444.264771,20663.867188,513.583679,33508.207031,766.227051,212.90979,28.953852,1320.083984,39.404835,1211.037109,31.182295,5790.791992,85.108765,6595.192871,90.68531,1269.773682,34.702209,12.486227,5.307536,25.003471,7.291111,194.80658,6.748597,8154.568359,213.595505,36.994362,7.283942,0,0,125.919632,18.281734,67.634293,8.408387,44.80986,9.063033,72.653534,9.421049,49.165161,9.913468,74.443573,18.515905
AFR34      ,675.941223,516.155334,1926.054077,387.747711,12247.977539,331.914917,21191.21875,493.929169,51.851017,21.431118,782.496216,27.94503,449.134796,18.200626,4274.794434,63.924091,2504.38501,37.995605,711.552917,19.990118,13.65927,4.532443,3.574865,6.900966,101.872337,4.799629,4809.234375,126.826653,32.976521,6.417558,0,0,37.911057,17.690666,27.505745,7.348822,35.161697,7.972814,36.327145,8.18066,38.618931,8.629223,41.448257,16.20483
AFR35      ,0,0,11685.271484,687.780945,31326.441406,1101.963867,50662.859375,1144.967529,621.609253,46.47459,3634.729492,84.690651,14912.601563,261.790009,22479.595703,317.759735,39531.34375,520.067566,2541.978516,68.334557,10.58521,6.26775,25.166471,7.521807,286.502594,8.73617,10885.807617,284.471588,43.588406,8.064251,10.736435,14.853553,353.523499,19.996185,134.901062,9.800654,123.668915,10.594302,299.817688,12.256623,78.972,11.421171,122.250931,21.154718
AFR36      ,0,0,1563.315063,408.151917,7627.541504,237.443222,13157.928711,320.736267,165.802673,27.352419,1531.343018,42.970478,3499.844727,68.222687,9603.004883,138.039612,7718.38916,105.323082,564.498413,16.214939,25.462503,4.610689,11.726798,6.966957,80.729019,4.644122,3430.634277,91.168762,48.550274,6.914237,0,0,98.027725,18.046379,85.272049,8.239868,57.128895,8.838866,70.004135,9.175814,30.25104,9.45226,85.037918,17.846668
AFR37      ,1044.843262,567.927185,1563.315063,400.249451,6583.037598,213.087326,13533.887695,327.57135,227.601852,27.24959,1419.747925,40.541561,3265.915039,63.984039,4556.375,67.872917,8666.691406,117.253311,616.999756,17.535135,22.330442,4.517524,20.270416,6.929784,93.286865,4.699864,3247.024414,86.403633,52.860226,6.680665,0,0,136.120728,18.072788,37.677361,7.532315,32.300526,8.133536,70.654175,8.535418,18.057034,8.850422,60.435455,16.612692
AFR38      ,0,0,6098.716309,507.455627,34625.429688,813.653076,67168.609375,1505.500488,605.302246,39.433002,2484.629395,61.054893,3346.426758,66.130066,13130.386719,187.238281,23072.775391,305.076752,2917.58252,78.239174,45.222744,6.151553,33.953918,7.300986,291.431152,8.604609,15294.367188,398.879974,36.668739,7.067469,0,0,232.411636,18.704151,50.254715,7.989931,92.808617,8.867846,143.284058,9.384016,161.381622,10.591179,54.477863,17.676394
AFR39      ,0,0,1439.829468,415.467529,5955.056641,205.57988,11811.192383,291.59314,109.731232,27.228397,1241.233765,38.475479,3618.824951,70.373947,9838.036133,141.345673,7457.329102,101.949364,479.165588,14.103702,12.818254,4.792052,12.069521,7.107202,81.177513,4.882835,2792.210938,74.723259,45.091457,7.314554,22.634953,14.594904,138.972336,18.361073,114.684975,8.828303,60.226528,9.338866,80.079727,9.823241,16.955996,10.085787,198.437683,19.335508
AFR40      ,0,0,2207.755371,457.416534,8469.582031,261.180298,22728.640625,530.237183,279.452881,37.835876,2906.794922,70.615234,15524.538086,272.131104,12071.206055,172.537628,26221.205078,346.197052,1045.978149,28.815847,45.385899,5.356646,16.280128,7.186749,142.236847,5.82431,4846.894531,127.836235,67.075798,7.648041,27.358591,14.648457,283.47113,19.29114,214.515137,9.900244,84.369164,9.84844,202.286942,10.830709,47.454765,10.517391,174.834534,20.113701
AFR41      ,346.580719,711.71875,4191.242676,490.32193,10602.829102,293.672638,21974.554688,515.708984,733.752197,42.372757,2322.9646,59.821152,9084.902344,162.824661,8471.069336,122.508865,22380.357422,296.113007,785.062073,22.081549,18.502367,5.406959,25.215429,7.429576,159.044724,6.318799,5992.92334,157.562729,45.670944,7.926436,0,0,73.080734,18.360001,104.746452,9.389072,45.32951,9.96822,164.484711,11.043008,27.470917,10.982552,62.76722,20.223309
AFR42      ,467.921295,377.206116,1109.311523,384.94989,412.074951,48.239269,79.078407,57.780334,16.899349,18.411617,30.25918,16.186697,4.816252,12.105992,0.418385,8.72825,19.278297,10.211318,0,0,0,0,0.774966,7.152436,0,0,8.997239,7.942731,0,0,0,0,17.492405,18.079918,0,0,0,0,0,0,0,0,,
AFR43      ,245.151001,622.769104,2967.963379,439.28186,8043.498535,241.718353,14255.469727,345.5065,216.146393,30.483564,1657.006104,46.14534,5319.659668,99.027405,10655.485352,152.780609,8865.990234,120.3377,618.952393,17.702538,20.387405,4.918261,10.306941,7.104325,99.907509,5.132186,3461.452393,91.997131,53.457821,7.378858,0,0,113.343834,18.271286,107.246979,8.880513,53.109066,9.417471,78.729645,9.942681,41.701839,10.142563,100.265755,19.065563
AFR44      ,0,0,5993.359375,492.980408,3144.357178,145.2957,6389.576172,178.043213,1692.995972,51.728233,2990.063477,70.090431,6517.265625,119.124557,8779.941406,126.561447,10559.807617,142.157471,273.426636,8.865889,7.598151,4.178884,11.579913,6.846051,99.160011,4.693339,1255.538818,35.280388,34.877964,6.440636,0,0,125.664886,18.014694,77.198334,7.775712,45.234928,8.27311,82.479874,8.820724,14.038243,9.064648,44.826931,16.779148
AFR45      ,1661.736938,597.832825,2489.456787,418.310486,7567.766602,231.885483,15541.533203,370.993042,75.967766,26.275129,2935.69165,67.514671,4182.90918,79.669899,4344.22998,64.928352,6473.132324,88.821571,414.949005,12.401863,142.015808,5.749717,14.370668,6.958045,74.727737,4.488704,3763.73999,99.768593,210.372452,8.401572,0,0,49.227764,17.790323,61.771374,7.667788,36.24942,8.233729,76.954544,8.580361,13.212464,8.843648,44.969692,16.68432
AFR46      ,317.4216,622.935791,3519.789551,451.140411,14595.180664,382.10791,27760.753906,639.563904,233.631027,31.135317,2255.855469,56.238045,2462.959473,51.451096,7420.294922,107.74659,7591.486328,103.53746,1253.091064,34.283756,35.032692,5.526319,9.743895,7.27846,171.303574,6.447738,6491.609863,170.474716,45.562286,7.728641,700.511047,23.137486,81.904541,18.290573,182.050735,9.546787,62.212799,9.648549,80.604759,9.948291,52.381916,10.508622,53.440174,19.450472
AFR47      ,628.452271,614.315247,2405.718262,427.996307,10738.873047,300.415863,20934.263672,489.603271,140.634888,26.663794,1532.786377,42.55183,2330.106689,48.836189,4908.095703,72.85894,5703.211914,79.067856,653.380432,18.589209,28.709631,5.045106,5.879836,7.138456,116.081764,5.426973,5061.978027,133.415878,57.128708,7.438797,0,0,58.179672,18.076559,99.36631,8.676005,50.97506,9.192108,78.797493,9.538081,17.653263,9.884009,51.483009,18.573591
AFR48      ,433.068237,544.344421,1165.845825,392.712616,3266.607178,154.71962,8312.710938,215.227814,376.221313,28.540773,1355.870483,39.442497,3981.61792,75.90506,7648.501465,110.799316,7827.731934,106.604301,326.976654,10.135351,8.874176,4.121957,11.310631,6.819452,56.53167,4.112912,1613.858643,44.377106,41.596413,6.425034,0,0,128.121902,17.971153,73.617073,7.555698,76.258568,8.214348,59.028488,8.403279,16.763313,8.683491,47.253868,16.259884
AFR49      ,284.149811,586.61853,3234.522461,434.080231,11448.961914,311.609467,21006.240234,492.355194,166.232254,28.819637,1691.93335,46.177055,3432.15918,67.328712,6449.140625,94.233475,7734.128906,105.527168,710.378296,20.018652,29.433891,4.874221,10.72188,7.046005,155.358826,5.856842,4822.090332,127.183914,44.972122,6.98438,0,0,84.533936,18.012402,156.860764,8.667563,42.022537,8.775933,88.088348,9.175432,31.731876,9.501088,51.768234,17.719955
AFR50      ,766.588135,348.475281,409.496948,351.287231,368.359833,44.20137,0,0,14.771511,15.678936,12.357205,13.49995,30.55781,9.766376,3.53984,7.869907,0,0,0,0,0,0,3.99103,6.731739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
AFR51      ,549.600952,3232.820557,41250.960938,2376.376709,273462.0625,6508.128906,797087.75,17633.078125,938.453064,191.502136,17702.523438,397.013,55292.355469,974.437561,94442.171875,1335.155029,188858.875,2480.709961,25784.529297,687.634399,347.509644,34.141804,421.139008,24.442015,4613.342773,113.869247,228734.34375,5942.619629,114.094177,28.723028,458.373962,35.306995,3503.616699,78.226974,860.732971,36.725567,666.78363,37.140465,1810.428589,51.643173,1050.396606,49.445614,1276.876709,79.965263
AFR52      ,2353.570313,653.263,574.638733,406.01767,881.312134,130.647873,1355.495483,81.936066,3.312599,23.188297,934.750916,32.699394,353.192078,19.031939,2671.854736,42.844688,677.240906,16.96331,62.632633,5.425858,0,0,20.968435,7.493602,16.619682,4.88033,424.683624,15.819029,58.214115,8.370669,0,0,40.550446,18.470716,51.016788,9.717845,18.046778,10.51707,27.672779,10.827578,11.576361,11.416022,71.353645,21.353596
AFR53      ,1680.624634,706.77063,1023.065735,418.820862,602.529663,132.572906,395.894989,71.090263,25.925508,23.821474,265.584869,23.560556,7.411894,14.954354,413.189056,14.002399,155.397049,12.04845,32.108292,5.561624,2.639052,5.74236,12.926331,7.719741,23.10815,5.388676,140.079651,11.009852,70.552734,9.353646,0,0,29.428011,18.859814,55.414116,10.748007,34.050335,11.368337,40.952419,11.951936,6.578706,12.525682,70.80941,23.701143
AFR54      ,1109.961304,535.543274,385.748474,374.456512,663.471252,118.782219,976.139587,70.158928,21.983614,19.278795,631.080322,25.63637,151.460815,14.136537,1726.113647,29.60162,377.165649,13.337996,40.852077,4.467862,4.113792,4.375309,8.031856,7.000115,16.790359,4.136902,296.952942,12.714787,38.930012,7.037711,0,0,33.849899,17.854733,50.33939,8.053202,15.849982,8.650632,24.575827,9.053573,20.347998,9.448924,66.552368,17.980341
AFR55      ,2645.711182,2094.864502,34060.28125,1779.905029,212161.59375,5044.572266,580301.125,12829.630859,599.308533,118.003197,13122.202148,285.534241,14102.766602,265.623779,66464.046875,938.603394,90903.945313,1196.923218,15636.378906,417.153809,280.281006,22.092789,244.140488,16.246204,2670.505615,66.346008,141763.890625,3683.615479,60.345318,18.971115,235.787949,24.717562,2182.022705,51.051926,301.494019,22.247061,408.991974,23.936981,907.763184,30.114712,571.040161,30.247688,666.502625,50.714348
AFR56      ,0,0,34140.027344,1796.359497,209534.921875,5008.470215,581600.375,12858.268555,348.030304,122.838272,14726.204102,316.177063,19343.101563,353.635742,73521,1037.0979,104473.21875,1374.024292,16240.625,433.180359,211.292831,21.842596,265.690613,16.460482,2896.33667,71.620163,144028.96875,3742.431885,67.161049,19.179062,284.629639,25.267311,2411.485596,55.08585,357.080811,22.795658,450.787537,24.579046,1002.307495,31.606379,621.982178,31.419407,772.554016,52.320118
AFR57      ,3850.695313,3154.14502,44847.964844,2462.34668,271516.625,6463.686523,799846.4375,17692.339844,897.367493,188.822922,17437.144531,391.397247,52850.34375,933.071655,93169.507813,1317.42395,185052.1875,2430.991455,25784.005859,687.628052,346.253387,34.170738,392.785675,24.441671,4558.850586,112.65657,228886.9375,5946.586426,132.322174,29.630268,480.219543,36.2285,3418.392578,76.99057,883.117065,37.91045,709.60199,38.073616,1810.804565,52.192776,1080.554199,50.601974,1269.797485,81.440063
AFR58      ,581.817932,880.931946,9304.826172,653.17218,58420.117188,1386.537964,151372.3125,3357.597168,477.589569,49.687607,17705.632813,349.526886,1636.503174,43.956661,24557.224609,346.83429,14644.910156,195.880737,3343.865479,89.640511,61.161652,7.707661,42.566311,8.331511,535.904785,14.481223,27748.037109,722.256958,42.120369,9.513148,164.636688,16.925005,682.259216,23.838099,608.440918,15.794874,96.421547,11.927241,160.958038,12.42952,125.213974,13.146419,353.901123,25.17518
AFR59      ,0,0,41466.117188,2343.497314,276236.8125,6597.268555,777751.875,17206.042969,1046.305176,179.22905,14293.810547,331.486664,28310.466797,518.040344,84388.773438,1194.745117,162121.328125,2131.50708,24365.421875,650.000977,314.092682,33.480827,388.835968,24.390635,4236.562988,105.148094,222335.9375,5776.476074,70.593674,30.164202,463.944031,36.515564,2636.154541,63.806095,317.72879,34.740311,608.66394,38.351192,1554.401367,49.806587,992.588379,49.966099,895.250916,80.242821
AFR60      ,3163.848877,993.068542,10648.918945,710.264343,65426.074219,1557.583496,170294.46875,3775.17627,418.217194,52.842411,17194.423828,340.656921,2482.013184,57.703346,27752.863281,391.733704,17211.642578,229.627045,3792.592529,101.611786,59.904903,8.337344,57.2089,8.701403,596.193542,16.019047,31173.681641,811.240784,41.250519,10.167006,125.292442,16.977077,515.843262,22.309294,768.041382,18.537933,123.275177,12.863598,196.83876,13.459764,131.094666,14.073951,248.035385,26.283155
