SampleID,11,11erro,12,12erro,13,13erro,14,14erro,15,15erro,16,16erro,17,17erro,19,19erro,20,20erro,22,22erro,23,23erro,24,24erro,25,25erro,26,26erro,28,28erro,29,29erro,30,30erro,35,35erro,37,37erro,38,38erro,40,40erro,45,45erro,56,56erro,58,58erro,82,82erro
GPE14       ,468.081268,402.468384,438.752991,394.385925,1154.517212,57.34943,602.234924,69.52095,18.147049,21.390533,629.384521,21.252434,87.42662,11.418059,563.830261,12.950294,376.757996,11.994659,25.520092,4.931464,0,0,27.063591,7.384308,17.154003,4.636932,295.258667,11.193644,44.702122,7.650399,0,0,43.896965,18.152882,50.530231,8.906454,12.10547,9.623737,26.171953,9.888178,7.753292,10.320183,36.005733,31.825832,0,0,0,0,50.069527,19.580307
GPE15       ,1149.849243,470.236298,904.478821,465.014648,526.46106,65.704414,335.837921,80.617676,15.246439,27.89933,424.325745,21.651186,575.096802,20.309942,301.629669,11.354563,469.986298,13.473639,40.649544,6.568927,8.655605,6.80933,38.53508,8.438509,25.420691,6.222509,244.036163,12.090459,97.922729,10.787783,1.774624,16.65473,52.074043,19.456404,69.199341,12.415331,27.398478,13.405068,31.041519,13.746929,15.522753,14.436946,124.827034,37.366116,0,0,0,0,82.137177,27.388523
GPE16       ,559.731689,380.743622,370.049744,380.788025,553.90271,50.94949,153.740829,63.039478,26.27578,20.443171,959.389648,25.681068,1036.630737,24.419733,2670.904053,38.482121,67.202263,10.027847,13.938096,4.247319,0,0,25.891062,7.046827,17.486559,4.037155,27.762527,8.282656,37.123222,6.665756,0,0,42.627041,17.787588,50.994694,7.880013,7.966077,8.425749,9.761003,8.615752,10.804506,9.020055,0,0,0,0,0,0,291.750488,18.725088
GPE17       ,1093.914429,397.373871,786.170044,390.137482,462.643646,53.012886,307.912445,63.777409,29.519701,20.769127,466.901642,18.399076,148.430161,12.003989,361.821381,10.860528,306.491089,11.452432,19.800638,4.648613,2.217807,4.74382,30.674585,7.29899,16.654936,4.439291,70.272385,8.926227,44.841728,7.399292,0,0,35.238541,18.049234,103.181358,9.031717,15.449362,9.34549,17.687038,9.740174,9.2969,10.219744,9.992807,31.664963,0,0,0,0,61.053844,19.469297
GPE18       ,381.106049,377.935028,410.845856,378.228973,471.678131,50.256954,135.123871,59.639706,20.112324,19.143185,541.614075,18.872955,151.510803,11.329434,470.808929,11.711782,192.294525,10.467781,18.247644,4.335469,6.406997,4.344832,29.304169,7.097672,9.956999,4.027768,65.546837,8.498174,44.041977,6.805808,0,0,131.050186,18.032272,72.320145,8.043832,10.524878,8.523046,18.298695,8.72166,5.974585,9.130096,2.689734,30.954195,0,0,0,0,39.09203,17.395006
GPE19       ,1121.578003,369.904663,268.059479,365.047119,360.070831,49.027489,197.374313,57.829323,0.648785,17.841581,394.850159,16.172243,374.856171,13.980221,340.329803,10.251254,200.332336,10.392466,14.171043,4.015813,0.184817,4.004374,26.123774,6.889472,11.620245,3.782562,56.215889,8.293955,34.556583,6.328707,0,0,47.736507,17.67008,51.991611,7.320675,12.576745,7.703319,22.07057,8.113145,9.2969,8.405365,0,0,0,0,0,0,37.676708,16.126144
GPE20       ,592.583069,399.571198,153.830383,396.846893,457.699493,54.390556,282.895935,67.183228,18.814754,22.386091,650.714722,21.819077,884.279663,22.695606,1333.990112,21.927765,231.233307,11.050615,17.509975,4.835653,3.419118,4.898067,32.07085,7.396758,10.766146,4.544886,82.987289,9.014261,48.617287,7.645785,0,0,49.059822,18.176678,61.505714,8.973256,19.287563,9.443922,16.693098,9.892515,25.964317,10.3138,0,0,0,0,0,0,198.193161,20.277462
GPE21       ,150.816895,375.601654,582.189514,373.476593,327.830261,53.648769,500.481628,64.306755,30.81727,19.148626,38.482029,11.687892,85.137306,10.036576,56.809246,8.129108,1761.514771,26.140087,14.209868,4.170573,32.355278,7.044899,15.621026,3.967111,20.213675,8.19102,33.868431,6.568719,0,0,82.197823,17.826153,23.644373,7.549695,13.035398,8.210272,21.586342,8.443754,11.111611,8.852725,0,0,0,0,0,0,0,0,,
GPE22       ,1296.714355,432.232147,651.542847,427.017456,475.622833,61.030506,560.404907,74.966454,22.383072,24.657698,551.234558,21.45867,551.011963,18.642488,553.562927,13.364045,1122.776245,19.449482,25.663179,5.591714,2.864667,5.606374,39.672775,7.760228,16.048077,5.22354,76.519707,9.45481,65.969971,8.803662,0,0,111.090187,18.774746,76.97966,10.311381,11.08009,10.840224,25.409189,11.37483,11.13953,11.867305,67.661758,34.688293,0,0,0,0,62.859585,22.588833
GPE23       ,165.213562,382.72876,47.518265,388.216858,542.060547,64.03965,1235.133179,77.32589,10.369741,21.064512,564.769348,19.949699,572.679321,17.711733,544.347595,12.754031,2187.903564,31.297421,39.01704,4.725014,7.200363,4.64831,28.768368,7.215033,12.663426,4.295345,117.035263,9.032845,42.974232,7.166896,0,0,178.844589,18.276794,147.780365,8.79428,20.44908,9.025084,22.251253,9.402045,10.960588,9.847213,34.999458,32.718933,0,0,0,0,42.805302,18.793032
GPE24       ,2415.45874,432.903931,818.806885,430.571808,670.598816,59.289063,494.082031,73.743279,22.05868,24.981932,618.578125,22.754103,212.983276,14.554835,731.843628,15.264087,234.210236,11.319263,36.534115,5.632253,0,0,25.865206,7.784969,15.890741,5.26824,117.708008,9.892571,57.637707,8.825974,0,0,75.838562,18.733549,76.11277,10.374679,19.191004,11.108714,30.124033,11.403626,8.766447,11.950333,35.427582,33.994152,0,0,0,0,62.078728,22.685246
GPE25       ,369.051208,369.915466,137.511917,369.910034,541.481262,52.453121,604.620178,64.211922,12.326909,19.140663,854.382813,23.979794,1118.267212,25.439571,2328.721191,34.133709,588.529175,13.660888,28.885633,4.106717,0.523649,3.973582,24.158653,6.899894,10.518907,3.736493,162.46048,9.01235,28.549171,6.191338,0,0,72.640541,17.671867,37.557926,7.237307,18.394396,7.802966,20.592403,8.010172,11.223286,8.266668,0,0,0,0,0,0,46.754257,15.893843
GPE26       ,1650.986084,420.137024,602.587524,417.951569,362.25705,61.356709,683.742249,75.914337,26.27578,24.334845,511.729095,20.589214,535.608826,18.154667,453.982788,12.250726,1936.858276,28.514853,33.583435,5.351557,2.710652,5.298333,42.879028,7.649491,13.980257,4.929577,62.663464,9.129006,59.051216,8.310665,0,0,145.165527,18.648706,93.840637,9.803775,18.901329,10.408822,35.272137,10.695365,7.789295,11.196346,77.23127,34.206066,0,0,0,0,61.102646,21.271267
GPE27       ,256.942139,380.269379,76.317772,385.697052,522.98938,59.740967,920.526672,73.995453,26.27578,21.740353,1026.733276,27.555412,1661.857666,34.333427,3112.666748,44.288704,1689.769897,25.626732,39.950695,4.697081,2.248609,4.497412,24.727501,7.16444,15.59855,4.191239,112.561966,8.850371,38.369339,7.000978,0,0,201.296112,18.305988,99.670456,8.382296,19.915192,8.865294,12.080197,9.228097,5.834992,9.66048,0,0,0,0,0,0,73.157242,18.078775
GPE28       ,1353.976318,426.726196,697.338501,424.403198,452.466064,58.100342,123.629158,70.556793,8.767735,23.381256,567.792603,21.254694,441.970581,17.117359,438.690002,12.049292,187.740631,10.917738,25.884293,5.40528,0,0,42.032394,7.76912,16.852318,5.140075,142.13475,10.216092,64.884506,8.644302,0,0,29.193035,18.536875,44.300835,10.021867,10.245886,10.827153,26.277618,11.132338,20.513659,11.660746,72.914146,34.544525,0,0,0,0,47.829018,22.058113
GPE29       ,425.270111,388.415222,312.935211,386.051208,402.096527,54.793468,551.678223,66.921761,2.595139,20.436779,700.250122,21.971792,689.780151,19.348845,1190.585571,20.07991,655.034668,14.337204,34.437576,4.62951,0.43124,4.528028,28.011326,7.125073,14.160067,4.234227,82.166328,8.738247,43.223633,7.082113,0,0,65.619629,17.889278,36.929436,8.036527,17.935745,8.695271,18.298695,8.899947,11.223286,9.299352,21.576956,33.026173,0,0,0,0,46.607849,17.744814
GPE30       ,833.189514,394.135345,516.91571,392.00592,526.48938,54.5187,481.864624,66.687965,13.94887,20.762899,725.631836,22.568983,889.460693,22.424059,1245.576416,20.766296,704.75,14.910609,24.110186,4.662291,3.911964,4.682599,35.199535,7.215547,11.687674,4.343689,130.663193,9.196608,40.917381,7.226854,0,0,109.546318,18.126328,44.27631,8.433222,8.279892,9.077521,22.223484,9.33542,9.073552,9.717212,61.617832,33.70166,0,0,0,0,54.172478,18.534182
GPE31       ,1178.223389,409.843842,803.519043,407.198334,396.944092,54.404835,238.359421,66.161118,10.39139,22.082638,632.132874,21.658384,463.697662,16.637709,673.966003,14.234148,300.804779,11.50476,25.068121,4.978547,11.686474,5.061594,22.127701,7.349906,13.724853,4.687316,69.654266,9.062076,59.820351,7.895325,0,0,41.207283,18.243372,48.054043,9.15999,11.913259,9.667915,19.108675,10.108089,12.85597,10.595024,11.151522,33.185764,0,0,0,0,54.131313,20.113848
GPE32       ,29180.791016,573.53241,3592.942383,572.955139,11957.010742,550.341492,27814.460938,608.522034,263.082153,48.929901,15383.394531,290.198242,53014.914063,865.400879,14672.610352,194.714417,15315.956055,195.997162,1177.866089,31.910444,27.506962,6.519433,56.945179,8.117661,162.346298,6.71804,10165.992188,169.799927,36.71405,9.113387,120.921341,15.947773,522.420471,20.609301,494.451294,13.187419,35.485256,11.529381,132.29599,11.987945,54.608822,12.328024,141.699615,75.925316,0,0,0,0,244.508194,24.1166
GPE33       ,1887.710815,461.460663,1108.459351,456.334015,523.563843,62.788006,250.316284,76.820671,12.975693,26.925756,469.357941,21.760323,470.075531,18.565302,574.672058,13.844111,179.791245,11.229999,37.582386,6.24965,1.540143,6.40706,48.205544,8.311672,20.723146,5.946985,119.830482,10.666604,77.594231,10.007509,0,0,29.173344,19.196629,61.202305,11.628449,25.25005,12.559473,32.749054,13.009637,10.162378,13.513994,92.089203,36.255974,0,0,0,0,67.300758,25.663853
GPE34       ,679.191895,417.391083,557.711853,409.071136,435.436279,56.969032,369.581116,69.367607,491.873993,19.880514,446.130646,16.750517,539.949097,12.941595,393.120911,12.33849,25.624352,5.244813,0,0,39.672775,7.59213,19.352091,4.981052,82.486702,9.351242,57.823696,8.382444,0,0,57.385674,18.392212,36.99445,9.507529,17.839186,10.287664,26.428617,10.535189,12.060843,11.058153,87.556282,33.895832,0,0,0,0,0,0,,
GPE35       ,211.267502,405.744751,655.622498,409.359406,501.297089,55.909607,213.082382,69.077667,3.892708,22.3832,581.733643,21.003029,639.509949,19.246628,1065.230835,18.796158,411.339935,12.470479,22.867794,5.004852,0,0,36.311378,7.486232,21.644672,4.760559,76.619812,9.150813,53.49017,8.06073,0,0,53.673042,18.339678,282.107086,10.673512,11.900836,10.188804,22.198,10.481419,6.840062,10.889039,62.625153,34.025005,0,0,0,0,59.687328,20.733551
GPE36       ,1283.477295,465.573303,1524.57959,455.298553,529.654602,61.196838,40.293766,74.561554,14.597654,25.62858,237.851685,18.512875,211.863068,15.231989,317.079102,11.249689,268.921722,11.671258,23.527815,6.048712,0.86248,6.407016,41.818901,8.223894,21.599722,5.925705,51.51038,10.09306,81.592972,10.052372,0,0,37.333786,19.099594,54.397232,11.3619,30.295235,12.297167,39.120472,12.887479,17.560812,13.488829,160.334976,35.498581,0,0,0,0,77.354393,25.628542
GPE37       ,239.193329,369.716339,214.608078,367.326508,526.064453,51.01968,480.769562,60.848351,0.648109,17.822996,554.136475,18.628696,512.669678,16.013197,497.130676,11.839726,272.613129,10.853341,33.005466,4.199349,3.661723,4.031545,30.989744,6.939141,8.846437,3.775883,199.086014,9.518465,35.059391,6.267337,0,0,46.008385,17.639534,36.999214,7.272388,9.549335,7.83878,27.648584,8.262174,12.076171,8.620927,0,0,0,0,0,0,46.023014,16.216951
GPE38       ,994.662659,411.216583,378.208984,411.536682,350.986084,55.421688,145.595917,68.494019,15.246439,23.358149,700.659485,22.993437,1476.319946,31.860868,2138.509521,31.912626,106.557793,10.505924,16.927603,5.066287,0,0,38.793644,7.557129,16.92465,4.843249,44.261875,9.045407,46.590015,8.031457,0,0,24.1374,18.281874,47.332092,9.365832,22.811949,10.097336,32.647114,10.362096,12.702973,10.835119,36.434887,36.016991,0,0,0,0,54.123669,20.628883
GPE42       ,783.509033,396.730682,178.308044,388.552216,421.34552,56.888126,566.804565,68.453407,16.868401,21.412432,597.085449,20.789927,630.68811,18.698389,403.810242,11.274286,581.741638,13.684127,37.232964,4.910204,0.585254,4.80526,19.194126,7.232404,16.430174,4.506246,203.528625,10.069004,40.024635,7.485014,0,0,38.730621,18.022196,33.396866,8.48762,14.532055,9.224434,19.572977,9.435577,11.083692,9.941263,50.285515,33.370438,0,0,0,0,37.530296,18.953531
GPE43       ,0,0,222.758804,380.335114,194.70047,50.580914,194.2509,62.556923,0.972163,20.415436,592.57843,20.382507,1469.74646,31.124434,2921.391602,41.741074,350.766388,11.830557,24.317778,4.351034,4.369451,4.308673,23.524885,7.05499,13.988146,4.050377,39.525085,8.298763,37.103134,6.73287,0,0,68.977028,17.855188,51.374569,7.893948,19.098671,8.277228,26.706596,8.668031,7.697513,9.065282,0,0,0,0,0,0,44.657925,17.285912
GPE45       ,1617.663574,472.849731,96.71582,466.403503,735.592407,64.415916,293.368011,80.020012,2.595139,27.573395,417.980316,21.036579,297.70047,16.536989,417.50061,12.313167,224.683945,11.555759,33.156361,6.271227,0.308029,6.561013,41.06905,8.313844,21.779531,6.015632,171.631241,11.325983,83.84343,10.388958,0,0,63.744938,19.419466,84.91169,12.047636,16.22183,12.917457,33.080368,13.23904,13.233426,13.822008,130.367294,36.136307,0,0,0,0,61.005039,26.387524
GPE48       ,683.410034,695.854309,7267.754883,730.269531,25982.808594,739.262573,38083.425781,834.498779,1667.153076,74.165405,4541.341309,96.148766,32771.402344,537.109497,43038.78125,565.785156,28682.628906,361.451477,2742.712158,72.605263,24.054317,9.343438,38.550838,9.581448,1339.023926,27.563507,11974.652344,200.022461,72.808746,12.64333,55.694412,18.364536,477.396423,22.142429,136.793793,14.994924,192.793457,16.496086,234.20433,17.424503,79.067543,17.795458,0,0,0,0,0,0,155.973083,33.273415
GPE49       ,0,0,1221.222168,411.502838,4250.942871,149.808243,6044.34668,167.708511,64.162773,25.63101,699.111694,23.650349,4398.048828,77.83551,8266.379883,110.967178,2943.623047,40.688595,436.944336,12.866805,0,0,23.034119,7.128717,94.840981,4.822794,1212.31897,23.340117,28.445114,6.907677,0,0,100.446449,17.976923,74.020081,8.210523,51.291504,8.866117,35.108097,9.006925,19.411118,9.433891,0,0,0,0,0,0,45.291718,17.870813
GPE50       ,1194.867188,533.825989,6527.342773,557.398743,6845.378906,257.381042,12744.698242,306.254791,912.861328,46.348629,3048.977539,64.770561,18085.419922,298.327148,22436.197266,296.376556,16361.004883,207.008286,579.825806,16.582413,5.723365,5.385934,33.159454,7.509131,450.135406,10.407161,2592.97998,45.375286,36.954494,7.788228,0,0,120.073517,18.371469,154.426788,9.574144,157.081726,10.452332,126.506264,10.757955,36.228508,10.926558,0,0,0,0,0,0,88.389534,20.323614
GPE51       ,2531.788574,764.700989,15048.922852,833.895752,12584.802734,438.17511,23180.255859,521.067993,2485.497314,75.916916,4953.489746,99.086197,32741.617188,534.871826,35516.511719,466.76123,41586.546875,521.600037,1170.627686,31.617729,0,0,24.945536,7.762644,940.349182,19.354673,5175.658691,87.605507,49.458454,8.508358,19.318699,15.1628,248.686905,19.035091,187.464142,10.61489,250.983521,11.903511,298.58432,12.767266,58.428581,12.01611,5.314544,71.070824,0,0,0,0,92.241043,22.855875
GPE52       ,560.718079,385.673798,740.329712,381.712952,1022.444702,71.775475,1560.009277,82.160751,67.727379,20.458317,90.583939,12.781706,142.540359,11.287771,383.443268,12.590267,1336.246948,21.405661,117.516541,5.726852,0,0,30.369822,7.127172,19.287029,4.170155,287.257568,10.589272,43.605934,6.872024,0,0,41.822254,17.826107,25.52491,7.781,18.35112,8.373166,32.307598,8.800601,14.725676,9.012673,28.710289,31.247808,0,0,0,0,47.046829,17.386244
GPE53       ,997.500061,419.765503,903.344055,421.695496,458.338593,54.908398,54.769176,68.882141,23.331919,23.660368,3.476133,14.313625,11.470372,11.471867,40.241871,10.258732,68.12989,10.16167,0,0,0,0,11.565623,7.710379,0,0,24.703148,8.434705,0,0,19.703714,14.927958,0,0,0,0,0,0,0,0,0,0,33.490059,31.393549,0,0,5.786512,32.612289,,
GPE54       ,2389.716309,567.352661,2688.352295,571.336609,8732.125977,305.279053,16069.594727,377.783356,664.959717,52.197166,5758.521484,115.495285,55065.0625,897.831116,49139.746094,644.136597,11290.44043,144.285049,773.786255,21.721056,8.431194,6.525283,47.830872,8.233486,306.436981,8.730173,3648.158691,62.720543,54.419163,9.736689,3.551692,15.994177,183.893646,19.471195,377.309723,13.199402,295.113037,13.851635,112.096413,13.174078,16.90106,13.641772,269.963196,86.195831,0,0,0,0,115.106285,25.911549
GPE55       ,499.510254,520.331238,6185.012207,551.249512,8373.25293,297.91156,14835.181641,347.565918,1306.263306,50.655293,2445.766357,54.663422,10354.249023,173.829849,18406.179688,243.940857,16789.302734,212.313828,720.612976,20.136404,0,0,16.86076,7.547892,1395.132324,27.797668,3523.802246,60.578091,35.89547,8.009359,0,0,165.515091,18.56424,93.742889,9.729245,90.45343,10.427644,166.095154,11.159037,30.427488,11.254374,0,0,0,0,0,0,65.670547,21.255636
