year,population
2000,172860400
2001,174468600
2002,176029600
2003,182032600
2004,184101100
2005,186112800
2006,188078200
2007,190010600
2008,196342600
2009,198739300
2010,201103300
2011,203429800
2012,199321400
2013,201009600
2014,202656800
