0-1,3.0
1-4,10.8
5-9,12.7
10-14,11.8
15-19,10.6
20-24,9.4
25-29,8.3
30-34,6.8
35-39,5.8
40-44,4.8
45-49,3.8
50-54,3.4
55-59,2.1
60-64,1.9
65-69,1.2
70-74,1.4
75-79,0.8
80-84,0.6
85-89,0.3
90-94,0.2
95+,0.1

