**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 2

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
Ti,  0.00875,  0.00846,  0.00890,  0.01613,  0.01813,  0.02033,  0.01484,  0.00428,  0.28843,  0.48904
V,  0.00040,  0.00039,  0.00041,  0.00058,  0.00063,  0.00068,  0.00054,  0.00010,  0.19266,  0.26173
Mn,  0.00130,  0.00124,  0.00133,  0.00265,  0.00283,  0.00323,  0.00234,  0.00072,  0.30879,  0.55698
Fe,  0.08022,  0.07734,  0.08167,  0.15134,  0.16395,  0.18679,  0.13670,  0.03929,  0.28743,  0.48979
Zn,  0.00237,  0.00218,  0.00242,  0.00420,  0.00566,  0.00676,  0.00414,  0.00166,  0.40142,  0.70127
Br,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Pb,  0.00015,  0.00000,  0.00018,  0.00116,  0.00212,  0.00278,  0.00119,  0.00100,  0.84108,  6.52108
BC,  0.14721,  0.07817,  0.15365,  0.36912,  0.61518,  0.77363,  0.38718,  0.24228,  0.62574,  1.64579

Factor 4,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 32.17900, 32.16000, 32.19050, 32.27800, 33.69625, 35.05600, 32.81150,  0.96965,  0.02955,  0.03013
Na,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Mg,  0.33411,  0.33392,  0.33424,  0.33500,  0.34877,  0.35006,  0.33911,  0.00703,  0.02074,  0.02105
Al,  2.39090,  2.38950,  2.39170,  2.39810,  2.50515,  2.51980,  2.42966,  0.05431,  0.02235,  0.02271
Si,  5.37680,  5.37370,  5.37875,  5.39430,  5.63168,  5.65770,  5.46320,  0.11964,  0.02190,  0.02225
P,  0.00667,  0.00667,  0.00668,  0.00672,  0.00688,  0.00696,  0.00677,  0.00011,  0.01671,  0.01695
S,  0.07581,  0.07574,  0.07594,  0.07606,  0.07875,  0.08379,  0.07731,  0.00249,  0.03217,  0.03280
