Acquisition date and time: 00-00-   0 (00:00:00)
Live Time:,        0
Real Time:,        0
 
Photopeaks:,    14
  11,      1.041,         38,         61,       1.63
  12,      1.254,        180,         63,       1.13
  13,      1.487,        381,         65,       1.79
  14,      1.740,        417,         66,       0.51
  15,      2.013,         84,         63,       0.59
  16,      2.307,       1997,         78,       1.07
  17,      2.622,       1978,         91,       1.20
  19,      3.313,       6994,        111,       1.38
  20,      3.691,       5714,        113,       2.75
  23,      4.950,        603,        138,       1.14
  24,      5.412,       1314,        162,       1.23
  25,      5.895,        793,        187,       1.36
  45,      2.696,        610,         73,       1.22
  56,      4.464,        548,        181,       1.78
