Acquisition date and time: 00-00-   0 (00:00:00)
Live Time:,        0
Real Time:,        0
 
Photopeaks:,    15
  11,      1.041,        135,         66,       1.79
  12,      1.254,        244,         68,       1.61
  13,      1.487,       1167,         75,       1.56
  14,      1.740,       3523,         90,       2.39
  15,      2.013,        130,         66,       1.41
  16,      2.307,       1523,         78,       0.54
  17,      2.622,       1570,         91,       0.93
  19,      3.313,       5498,        109,       1.82
  20,      3.691,      10529,        139,       1.47
  22,      4.509,        698,        166,       2.19
  23,      4.950,        468,        156,       1.01
  24,      5.412,       1688,        176,       1.69
  25,      5.895,       1145,        206,       1.89
  45,      2.696,        760,         76,       1.53
  56,      4.464,        841,        218,       2.29
