Acquisition date and time: 00-00-   0 (00:00:00)
Live Time:,        0
Real Time:,        0
 
Photopeaks:,    14
  11,      1.041,         93,         65,       2.22
  12,      1.254,         96,         65,       1.09
  13,      1.487,        334,         70,       0.95
  14,      1.740,        387,         69,       1.41
  15,      2.013,         -1,         65,       0.84
  16,      2.307,       2361,         84,       1.59
  17,      2.622,       5298,        118,       1.67
  19,      3.313,      25928,        179,       1.77
  20,      3.691,       4431,        114,       0.96
  23,      4.950,        238,        146,       0.98
  24,      5.412,       1517,        170,       1.53
  25,      5.895,        681,        195,       1.95
  45,      2.696,        696,         84,       1.48
  56,      4.464,        523,        187,       0.80
