Acquisition date and time: 00-00-   0 (00:00:00)
Live Time:,        0
Real Time:,        0
 
Photopeaks:,    14
  11,      1.041,         50,         57,       0.61
  12,      1.254,        138,         57,       1.36
  13,      1.487,        389,         61,       1.10
  14,      1.740,        781,         63,       1.22
  15,      2.013,        109,         56,       1.06
  16,      2.307,       1131,         66,       1.39
  17,      2.622,       2367,         89,       1.01
  19,      3.313,       5794,        101,       0.68
  20,      3.691,       2070,         89,       1.68
  23,      4.950,        278,        127,       1.11
  24,      5.412,       1293,        148,       1.60
  25,      5.895,       1904,        174,       2.05
  45,      2.696,        605,         68,       1.61
  56,      4.464,        488,        164,       1.57
