Acquisition date and time: 00-00-   0 (00:00:00)
Live Time:,        0
Real Time:,        0
 
Photopeaks:,    14
  11,      1.041,        143,         73,       1.20
  12,      1.254,        177,         73,       1.08
  13,      1.487,        480,         75,       0.88
  14,      1.740,        733,         78,       2.16
  15,      2.013,         22,         72,       0.90
  16,      2.307,       2081,         87,       1.42
  17,      2.622,       1588,         96,       1.75
  19,      3.313,       4783,        109,       1.01
  20,      3.691,       3058,        110,       1.61
  23,      4.950,        381,        165,       0.68
  24,      5.412,       1514,        194,       1.10
  25,      5.895,       1084,        224,       1.10
  45,      2.696,        664,         82,       1.90
  56,      4.464,        693,        217,       1.66
