Acquisition date and time: 00-00-   0 (00:00:00)
Live Time:,        0
Real Time:,        0
 
Photopeaks:,    15
  11,      1.041,        376,         77,       1.55
  12,      1.254,       1122,         85,       1.29
  13,      1.487,      21849,        175,       3.60
  14,      1.740,     106977,        342,       5.56
  15,      2.013,        583,         95,       1.84
  16,      2.307,      29303,        194,       2.11
  17,      2.622,      28857,        221,       3.09
  19,      3.313,     135418,        379,       6.79
  20,      3.691,     147969,        397,       5.30
  22,      4.509,      40079,        286,       1.45
  23,      4.950,        556,        177,       1.51
  24,      5.412,       2203,        170,       1.04
  25,      5.895,       9584,        219,       8.32
  45,      2.696,        571,        122,       2.16
  56,      4.464,       2266,        241,       1.54
