Acquisition date and time: 00-00-   0 (00:00:00)
Live Time:,        0
Real Time:,        0
 
Photopeaks:,    13
  11,      1.041,        203,         58,       1.65
  12,      1.254,        206,         59,       0.87
  13,      1.487,        443,         61,       1.33
  14,      1.740,        417,         60,       2.08
  15,      2.013,        104,         57,       1.17
  16,      2.307,        355,         59,       0.92
  19,      3.313,        638,         69,       1.06
  20,      3.691,        815,         78,       1.52
  23,      4.950,        513,        133,       1.14
  24,      5.412,       1658,        154,       1.96
  25,      5.895,        928,        179,       1.36
  45,      2.696,        638,         57,       1.34
  56,      4.464,        534,        172,       1.02
