**** Analysis Summary ****

Time of run: ,04/10/16 01:58
Concentration file: ,C:\Users\Andrea\Documents\EPA PMF\Data\pmf_fa\TFsH.csv
Uncertainty file: ,C:\Users\Andrea\Documents\EPA PMF\Data\pmf_fa\TFsHunc8.csv
Configuration file: ,


**** Input Data Statistics ****

Species,Category,S/N,Min,25th,Median,75th,Max,% Modeled Samples,% Raw Samples
8                    4,0.00201,0.01909,0.15013,0.01213,0.00479,0.02054,0.02665,0.00941,0.00923,0.02025,0.00460,0.00176,0.03779,0.02147,0.01542,0.03740,0.00956,0.06697,
8                    5,0.00192,0.01815,0.17018,0.01039,0.00461,0.02015,0.02601,0.00952,0.00918,0.01984,0.00473,0.00176,0.03649,0.02085,0.01503,0.03807,0.00921,0.06474,
8                    6,0.00194,0.01854,0.15258,0.01149,0.00466,0.02053,0.02622,0.00933,0.00907,0.02000,0.00463,0.00177,0.03694,0.02090,0.01514,0.03746,0.00930,0.06553,
8                    7,0.00192,0.01804,0.16598,0.01031,0.00467,0.02047,0.02582,0.00938,0.00918,0.01971,0.00471,0.00172,0.03631,0.02075,0.01489,0.03798,0.00907,0.06425,
9                    1,0.00215,0.02421,0.30577,0.01169,0.00585,0.03212,0.04576,0.01011,0.01162,0.02781,0.00523,0.00218,0.04662,0.02478,0.01716,0.04100,0.01240,0.08606,
9                    2,0.00002,0.00138,0.01235,0.00113,0.00095,0.00105,0.00239,0.00063,0.00021,0.00063,0.00011,0.00010,0.00121,0.00280,0.00022,0.00245,0.00047,0.00198,
9                    3,0.00002,0.00130,0.01465,0.00121,0.00077,0.00095,0.00231,0.00058,0.00018,0.00051,0.00012,0.00011,0.00122,0.00265,0.00020,0.00255,0.00048,0.00198,
9                    4,0.00003,0.00087,0.01306,0.00091,0.00085,0.00065,0.00155,0.00042,0.00019,0.00036,0.00008,0.00008,0.00089,0.00261,0.00018,0.00211,0.00035,0.00154,
9                    5,0.00002,0.00117,0.01431,0.00115,0.00081,0.00090,0.00232,0.00046,0.00021,0.00045,0.00012,0.00010,0.00116,0.00269,0.00020,0.00247,0.00044,0.00181,
9                    6,0.00002,0.00109,0.01331,0.00098,0.00073,0.00071,0.00170,0.00045,0.00018,0.00039,0.00009,0.00009,0.00096,0.00262,0.00018,0.00215,0.00037,0.00167,
