**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 11

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,  1.21960,  1.09110,  1.17395,  1.19145,  1.21128,  2.06250,  1.30868,  0.31531,  0.24094,  0.25854
Na,  0.03759,  0.01431,  0.02843,  0.02901,  0.02917,  0.03759,  0.02793,  0.00648,  0.23197,  0.17234
Mg,  0.00352,  0.00158,  0.00168,  0.00178,  0.00349,  0.00737,  0.00278,  0.00190,  0.68213,  0.53996
Al,  0.00933,  0.00670,  0.00691,  0.00698,  0.00925,  0.06567,  0.01594,  0.02103,  1.31942,  2.25463
Si,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.11180,  0.01650,  0.04028,  2.44131,  0.00000
P,  0.00130,  0.00000,  0.00091,  0.00093,  0.00095,  0.00130,  0.00084,  0.00038,  0.45703,  0.29579
S,  0.06212,  0.00519,  0.04584,  0.04689,  0.04740,  0.06212,  0.04265,  0.01681,  0.39417,  0.27061
Cl,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
K,  0.06827,  0.05599,  0.05723,  0.05813,  0.05875,  0.06827,  0.05910,  0.00349,  0.05901,  0.05108
Ca,  0.01567,  0.01136,  0.01173,  0.01186,  0.01547,  0.03237,  0.01534,  0.00730,  0.47545,  0.46556
Ti,  0.00054,  0.00040,  0.00041,  0.00042,  0.00054,  0.00448,  0.00103,  0.00146,  1.41384,  2.68166
V,  0.00002,  0.00002,  0.00003,  0.00003,  0.00003,  0.00010,  0.00004,  0.00003,  0.70803,  1.32696
Mn,  0.00003,  0.00002,  0.00011,  0.00011,  0.00011,  0.00079,  0.00019,  0.00025,  1.31146,  8.88795
Fe,  0.00000,  0.00000,  0.00074,  0.00076,  0.00077,  0.03740,  0.00604,  0.01329,  2.19953,  0.00000
Zn,  0.00364,  0.00299,  0.00306,  0.00311,  0.00357,  0.00377,  0.00324,  0.00028,  0.08476,  0.07565
Br,  0.01624,  0.01209,  0.01246,  0.01260,  0.01312,  0.01624,  0.01310,  0.00126,  0.09627,  0.07769
Pb,  0.00222,  0.00184,  0.00189,  0.00191,  0.00218,  0.00251,  0.00202,  0.00022,  0.11115,  0.10112
BC,  0.16112,  0.14654,  0.16984,  0.17405,  0.17660,  0.31032,  0.18963,  0.04941,  0.26056,  0.30667

Factor 2,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,  4.30220,  2.13460,  4.29898,  4.57555,  4.65585,  4.70810,  4.20972,  0.87931,  0.20888,  0.20439
Na,  0.13244,  0.12143,  0.13256,  0.14386,  0.14624,  0.14760,  0.13982,  0.00920,  0.06582,  0.06948
Mg,  0.00919,  0.00919,  0.01016,  0.01028,  0.01035,  0.01384,  0.01059,  0.00131,  0.12394,  0.14285
Al,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Si,  0.01266,  0.00682,  0.01082,  0.01100,  0.01127,  0.01266,  0.01063,  0.00171,  0.16058,  0.13488
P,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
S,  0.08313,  0.06896,  0.08319,  0.09009,  0.09162,  0.09248,  0.08656,  0.00804,  0.09289,  0.09672
Cl,  0.33602,  0.31413,  0.33580,  0.35571,  0.36208,  0.36648,  0.34918,  0.01774,  0.05081,  0.05279
K,  0.11602,  0.06276,  0.11612,  0.12674,  0.12886,  0.13002,  0.11662,  0.02302,  0.19736,  0.19838
Ca,  0.03022,  0.02825,  0.03026,  0.03306,  0.03361,  0.03389,  0.03214,  0.00204,  0.06341,  0.06745
Ti,  0.00089,  0.00073,  0.00089,  0.00093,  0.00095,  0.00096,  0.00090,  0.00008,  0.08516,  0.08630
V,  0.00025,  0.00013,  0.00025,  0.00026,  0.00026,  0.00026,  0.00024,  0.00005,  0.19553,  0.18910
Mn,  0.00067,  0.00003,  0.00067,  0.00068,  0.00070,  0.00071,  0.00059,  0.00023,  0.39541,  0.35114
Fe,  0.01101,  0.00282,  0.01057,  0.01073,  0.01091,  0.01110,  0.00962,  0.00285,  0.29687,  0.25925
Zn,  0.00457,  0.00237,  0.00459,  0.00522,  0.00531,  0.00536,  0.00474,  0.00102,  0.21564,  0.22368
Br,  0.00179,  0.00179,  0.00285,  0.00408,  0.00418,  0.00430,  0.00362,  0.00086,  0.23732,  0.47946
Pb,  0.00293,  0.00161,  0.00295,  0.00337,  0.00342,  0.00346,  0.00307,  0.00063,  0.20644,  0.21599
BC,  0.49852,  0.12756,  0.49829,  0.53689,  0.54600,  0.55116,  0.47499,  0.14624,  0.30787,  0.29334

Factor 3,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,  7.01670,  7.00750,  7.04045,  7.04250,  7.04783,  9.26320,  7.36936,  0.80863,  0.10973,  0.11524
Na,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Mg,  0.08071,  0.07214,  0.08071,  0.08131,  0.08135,  0.08139,  0.07986,  0.00328,  0.04107,  0.04064
Al,  0.56226,  0.54957,  0.56227,  0.56597,  0.56637,  0.56665,  0.56311,  0.00571,  0.01015,  0.01016
Si,  1.06700,  1.04740,  1.06703,  1.07280,  1.07343,  1.07390,  1.06846,  0.00880,  0.00824,  0.00825
P,  0.00571,  0.00536,  0.00572,  0.00581,  0.00581,  0.00581,  0.00572,  0.00016,  0.02788,  0.02791
S,  0.10102,  0.10078,  0.10104,  0.10312,  0.10319,  0.10322,  0.10238,  0.00109,  0.01063,  0.01077
Cl,  0.07737,  0.06517,  0.07178,  0.07219,  0.07238,  0.07796,  0.07217,  0.00367,  0.05083,  0.04742
K,  0.13287,  0.13266,  0.13507,  0.13520,  0.13535,  0.18652,  0.14240,  0.01891,  0.13277,  0.14229
Ca,  0.24916,  0.24272,  0.24917,  0.25098,  0.25115,  0.25128,  0.24953,  0.00289,  0.01158,  0.01160
Ti,  0.03862,  0.03785,  0.03862,  0.03885,  0.03888,  0.03890,  0.03868,  0.00035,  0.00903,  0.00905
V,  0.00052,  0.00052,  0.00052,  0.00052,  0.00052,  0.00064,  0.00054,  0.00004,  0.07880,  0.08139
