**** Analysis Summary ****

Time of run: ,04/10/16 02:04
Concentration file: ,C:\Users\Andrea\Documents\EPA PMF\Data\pmf_fa\TGcH.csv
Uncertainty file: ,C:\Users\Andrea\Documents\EPA PMF\Data\pmf_fa\TGcHunc8.csv
Configuration file: ,


**** Input Data Statistics ****

Species,Category,S/N,Min,25th,Median,75th,Max,% Modeled Samples,% Raw Samples
8                    3,0.00003,0.00023,0.00031,0.00080,0.00021,0.00022,0.00103,0.00013,0.00088,0.00055,0.00008,0.00008,0.00044,0.00073,0.00039,0.00059,0.00007,
8                    4,0.00790,0.85665,0.16652,0.32737,0.08099,0.40364,0.29336,0.17778,0.09296,0.12251,0.01287,0.05028,0.10328,0.11666,0.20704,0.16940,0.00809,
8                    5,0.00001,0.00013,0.00007,0.00018,0.00007,0.00010,0.00014,0.00004,0.00011,0.00008,0.00003,0.00003,0.00009,0.00011,0.00010,0.00011,0.00002,
8                    6,0.00097,0.11522,0.01253,0.06719,0.01563,0.04859,0.05759,0.02016,0.01794,0.04258,0.00231,0.00341,0.03252,0.03535,0.07052,0.06334,0.00187,
8                    7,0.01005,0.85097,0.16574,0.32818,0.08084,0.43786,0.31596,0.17687,0.10812,0.12124,0.01373,0.04377,0.10710,0.11937,0.22374,0.18385,0.00882,
9                    1,0.00006,0.00098,0.00049,0.00304,0.00086,0.00066,0.00157,0.00055,0.00049,0.00220,0.00045,0.00061,0.00130,0.00299,0.00083,0.00167,0.00014,
9                    2,0.00015,0.00454,0.00193,0.00787,0.00211,0.00425,0.02847,0.00267,0.01638,0.00417,0.00105,0.00075,0.00338,0.00609,0.00585,0.01353,0.00076,
9                    3,0.00013,0.00348,0.00130,0.00667,0.00176,0.00238,0.00777,0.00154,0.00333,0.00381,0.00061,0.00049,0.00288,0.00532,0.00386,0.00382,0.00028,
9                    4,0.00785,0.79779,0.16476,0.30672,0.07628,0.43053,0.27074,0.16142,0.08910,0.10555,0.01165,0.05455,0.10110,0.10186,0.20744,0.15503,0.00766,
9                    5,0.00006,0.00203,0.00046,0.00266,0.00071,0.00098,0.00322,0.00086,0.00079,0.00117,0.00027,0.00020,0.00099,0.00176,0.00149,0.00214,0.00011,
9                    6,0.00112,0.13307,0.01452,0.08427,0.01999,0.05200,0.07351,0.02516,0.02601,0.05692,0.00337,0.00439,0.03969,0.05080,0.08762,0.07580,0.00265,
9                    7,0.01000,0.79344,0.16412,0.30813,0.07643,0.46539,0.29562,0.16082,0.10584,0.10453,0.01266,0.04767,0.10463,0.10458,0.22448,0.16940,0.00847,
9                    8,0.00007,0.00237,0.00063,0.00351,0.00101,0.00151,0.00413,0.00097,0.00106,0.00162,0.00035,0.00027,0.00138,0.00238,0.00209,0.00213,0.00014,
10                    1,0.00011,0.00212,0.00107,0.00462,0.00113,0.00136,0.00635,0.00090,0.00412,0.00183,0.00024,0.00048,0.00272,0.00261,0.00270,0.00321,0.00020,
10                    2,0.00007,0.00361,0.00064,0.00200,0.00054,0.00255,0.00611,0.00062,0.00390,0.00106,0.00021,0.00019,0.00131,0.00114,0.00470,0.00610,0.00018,
10                    3,0.00003,0.00025,0.00024,0.00075,0.00019,0.00014,0.00046,0.00013,0.00033,0.00044,0.00006,0.00006,0.00041,0.00057,0.00024,0.00032,0.00004,
10                    4,0.00812,0.89627,0.16819,0.35010,0.08752,0.40664,0.29199,0.18904,0.08867,0.14453,0.01364,0.05030,0.10884,0.13713,0.21584,0.17091,0.00817,
10                    5,0.00009,0.00084,0.00066,0.00358,0.00091,0.00084,0.00397,0.00047,0.00305,0.00236,0.00027,0.00024,0.00184,0.00303,0.00155,0.00218,0.00020,
10                    6,0.00079,0.10251,0.01058,0.05323,0.01229,0.04305,0.04729,0.01674,0.01064,0.02968,0.00172,0.00287,0.02668,0.02286,0.05898,0.05716,0.00133,
10                    7,0.01030,0.89042,0.16725,0.35091,0.08718,0.44145,0.30996,0.18802,0.10000,0.14297,0.01436,0.04384,0.11296,0.13977,0.23274,0.18313,0.00874,
10                    8,0.00007,0.00075,0.00046,0.00269,0.00064,0.00054,0.00277,0.00039,0.00215,0.00181,0.00020,0.00018,0.00142,0.00234,0.00104,0.00156,0.00014,
10                    9,0.00020,0.00500,0.00177,0.01099,0.00283,0.00325,0.01134,0.00229,0.00551,0.00654,0.00089,0.00069,0.00498,0.00899,0.00556,0.00531,0.00043,
11                    1,0.00003,0.00033,0.00018,0.00044,0.00015,0.00012,0.00028,0.00013,0.00008,0.00016,0.00004,0.00015,0.00022,0.00021,0.00026,0.00012,0.00002,
11                    2,0.00007,0.00264,0.00118,0.00264,0.00065,0.00251,0.01869,0.00090,0.01369,0.00132,0.00053,0.00027,0.00160,0.00179,0.00404,0.01161,0.00051,
11                    3,0.00004,0.00043,0.00040,0.00139,0.00035,0.00048,0.00230,0.00021,0.00174,0.00061,0.00012,0.00014,0.00086,0.00090,0.00076,0.00121,0.00010,
