**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 19

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 11.00500,  6.03400, 11.01300, 11.06200, 11.59225, 17.96100, 11.96631,  3.37270,  0.28185,  0.30647
Na,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Mg,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Al,  0.74730,  0.66434,  0.74380,  0.74690,  0.74953,  0.75528,  0.73166,  0.03383,  0.04624,  0.04527
Si,  1.27860,  1.04400,  1.27888,  1.28180,  1.30593,  1.52290,  1.30772,  0.12921,  0.09881,  0.10106
P,  0.02307,  0.02164,  0.02295,  0.02306,  0.02313,  0.02339,  0.02282,  0.00059,  0.02604,  0.02576
S,  0.03548,  0.01128,  0.03334,  0.03533,  0.03549,  0.05044,  0.03196,  0.01137,  0.35562,  0.32033
Cl,  0.26843,  0.15713,  0.26164,  0.26784,  0.26892,  0.31662,  0.25061,  0.04927,  0.19658,  0.18353
K,  0.08956,  0.07703,  0.08957,  0.08977,  0.09077,  0.10537,  0.09165,  0.00787,  0.08588,  0.08788
Ca,  0.54448,  0.39203,  0.54469,  0.54644,  0.56195,  0.73791,  0.57008,  0.09627,  0.16886,  0.17680
Ti,  0.05738,  0.04424,  0.05739,  0.05756,  0.05890,  0.07298,  0.05938,  0.00791,  0.13326,  0.13791
V,  0.00080,  0.00044,  0.00080,  0.00080,  0.00084,  0.00131,  0.00087,  0.00025,  0.28303,  0.30775
Mn,  0.00361,  0.00000,  0.00362,  0.00365,  0.00405,  0.00900,  0.00437,  0.00257,  0.58764,  0.71146
Fe,  0.57866,  0.38479,  0.57895,  0.58096,  0.60140,  0.85014,  0.61623,  0.13163,  0.21361,  0.22748
Zn,  0.01415,  0.01358,  0.01411,  0.01414,  0.01417,  0.01421,  0.01409,  0.00017,  0.01173,  0.01168
Br,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Pb,  0.00293,  0.00273,  0.00293,  0.00293,  0.00295,  0.00305,  0.00294,  0.00008,  0.02745,  0.02752

Factor 2,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,  9.02640,  7.04770,  8.81573,  9.00620,  9.59235, 10.21000,  9.07470,  0.69325,  0.07639,  0.07680
Na,  0.52400,  0.52224,  0.52330,  0.52372,  0.52406,  0.52567,  0.52375,  0.00081,  0.00155,  0.00155
Mg,  0.04815,  0.03884,  0.04600,  0.04781,  0.05270,  0.06422,  0.05006,  0.00735,  0.14692,  0.15273
Al,  0.24068,  0.20417,  0.22888,  0.23849,  0.27418,  0.33209,  0.25179,  0.03997,  0.15873,  0.16606
Si,  0.55914,  0.42315,  0.53118,  0.55393,  0.64869,  0.78071,  0.58179,  0.10000,  0.17188,  0.17884
P,  0.00129,  0.00000,  0.00111,  0.00130,  0.00136,  0.00229,  0.00114,  0.00066,  0.57524,  0.50784
S,  0.03872,  0.02997,  0.03430,  0.03900,  0.04002,  0.04863,  0.03813,  0.00440,  0.11543,  0.11368
Cl,  1.16990,  1.16340,  1.16813,  1.16990,  1.17598,  1.19370,  1.17390,  0.00997,  0.00849,  0.00852
K,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Ca,  0.31148,  0.24753,  0.30446,  0.31081,  0.33097,  0.35300,  0.31401,  0.02338,  0.07446,  0.07507
Ti,  0.02105,  0.01462,  0.02004,  0.02098,  0.02436,  0.02801,  0.02166,  0.00330,  0.15251,  0.15695
V,  0.00022,  0.00008,  0.00021,  0.00022,  0.00026,  0.00030,  0.00022,  0.00005,  0.21160,  0.21612
Mn,  0.00170,  0.00036,  0.00154,  0.00168,  0.00222,  0.00271,  0.00176,  0.00053,  0.30231,  0.31321
Fe,  0.23764,  0.15831,  0.22931,  0.23707,  0.26019,  0.28436,  0.23995,  0.02760,  0.11500,  0.11612
Zn,  0.00280,  0.00206,  0.00267,  0.00280,  0.00285,  0.00343,  0.00271,  0.00038,  0.14180,  0.13736
Br,  0.00061,  0.00029,  0.00048,  0.00062,  0.00065,  0.00082,  0.00058,  0.00014,  0.24714,  0.23416
Pb,  0.00054,  0.00039,  0.00051,  0.00054,  0.00055,  0.00065,  0.00052,  0.00007,  0.14124,  0.13631

Factor 3,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 20.60100,  0.48155, 19.59700, 20.63900, 20.86075, 22.88700, 16.76947,  8.37134,  0.49920,  0.40636
