**** Analysis Summary ****

Time of run: ,05/07/16 23:56
Concentration file: ,C:\Users\thiago\Documents\EPA PMF\Data\pmf_fa\RGeH.csv
Uncertainty file: ,C:\Users\thiago\Documents\EPA PMF\Data\pmf_fa\RGeHunc8.csv
Configuration file: ,


**** Input Data Statistics ****

Species,Category,S/N,Min,25th,Median,75th,Max,% Modeled Samples,% Raw Samples
8                    3,1.14788,628.03141,19.96010,8.41671,7.54729,30.28179,85.10605,43.42079,52.59645,9.17723,0.85507,5.98594,18.11985,8.30705,35.08940,4.66051,2.57432,
8                    4,0.00000,0.00002,0.00001,0.00001,0.00001,0.00000,0.00001,0.00001,0.00000,0.00000,0.00000,0.00001,0.00001,0.00000,0.00001,0.00001,0.00001,
8                    5,0.00000,0.00006,0.00001,0.00000,0.00000,0.00001,0.00001,0.00001,0.00001,0.00000,0.00000,0.00001,0.00000,0.00001,0.00001,0.00001,0.00001,
8                    6,2.22470,0.96471,123.24007,7.09584,3.95826,678.17355,105.53382,2.26598,3.30356,11.85008,11.59342,161.24883,112.18384,2.53205,172.36924,191.41462,162.75290,
8                    7,0.00000,0.00004,0.00002,0.00001,0.00002,0.00001,0.00002,0.00002,0.00000,0.00000,0.00001,0.00001,0.00002,0.00001,0.00002,0.00001,0.00001,
9                    1,0.70117,970.44419,12.13714,5.70150,0.59422,2.27058,33.96057,5.78501,33.21225,1.15284,0.51873,66.15810,22.61806,5.21185,1.03093,22.14203,46.56115,
9                    2,0.70113,970.44161,12.14885,5.69852,0.59355,2.27070,33.95005,5.77812,33.20058,1.15275,0.51940,66.16104,22.61662,5.21218,1.02979,22.14294,46.55590,
9                    3,0.70113,970.30049,12.14777,5.69736,0.59269,2.26415,33.94858,5.77865,33.20735,1.15354,0.51989,66.15608,22.61770,5.21263,1.02861,22.13056,46.55631,
9                    4,0.62670,570.47708,28.47785,3.84481,9.75673,20.49757,53.23631,27.55295,32.36269,5.72996,1.83840,50.13427,7.61090,11.55728,33.18836,38.45991,35.94842,
9                    5,0.62679,569.99917,28.47023,3.84064,9.74727,20.50302,53.22652,27.54421,32.35934,5.72966,1.83558,50.15243,7.61095,11.55539,33.17927,38.44972,35.93792,
9                    6,2.55465,588.76946,128.23942,11.18066,13.53667,667.59190,153.91739,27.69275,27.15970,20.74529,12.81298,57.25789,95.91238,11.38186,209.60369,159.77701,110.82342,
9                    7,0.62670,570.30848,28.48481,3.84657,9.76085,20.49531,53.23318,27.55628,32.36110,5.73030,1.84024,50.13021,7.60610,11.56055,33.19386,38.45685,35.94799,
9                    8,0.62679,570.33323,28.48317,3.84098,9.75005,20.49739,53.23718,27.53963,32.36121,5.72979,1.83665,50.15509,7.61328,11.55686,33.18826,38.44294,35.94072,
10                    1,1.14650,628.00859,19.95165,8.41977,7.54373,30.31430,85.10308,43.43431,52.59546,9.17190,0.85476,5.98303,18.11622,8.30164,35.07070,4.65703,2.57370,
10                    2,1.14736,628.00757,19.95681,8.41967,7.54515,30.31795,85.09076,43.42497,52.57325,9.17413,0.85417,5.98625,18.11274,8.30207,35.07477,4.65617,2.57292,
10                    3,1.14736,628.00357,19.95883,8.41661,7.54476,30.28430,85.09228,43.43901,52.59508,9.17725,0.85490,5.98712,18.11345,8.30642,35.09086,4.66253,2.57424,
10                    4,0.00000,0.00002,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00000,0.00000,0.00000,0.00002,0.00001,0.00001,0.00001,0.00001,0.00001,
10                    5,0.00000,0.00009,0.00001,0.00001,0.00001,0.00001,0.00002,0.00002,0.00001,0.00000,0.00000,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,
10                    6,2.22477,0.96467,123.24081,7.10212,3.95513,678.16231,105.56069,2.26829,3.30557,11.84947,11.59394,161.25071,112.18403,2.53296,172.37323,191.41479,162.75337,
10                    7,0.00000,0.00006,0.00002,0.00002,0.00002,0.00002,0.00003,0.00003,0.00000,0.00001,0.00001,0.00002,0.00002,0.00002,0.00003,0.00001,0.00001,
