**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 4

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
Mn,  0.00890,  0.00393,  0.00945,  0.00982,  0.01061,  0.01159,  0.00972,  0.00162,  0.16669,  0.18213
Fe,  0.00342,  0.00000,  0.00639,  0.02192,  0.03040,  0.24003,  0.03072,  0.05081,  1.65374, 14.86183
Zn,  0.00897,  0.00135,  0.00933,  0.00962,  0.01091,  0.01153,  0.00954,  0.00212,  0.22241,  0.23665
Br,  0.01145,  0.00052,  0.01174,  0.01223,  0.01378,  0.01442,  0.01187,  0.00298,  0.25146,  0.26048
Pb,  0.02259,  0.00093,  0.02329,  0.02433,  0.02712,  0.02835,  0.02352,  0.00602,  0.25587,  0.26642

Factor 4,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 19.44900,  4.82130,  8.66383, 17.14250, 24.71250, 31.73800, 16.97522,  8.80961,  0.51897,  0.45296
Na,  0.00000,  0.00000,  0.19633,  0.73707,  2.08770,  2.87530,  1.04576,  0.97643,  0.93370,37715994292.43970
Mg,  0.19641,  0.07042,  0.09602,  0.18420,  0.21216,  0.27012,  0.16342,  0.06120,  0.37449,  0.31160
Al,  1.51270,  0.70923,  0.92207,  1.24625,  1.58980,  2.05980,  1.26157,  0.41646,  0.33011,  0.27531
Si,  3.39200,  1.43920,  1.94508,  3.07805,  3.89815,  4.95700,  2.95365,  1.09705,  0.37142,  0.32342
P,  0.01350,  0.00000,  0.00020,  0.00884,  0.00985,  0.01350,  0.00691,  0.00475,  0.68732,  0.35193
S,  0.14710,  0.03561,  0.07369,  0.12423,  0.13858,  0.15261,  0.11107,  0.03872,  0.34861,  0.26322
Cl,  1.09180,  0.60083,  0.92902,  1.00570,  1.04665,  1.10840,  0.97440,  0.11495,  0.11797,  0.10528
K,  0.28530,  0.03450,  0.15464,  0.19410,  0.30293,  0.39010,  0.21822,  0.09891,  0.45328,  0.34670
Ca,  0.81580,  0.30459,  0.44026,  0.75525,  0.99747,  1.24860,  0.71591,  0.30256,  0.42263,  0.37088
Ti,  0.09016,  0.02291,  0.03635,  0.07586,  0.11402,  0.14737,  0.07454,  0.04043,  0.54238,  0.44840
V,  0.00153,  0.00000,  0.00005,  0.00053,  0.00121,  0.00199,  0.00068,  0.00065,  0.95130,  0.42144
Mn,  0.01050,  0.00000,  0.00285,  0.00860,  0.01423,  0.01920,  0.00869,  0.00617,  0.71019,  0.58783
Fe,  0.83794,  0.11844,  0.29708,  0.66425,  1.07088,  1.37910,  0.67580,  0.39477,  0.58415,  0.47112
Zn,  0.01093,  0.00324,  0.00554,  0.00857,  0.00974,  0.01162,  0.00792,  0.00247,  0.31230,  0.22638
Br,  0.00339,  0.00000,  0.00142,  0.00164,  0.00255,  0.00339,  0.00187,  0.00076,  0.40679,  0.22394
Pb,  0.00367,  0.00000,  0.00000,  0.00104,  0.00221,  0.00477,  0.00139,  0.00146,  1.05421,  0.39903

Percent of Species Sum

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 60.20835, 28.53690, 30.63174, 46.94899, 58.29824, 68.76084, 46.46434, 13.65168,  0.29381,  0.22674
Na,  0.00087,  0.00000,  0.00022,  3.55187, 90.81286, 97.67241, 33.20131, 44.33951,  1.33547,50978.98994
Mg, 53.58155, 15.14687, 15.60196, 38.49552, 42.17108, 61.39120, 33.92370, 15.60115,  0.45989,  0.29117
Al, 59.20648, 20.65035, 24.67771, 44.62045, 50.43594, 68.04025, 41.55956, 15.01146,  0.36120,  0.25354
Si, 64.38309, 22.38986, 26.34583, 49.20666, 55.93886, 73.46090, 45.36455, 16.45111,  0.36264,  0.25552
P,  8.25417,  3.01944,  5.13297, 14.55905, 15.68521, 17.17095, 11.37302,  5.24284,  0.46099,  0.63517
S, 21.76029,  0.00000,  2.78687,  7.47648, 17.57369, 31.07967, 10.45104,  9.40681,  0.90008,  0.43229
Cl,  0.00000,  0.00000,  0.00106,  6.66660, 12.21837, 14.30984,  6.46157,  5.60437,  0.86734,119158404.17226
K, 57.16377, 23.29540, 27.68440, 43.28194, 50.28149, 65.67204, 41.97535, 13.06224,  0.31119,  0.22851
Ca, 63.95690, 25.77826, 29.83620, 49.97967, 59.02945, 72.96740, 47.57079, 15.26488,  0.32089,  0.23867
Ti, 64.80951, 27.12757, 30.97291, 50.63582, 59.71623, 73.95328, 48.51035, 15.06263,  0.31050,  0.23241
