Acquisition date and time: 00-00-   0 (00:00:00)
Live Time:,        0
Real Time:,        0
 
Photopeaks:,     9
  13,      1.487,        163,         56,       1.26
  19,      3.313,         39,         56,       1.15
  20,      3.691,         65,         65,       1.43
  24,      5.412,        685,        148,       3.66
  26,      6.399,       1936,        198,       2.83
  29,      8.041,       6737,        367,       2.00
  30,      8.631,       2401,        355,       1.57
  45,      2.696,        416,         51,       2.36
  58,      4.838,        490,        190,       2.15
