Acquisition date and time: 00-00-   0 (00:00:00)
Live Time:,        0
Real Time:,        0
 
Photopeaks:,    10
  12,      1.254,         91,         58,       1.41
  13,      1.487,        221,         58,       1.25
  15,      2.013,         70,         54,       1.15
  19,      3.313,        155,         59,       2.11
  24,      5.412,        722,        156,       2.05
  26,      6.399,       2088,        209,       2.11
  29,      8.041,       6787,        384,       1.83
  30,      8.631,       2395,        370,       1.17
  45,      2.696,        472,         54,       2.25
  58,      4.838,        392,        201,       1.34
