"Sample    : cu-c15",
"Operator  : Americo",
"Comment  : cal ",
"Group     : kerr2007ag180cal_lt",
"Date       : 2010-11-17 06:06:08",
"",
"Mesurement Condition",
"------------------------------------------------------------------------------------",
"Instrument : 700HS2   Atmosphere : Vac.   Collimator : 10(mm)   Spin : No",
"------------------------------------------------------------------------------------",
"Analyte               TG kV   uA      FI Acq.(keV)  Anal.(keV)  Time(sec)     DT(%)",
"------------------------------------------------------------------------------------",
"Na                    Rh 50  152-Auto Al  0 - 20    0.8 - 1.2   Live -  180   16",
"",
"<Profile>",
"Channel_info_start",
"Channel : Na",
"Points : 2048",
"Range : 0.000000 - 20.480000",
"Step : 0.010000",
"Channel_info_end",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"1",
"1",
"5",
"9",
"17",
"9",
"7",
"5",
"10",
"9",
"10",
"14",
"9",
"13",
"7",
"7",
"4",
"7",
"8",
"16",
"7",
"9",
"5",
"8",
"17",
"8",
"10",
"17",
"14",
"12",
"12",
"12",
"7",
"10",
"7",
"6",
"9",
"8",
"9",
"9",
"7",
"7",
"6",
"10",
"8",
"10",
"11",
"8",
"12",
"9",
"15",
"17",
"21",
"26",
"36",
"36",
"42",
"48",
"39",
"56",
"82",
"111",
"133",
"162",
"204",
"205",
"216",
"245",
"207",
"209",
"203",
"151",
"133",
"162",
"98",
"80",
"55",
"49",
"32",
"31",
"27",
"26",
"18",
"21",
"7",
"11",
"8",
"5",
"5",
"7",
"7",
"6",
"5",
"8",
"11",
"9",
"6",
"12",
"13",
"8",
"4",
"12",
"7",
"4",
"9",
"9",
"11",
"8",
"12",
"8",
"8",
"9",
"4",
"9",
"8",
"9",
"9",
"12",
"15",
"7",
"14",
"13",
"8",
"7",
"4",
"11",
"7",
"11",
"9",
"8",
"10",
"8",
"6",
"9",
"6",
"9",
"7",
"10",
"8",
"10",
"12",
"15",
"11",
"12",
"18",
"16",
"11",
"10",
"13",
"27",
"14",
"5",
"7",
"8",
"12",
"11",
"10",
"11",
"16",
"10",
"10",
"12",
"9",
"11",
"7",
"16",
"14",
"21",
"15",
"18",
"13",
"20",
"20",
"17",
"30",
"24",
"22",
"31",
"23",
"20",
"16",
"14",
"15",
"20",
"24",
"12",
"24",
"22",
"38",
"49",
"49",
"42",
"63",
"56",
"64",
"84",
"78",
"100",
"129",
"160",
"172",
"182",
"202",
"207",
"191",
"194",
"161",
"172",
"127",
"82",
"61",
"63",
"59",
"34",
"37",
"26",
"26",
"24",
"23",
"32",
"19",
"24",
"32",
"27",
"27",
"24",
"17",
"17",
"21",
"28",
"22",
"26",
"35",
"29",
"26",
"37",
"32",
"37",
"21",
"24",
"27",
"19",
"13",
"11",
"12",
"8",
"7",
"8",
"13",
"23",
"10",
"10",
"7",
"13",
"8",
"10",
"11",
"15",
"11",
"12",
"12",
"4",
"5",
"9",
"2",
"8",
"5",
"11",
"6",
"6",
"7",
"6",
"5",
"13",
"3",
"9",
"5",
"10",
"8",
"11",
"3",
"7",
"10",
"4",
"8",
"7",
"4",
"8",
"5",
"6",
"5",
"9",
"3",
"9",
"7",
"10",
"10",
"12",
"12",
"6",
"12",
"9",
"9",
"7",
"14",
"7",
"14",
"14",
"7",
"14",
"8",
"8",
"8",
"8",
"9",
"8",
"12",
"8",
"6",
"14",
"8",
"7",
"7",
"4",
"6",
"6",
"6",
"13",
"9",
"21",
"13",
"21",
"21",
"21",
"17",
"29",
"31",
"29",
"26",
"27",
"32",
"39",
"22",
"24",
"28",
"27",
"27",
"20",
"26",
"9",
"11",
"17",
"18",
"17",
"16",
"22",
"16",
"13",
"15",
"11",
"13",
"14",
"15",
"8",
"19",
"19",
"9",
"17",
"11",
"14",
"12",
"16",
"14",
"11",
"12",
"13",
"16",
"12",
"16",
"19",
"11",
"24",
"11",
"14",
"9",
"13",
"12",
"8",
"10",
"11",
"16",
"14",
"7",
"17",
"12",
"20",
"10",
"13",
"20",
"10",
"18",
"14",
"22",
"17",
"14",
"13",
"18",
"17",
"15",
"13",
"13",
"18",
"18",
"19",
"15",
"14",
"18",
"26",
"26",
"21",
"22",
"18",
"27",
"23",
"17",
"17",
"24",
"23",
"28",
"15",
"14",
"20",
"16",
"16",
"17",
"19",
"27",
"17",
"14",
"21",
"26",
"20",
"20",
"27",
"17",
"15",
"15",
"16",
"22",
"14",
"12",
"16",
"19",
"22",
"10",
"16",
"19",
"13",
"24",
"21",
"17",
"19",
"14",
"16",
"20",
"14",
"23",
"22",
"17",
"26",
"20",
"14",
"12",
"17",
"21",
"21",
"22",
"23",
"28",
"13",
"23",
"27",
"26",
"16",
"17",
"23",
"16",
"12",
"27",
"26",
"11",
"17",
"20",
"22",
"19",
"28",
"23",
"17",
"22",
"19",
"27",
"29",
"26",
"23",
"23",
"24",
"30",
"22",
"29",
"23",
"35",
"20",
"22",
"32",
"27",
"28",
"23",
"34",
"37",
"18",
"26",
"15",
"26",
"24",
"19",
"26",
"33",
"15",
"16",
"19",
"26",
"21",
"12",
"22",
"18",
"24",
"33",
"35",
"26",
"19",
"39",
"28",
"29",
"34",
"32",
"35",
"32",
"29",
"21",
"28",
"27",
"26",
"22",
"32",
"35",
"31",
"30",
"27",
"36",
"36",
"37",
"28",
"35",
"37",
"38",
"37",
"45",
"41",
"40",
"36",
"45",
"39",
"49",
"42",
"43",
"40",
"43",
"46",
"47",
"42",
"51",
"47",
"51",
"53",
"49",
"43",
"52",
"52",
"71",
"59",
"67",
"80",
"76",
"90",
"83",
"81",
"116",
"108",
"102",
"135",
"117",
"119",
"122",
"103",
"123",
"130",
"132",
"117",
"117",
"116",
"108",
"96",
"98",
"68",
"90",
"64",
"78",
"70",
"65",
"62",
"68",
"52",
"66",
"47",
"52",
"59",
"41",
"47",
"37",
"50",
"41",
"46",
"51",
"43",
"31",
"37",
"34",
"60",
"39",
"39",
"54",
"46",
"43",
"57",
"50",
"47",
"38",
"51",
"57",
"55",
"45",
"50",
"51",
"50",
"44",
"57",
"47",
"53",
"67",
"56",
"57",
"67",
"47",
"60",
"44",
"65",
"55",
"69",
"71",
"63",
"56",
"58",
"59",
"54",
"67",
"65",
"64",
"63",
"78",
"76",
"77",
"64",
"63",
"61",
"86",
"81",
"71",
"66",
"60",
"70",
"61",
"76",
"79",
"83",
"68",
"59",
"50",
"63",
"66",
"66",
"67",
"71",
"79",
"53",
"67",
"44",
"74",
"65",
"64",
"66",
"62",
"57",
"61",
"65",
"60",
"89",
"76",
"66",
"80",
"71",
"73",
"83",
"62",
"60",
"63",
"89",
"74",
"83",
"80",
"79",
"77",
"70",
"84",
"104",
"107",
"91",
"99",
"112",
"122",
"104",
"102",
"110",
"120",
"147",
"145",
"174",
"129",
"198",
"172",
"212",
"238",
"335",
"407",
"596",
"697",
"962",
"1267",
"1747",
"2337",
"3243",
"4320",
"5791",
"6942",
"8796",
"10900",
"13648",
"15307",
"18681",
"21349",
"24590",
"25946",
"29129",
"31188",
"33180",
"32320",
"33896",
"33221",
"33059",
"30290",
"29207",
"26901",
"24910",
"20788",
"19127",
"16468",
"14034",
"11008",
"9244",
"7362",
"5956",
"4327",
"3351",
"2555",
"1846",
"1289",
"960",
"651",
"547",
"347",
"275",
"192",
"179",
"120",
"112",
"120",
"100",
"108",
"92",
"93",
"93",
"86",
"89",
"76",
"109",
"88",
"100",
"83",
"98",
"91",
"98",
"87",
"98",
"89",
"104",
"85",
"136",
"106",
"123",
"122",
"119",
"116",
"141",
"145",
"154",
"153",
"145",
"194",
