**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 3

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
Ti,  0.05173,  0.04152,  0.04157,  0.04159,  0.05014,  0.05173,  0.04534,  0.00448,  0.09890,  0.08670
V,  0.00066,  0.00047,  0.00047,  0.00047,  0.00065,  0.00070,  0.00055,  0.00009,  0.16589,  0.13773
Mn,  0.00791,  0.00644,  0.00664,  0.00664,  0.00776,  0.00791,  0.00707,  0.00058,  0.08217,  0.07346
Fe,  0.46242,  0.36572,  0.36614,  0.36634,  0.44566,  0.46242,  0.40292,  0.04270,  0.10598,  0.09235
Zn,  0.00225,  0.00189,  0.00212,  0.00220,  0.00221,  0.00296,  0.00221,  0.00020,  0.08875,  0.08713
Br,  0.00123,  0.00000,  0.00126,  0.00162,  0.00162,  0.00164,  0.00135,  0.00049,  0.36111,  0.39527
Pb,  0.00092,  0.00056,  0.00056,  0.00056,  0.00089,  0.00178,  0.00074,  0.00029,  0.39148,  0.31566
BC,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000

Factor 4,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,  0.90837,  0.83201,  0.90877,  4.08665,  4.09478,  4.11120,  2.84313,  1.54880,  0.54475,  1.70503
Na,  0.17505,  0.16149,  0.17506,  0.19030,  0.19053,  0.19072,  0.18227,  0.01188,  0.06518,  0.06786
Mg,  0.02382,  0.01748,  0.02106,  0.02220,  0.02228,  0.02387,  0.02186,  0.00145,  0.06638,  0.06093
Al,  0.00000,  0.00000,  0.00000,  0.01043,  0.01050,  0.01054,  0.00589,  0.00524,  0.88985,  0.00000
Si,  0.00077,  0.00000,  0.00090,  0.01634,  0.01647,  0.01656,  0.00942,  0.00797,  0.84571, 10.37989
P,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00135,  0.00007,  0.00030,  4.47214,  0.00000
S,  0.06181,  0.03764,  0.06182,  0.12840,  0.12855,  0.15458,  0.10123,  0.04111,  0.40608,  0.66509
Cl,  0.39130,  0.30639,  0.32888,  0.32925,  0.39171,  0.39250,  0.35274,  0.03262,  0.09247,  0.08336
K,  0.01037,  0.00000,  0.01039,  0.13092,  0.13117,  0.13169,  0.08337,  0.06045,  0.72506,  5.82988
Ca,  0.06556,  0.00821,  0.00828,  0.00833,  0.05931,  0.06563,  0.03018,  0.02591,  0.85850,  0.39526
Ti,  0.00234,  0.00042,  0.00042,  0.00043,  0.00218,  0.00234,  0.00114,  0.00088,  0.77564,  0.37831
V,  0.00015,  0.00012,  0.00014,  0.00019,  0.00019,  0.00025,  0.00017,  0.00003,  0.16495,  0.18354
Mn,  0.00001,  0.00001,  0.00005,  0.00043,  0.00043,  0.00043,  0.00027,  0.00020,  0.74507, 19.74416
Fe,  0.02087,  0.00000,  0.00000,  0.00000,  0.01893,  0.02089,  0.00782,  0.00970,  1.24125,  0.46498
Zn,  0.00242,  0.00236,  0.00242,  0.00553,  0.00554,  0.00556,  0.00431,  0.00153,  0.35623,  0.63433
Br,  0.00311,  0.00296,  0.00310,  0.00767,  0.00768,  0.00770,  0.00590,  0.00221,  0.37521,  0.71238
Pb,  0.00193,  0.00181,  0.00192,  0.00323,  0.00324,  0.00337,  0.00271,  0.00067,  0.24796,  0.34900
BC,  0.00000,  0.00000,  0.02158,  0.39281,  0.39377,  0.39656,  0.24067,  0.19249,  0.79980,  0.00000

Factor 5,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 10.34000,  6.24540,  7.10860,  7.89905,  7.95063, 10.34000,  8.08169,  1.23672,  0.15303,  0.11961
Na,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00644,  0.00038,  0.00145,  3.77252,  0.00000
Mg,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Al,  0.14062,  0.00918,  0.09253,  0.10347,  0.10517,  0.14062,  0.09821,  0.03238,  0.32970,  0.23026
Si,  0.26753,  0.00000,  0.17255,  0.19316,  0.19671,  0.26753,  0.18140,  0.06886,  0.37958,  0.25738
P,  0.00000,  0.00000,  0.00000,  0.00074,  0.00075,  0.00313,  0.00057,  0.00071,  1.24515,  0.00000
S,  0.06138,  0.01065,  0.01948,  0.03881,  0.03925,  0.11959,  0.03954,  0.02470,  0.62454,  0.40232
Cl,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.09048,  0.00452,  0.02023,  4.47214,  0.00000
K,  0.29331,  0.16954,  0.19318,  0.22178,  0.22322,  0.32241,  0.22725,  0.04197,  0.18469,  0.14309
Ca,  0.00000,  0.00000,  0.02710,  0.03745,  0.03818,  0.06894,  0.03241,  0.01688,  0.52088,  0.00000
Ti,  0.00678,  0.00290,  0.00567,  0.00655,  0.00667,  0.00678,  0.00611,  0.00104,  0.16945,  0.15270
V,  0.00050,  0.00041,  0.00048,  0.00048,  0.00048,  0.00070,  0.00048,  0.00006,  0.12819,  0.12282
Mn,  0.00274,  0.00138,  0.00196,  0.00218,  0.00220,  0.00274,  0.00217,  0.00031,  0.14368,  0.11358
Fe,  0.07184,  0.04781,  0.06482,  0.07442,  0.07512,  0.07603,  0.07055,  0.00701,  0.09931,  0.09752
Zn,  0.01019,  0.00698,  0.00789,  0.00809,  0.00814,  0.01195,  0.00837,  0.00128,  0.15320,  0.12586
Br,  0.00621,  0.00000,  0.00185,  0.00219,  0.00220,  0.00622,  0.00260,  0.00163,  0.62815,  0.26266
Pb,  0.00617,  0.00455,  0.00521,  0.00522,  0.00545,  0.00800,  0.00538,  0.00079,  0.14600,  0.12735
BC,  1.72720,  1.29060,  1.44330,  1.44580,  1.46933,  2.07830,  1.49030,  0.19074,  0.12799,  0.11043

Percent of Species Sum

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 16.92890, 10.47169, 13.52189, 13.58846, 16.09826, 20.18125, 14.02306,  2.58762,  0.18453,  0.15285
Na,  0.00000,  0.00000,  0.00000,  0.55648,  0.59974,  0.68617,  0.32875,  0.30622,  0.93146,  0.00000
Mg,  0.00000,  0.00000,  0.00000, 20.27814, 20.38337, 29.86806, 13.76982, 10.57820,  0.76822,  0.00000
Al,  0.92485,  0.37737,  0.92117, 21.68249, 21.77919, 34.15619, 15.17902, 11.32578,  0.74615, 12.24613
Si,  0.00000,  0.00000,  0.00000, 21.89062, 21.99206, 34.18485, 15.06655, 11.67463,  0.77487,  0.00000
P, 34.37265,  0.00000, 26.62079, 26.69167, 34.36354, 41.22561, 28.11772, 11.05400,  0.39313,  0.32159
S, 20.19261,  0.00000, 14.94209, 14.99225, 20.18834, 25.80177, 16.76930,  6.32936,  0.37744,  0.31345
Cl,  1.39070,  0.00000,  1.50447, 27.51953, 27.59075, 27.68425, 15.74823, 13.43069,  0.85284,  9.65750
K, 21.49648, 10.90609, 10.95382, 11.00558, 16.41807, 21.50840, 14.01740,  3.93392,  0.28065,  0.18300
Ca, 24.84801,  0.00000, 24.97359, 41.14970, 41.25848, 41.32004, 31.48049, 13.20320,  0.41941,  0.53136
