**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 19

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 20.89300,  3.58010,  5.88330,  9.52735, 17.87025, 27.80300, 11.31157,  6.89807,  0.60982,  0.33016
Na,  0.00000,  0.00000,  0.18958,  0.66069,  1.50195,  2.52670,  0.87161,  0.81442,  0.93438,166592094.43621
Mg,  0.20789,  0.04414,  0.06102,  0.10373,  0.14323,  0.22184,  0.11061,  0.05189,  0.46916,  0.24962
Al,  1.56540,  0.34291,  0.41440,  0.61486,  0.92049,  1.56540,  0.70489,  0.34360,  0.48746,  0.21950
Si,  3.54130,  0.84281,  1.19338,  1.66090,  2.62135,  3.79150,  1.86930,  0.87672,  0.46901,  0.24757
P,  0.00908,  0.00000,  0.00000,  0.00009,  0.00418,  0.00908,  0.00192,  0.00280,  1.45373,  0.30798
S,  0.14229,  0.01797,  0.02657,  0.03990,  0.05694,  0.14229,  0.04737,  0.03003,  0.63392,  0.21103
Cl,  1.07350,  0.62619,  0.75179,  0.86024,  0.95305,  1.08680,  0.85307,  0.13017,  0.15259,  0.12125
K,  0.29389,  0.00000,  0.01144,  0.03575,  0.10808,  0.29389,  0.06834,  0.07682,  1.12406,  0.26140
Ca,  0.85059,  0.18236,  0.24597,  0.37883,  0.67049,  0.99906,  0.44564,  0.23751,  0.53297,  0.27923
Ti,  0.09627,  0.00556,  0.01231,  0.02510,  0.05878,  0.10627,  0.03605,  0.03025,  0.83901,  0.31421
V,  0.00179,  0.00000,  0.00000,  0.00021,  0.00059,  0.00179,  0.00040,  0.00053,  1.32957,  0.29759
Mn,  0.01171,  0.00000,  0.00122,  0.00397,  0.00862,  0.01667,  0.00502,  0.00475,  0.94561,  0.40587
Fe,  0.89061,  0.00000,  0.00416,  0.15100,  0.44603,  0.92001,  0.26018,  0.28969,  1.11343,  0.32527
Zn,  0.01106,  0.00034,  0.00351,  0.00406,  0.00602,  0.01106,  0.00478,  0.00243,  0.50753,  0.21963
Br,  0.00346,  0.00037,  0.00057,  0.00121,  0.00172,  0.00346,  0.00123,  0.00075,  0.60545,  0.21564
Pb,  0.00382,  0.00000,  0.00064,  0.00107,  0.00153,  0.00382,  0.00126,  0.00093,  0.74005,  0.24332

Factor 2,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 58.41100, 34.00900, 48.62650, 52.30200, 58.37975, 64.64500, 52.97005,  7.36730,  0.13908,  0.12613
