**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 17

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 10.51100, 10.27700, 10.29125, 10.35600, 10.54325, 11.25900, 10.46050,  0.24164,  0.02310,  0.02299
Na,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Mg,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Al,  0.12964,  0.12625,  0.12677,  0.12783,  0.12962,  0.13871,  0.12869,  0.00286,  0.02223,  0.02206
Si,  0.25338,  0.24760,  0.24854,  0.24974,  0.25333,  0.26991,  0.25172,  0.00513,  0.02038,  0.02025
P,  0.00058,  0.00054,  0.00057,  0.00057,  0.00058,  0.00082,  0.00059,  0.00006,  0.09713,  0.09846
S,  0.08202,  0.07996,  0.08040,  0.08070,  0.08219,  0.09145,  0.08195,  0.00282,  0.03439,  0.03436
Cl,  0.02737,  0.01939,  0.02732,  0.02753,  0.02779,  0.02801,  0.02715,  0.00184,  0.06788,  0.06735
K,  0.29981,  0.29310,  0.29349,  0.29517,  0.30070,  0.32133,  0.29852,  0.00729,  0.02444,  0.02433
Ca,  0.06282,  0.06158,  0.06170,  0.06192,  0.06291,  0.06684,  0.06248,  0.00122,  0.01951,  0.01940
Ti,  0.00894,  0.00874,  0.00877,  0.00881,  0.00894,  0.00953,  0.00888,  0.00018,  0.02064,  0.02051
V,  0.00051,  0.00050,  0.00050,  0.00050,  0.00051,  0.00055,  0.00051,  0.00001,  0.02350,  0.02337
Mn,  0.00285,  0.00279,  0.00280,  0.00281,  0.00286,  0.00306,  0.00284,  0.00006,  0.02207,  0.02195
Fe,  0.10247,  0.10030,  0.10055,  0.10099,  0.10273,  0.10922,  0.10188,  0.00207,  0.02030,  0.02019
Zn,  0.01169,  0.01135,  0.01138,  0.01153,  0.01174,  0.01265,  0.01162,  0.00031,  0.02656,  0.02638
Br,  0.00229,  0.00163,  0.00178,  0.00218,  0.00233,  0.00327,  0.00213,  0.00042,  0.19615,  0.18252
Pb,  0.00730,  0.00710,  0.00712,  0.00721,  0.00733,  0.00789,  0.00726,  0.00019,  0.02573,  0.02556
BC,  1.78000,  1.73730,  1.74060,  1.75495,  1.78605,  1.91210,  1.77064,  0.04222,  0.02385,  0.02372

Factor 2,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,  1.22200,  0.90098,  1.08205,  1.22520,  1.30848,  1.34110,  1.18928,  0.12714,  0.10691,  0.10404
Na,  0.02064,  0.01560,  0.01894,  0.02062,  0.02073,  0.02104,  0.01958,  0.00189,  0.09674,  0.09179
Mg,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Al,  0.01246,  0.00917,  0.01135,  0.01216,  0.01317,  0.01447,  0.01213,  0.00122,  0.10080,  0.09813
Si,  0.00151,  0.00000,  0.00019,  0.00227,  0.00291,  0.00507,  0.00202,  0.00151,  0.74505,  0.99501
P,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00005,  0.00000,  0.00001,  4.01635,  0.00000
S,  0.01865,  0.01427,  0.01725,  0.01864,  0.01919,  0.01956,  0.01796,  0.00175,  0.09724,  0.09365
Cl,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
K,  0.04014,  0.02985,  0.03532,  0.04018,  0.04265,  0.04349,  0.03896,  0.00405,  0.10400,  0.10095
Ca,  0.00071,  0.00018,  0.00049,  0.00095,  0.00110,  0.00146,  0.00083,  0.00037,  0.44904,  0.52278
Ti,  0.00024,  0.00015,  0.00020,  0.00026,  0.00029,  0.00037,  0.00025,  0.00005,  0.21484,  0.22249
V,  0.00009,  0.00007,  0.00008,  0.00009,  0.00009,  0.00009,  0.00009,  0.00001,  0.09763,  0.09420
Mn,  0.00025,  0.00018,  0.00023,  0.00025,  0.00028,  0.00029,  0.00025,  0.00003,  0.11240,  0.11003
Fe,  0.00088,  0.00000,  0.00049,  0.00130,  0.00158,  0.00217,  0.00109,  0.00063,  0.57805,  0.71458
Zn,  0.00368,  0.00282,  0.00333,  0.00367,  0.00379,  0.00385,  0.00353,  0.00034,  0.09581,  0.09181
Br,  0.01686,  0.01297,  0.01502,  0.01686,  0.01703,  0.01716,  0.01601,  0.00154,  0.09603,  0.09119
Pb,  0.00211,  0.00161,  0.00191,  0.00210,  0.00218,  0.00221,  0.00202,  0.00019,  0.09618,  0.09223
BC,  0.27901,  0.20873,  0.24833,  0.27943,  0.29463,  0.30051,  0.26988,  0.02759,  0.10224,  0.09889

Factor 3,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,  5.83130,  5.37950,  5.83335,  5.85030,  5.86628,  5.91890,  5.82578,  0.10967,  0.01883,  0.01881
Na,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Mg,  0.08126,  0.07610,  0.08127,  0.08151,  0.08167,  0.08198,  0.08120,  0.00127,  0.01560,  0.01559
Al,  0.53965,  0.50706,  0.53971,  0.54148,  0.54236,  0.54445,  0.53938,  0.00806,  0.01495,  0.01494
Si,  1.07160,  1.00690,  1.07170,  1.07500,  1.07688,  1.08070,  1.07094,  0.01594,  0.01488,  0.01487
P,  0.00420,  0.00359,  0.00420,  0.00421,  0.00422,  0.00424,  0.00418,  0.00014,  0.03366,  0.03350
S,  0.07388,  0.05896,  0.07392,  0.07415,  0.07441,  0.07466,  0.07336,  0.00341,  0.04654,  0.04622
Cl,  0.06351,  0.06292,  0.06334,  0.06352,  0.06360,  0.07187,  0.06388,  0.00189,  0.02959,  0.02976
K,  0.11181,  0.09770,  0.11188,  0.11220,  0.11256,  0.11427,  0.11150,  0.00333,  0.02983,  0.02975
Ca,  0.18042,  0.16971,  0.18045,  0.18104,  0.18130,  0.18188,  0.18031,  0.00264,  0.01462,  0.01461
Ti,  0.03457,  0.03251,  0.03457,  0.03468,  0.03474,  0.03486,  0.03455,  0.00051,  0.01474,  0.01473
V,  0.00057,  0.00053,  0.00057,  0.00057,  0.00057,  0.00057,  0.00057,  0.00001,  0.01671,  0.01670
Mn,  0.00427,  0.00401,  0.00427,  0.00428,  0.00429,  0.00430,  0.00427,  0.00006,  0.01500,  0.01499
Fe,  0.29286,  0.27517,  0.29292,  0.29389,  0.29430,  0.29530,  0.29269,  0.00435,  0.01488,  0.01487
Zn,  0.00114,  0.00103,  0.00114,  0.00115,  0.00115,  0.00125,  0.00115,  0.00004,  0.03328,  0.03355
Br,  0.00185,  0.00173,  0.00185,  0.00190,  0.00194,  0.00214,  0.00192,  0.00011,  0.05538,  0.05737
Pb,  0.00035,  0.00034,  0.00035,  0.00035,  0.00036,  0.00042,  0.00036,  0.00002,  0.04449,  0.04549
BC,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.01426,  0.00073,  0.00319,  4.36320,  0.00000

Factor 4,,Statistics Over All Runs
