**** Analysis Summary ****

Time of run: ,02/05/16 15:05
Concentration file: ,\\VBOXSVR\Downloads\pmf_fa\RFsH.csv
Uncertainty file: ,\\VBOXSVR\Downloads\pmf_fa\RFsHunc8.csv
Configuration file: ,


**** Input Data Statistics ****

Species,Category,S/N,Min,25th,Median,75th,Max,% Modeled Samples,% Raw Samples
8                    3,0.00000,0.00008,0.00009,0.00002,0.00003,0.00017,0.00023,0.00005,0.00004,0.00002,0.00002,0.00001,0.00002,0.00003,0.00001,0.00004,0.00003,0.00010,
8                    4,0.01431,3.45948,0.19255,0.21981,0.20423,5.19875,4.93159,1.85978,0.23990,0.20327,0.22716,0.03161,0.34209,0.43372,0.68887,1.17687,1.12336,4.59678,
8                    5,0.00000,0.00006,0.00007,0.00002,0.00002,0.00008,0.00008,0.00002,0.00002,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00002,0.00002,0.00005,
8                    6,0.00001,0.00009,0.00051,0.00002,0.00002,0.00005,0.00005,0.00004,0.00002,0.00001,0.00002,0.00001,0.00001,0.00002,0.00002,0.00002,0.00002,0.00006,
8                    7,0.00001,0.00005,0.00015,0.00001,0.00002,0.00009,0.00012,0.00003,0.00003,0.00001,0.00002,0.00001,0.00002,0.00001,0.00002,0.00002,0.00002,0.00008,
9                    1,0.02145,3.07800,0.18220,0.23717,0.23808,4.68364,4.45715,2.49624,0.24317,0.21374,0.24937,0.03492,0.37990,0.46480,0.68153,0.56703,1.16613,4.81487,
9                    2,0.00000,0.00005,0.00003,0.00001,0.00002,0.00008,0.00008,0.00003,0.00002,0.00001,0.00001,0.00001,0.00001,0.00002,0.00001,0.00002,0.00001,0.00003,
9                    3,0.00000,0.00005,0.00001,0.00001,0.00002,0.00010,0.00009,0.00003,0.00003,0.00002,0.00001,0.00001,0.00001,0.00002,0.00001,0.00003,0.00002,0.00004,
9                    4,0.01428,3.46206,0.19277,0.21956,0.20530,5.21737,4.95297,1.86138,0.24069,0.20353,0.22702,0.03167,0.34371,0.43463,0.68935,1.17741,1.12631,4.60816,
9                    5,0.00000,0.00010,0.00001,0.00002,0.00002,0.00007,0.00005,0.00002,0.00002,0.00002,0.00001,0.00001,0.00001,0.00002,0.00001,0.00003,0.00002,0.00003,
9                    6,0.00000,0.00003,0.00025,0.00002,0.00002,0.00003,0.00003,0.00002,0.00001,0.00001,0.00001,0.00000,0.00001,0.00001,0.00002,0.00002,0.00001,0.00004,
9                    7,0.00000,0.00003,0.00004,0.00000,0.00001,0.00004,0.00002,0.00001,0.00002,0.00001,0.00001,0.00001,0.00001,0.00001,0.00002,0.00001,0.00001,0.00002,
9                    8,0.00000,0.00005,0.00008,0.00001,0.00002,0.00006,0.00007,0.00003,0.00002,0.00002,0.00001,0.00000,0.00001,0.00001,0.00001,0.00001,0.00002,0.00004,
10                    1,0.00000,0.00008,0.00022,0.00002,0.00003,0.00004,0.00008,0.00004,0.00004,0.00002,0.00001,0.00000,0.00001,0.00003,0.00002,0.00001,0.00004,0.00006,
10                    2,0.02169,3.08739,0.18265,0.23803,0.23724,4.70769,4.48674,2.49960,0.24755,0.21501,0.25088,0.03502,0.38115,0.46691,0.68294,0.56857,1.17141,4.83060,
10                    3,0.02165,3.08732,0.18355,0.23881,0.23855,4.70467,4.48672,2.50126,0.24763,0.21497,0.25100,0.03513,0.38181,0.46888,0.68265,0.57168,1.17098,4.83266,
10                    4,0.00242,0.28975,0.01303,0.03454,0.01778,0.10887,0.73750,0.37277,0.02177,0.04384,0.02660,0.00402,0.02308,0.03286,0.01963,0.47989,0.13327,0.18778,
10                    5,0.02154,3.07562,0.18160,0.23862,0.23783,4.67814,4.45100,2.50410,0.24562,0.21496,0.25037,0.03503,0.37926,0.46427,0.68110,0.56109,1.16766,4.80994,
10                    6,0.02160,3.07459,0.18346,0.23651,0.23745,4.68168,4.45546,2.50087,0.24592,0.21496,0.25018,0.03499,0.37910,0.46453,0.68219,0.56748,1.16741,4.81392,
10                    7,0.02166,3.08225,0.18302,0.23781,0.23726,4.69248,4.47171,2.50460,0.24707,0.21532,0.25039,0.03502,0.38062,0.46569,0.68266,0.56726,1.16881,4.82392,
10                    8,0.02150,3.07377,0.18131,0.23794,0.23687,4.66447,4.43782,2.50470,0.24478,0.21480,0.25014,0.03495,0.37828,0.46428,0.68045,0.56495,1.16469,4.80496,
10                    9,0.02150,3.07753,0.18242,0.23780,0.23811,4.68274,4.46052,2.50466,0.24551,0.21519,0.25023,0.03502,0.37998,0.46546,0.68113,0.56630,1.16724,4.81814,
11                    1,0.02151,3.08183,0.18241,0.23816,0.23840,4.68351,4.45569,2.49518,0.24409,0.21325,0.24986,0.03495,0.37998,0.46612,0.68193,0.56683,1.16712,4.81465,
11                    2,0.00001,0.00010,0.00003,0.00001,0.00002,0.00010,0.00009,0.00004,0.00002,0.00001,0.00001,0.00000,0.00001,0.00002,0.00001,0.00002,0.00001,0.00003,
11                    3,0.00000,0.00005,0.00001,0.00001,0.00001,0.00012,0.00009,0.00003,0.00002,0.00001,0.00001,0.00001,0.00001,0.00002,0.00001,0.00003,0.00002,0.00003,
11                    4,0.01433,3.46640,0.19289,0.22041,0.20551,5.21713,4.94980,1.86028,0.24152,0.20330,0.22759,0.03170,0.34377,0.43570,0.68971,1.17641,1.12683,4.60784,
11                    5,0.00000,0.00003,0.00001,0.00001,0.00002,0.00003,0.00003,0.00001,0.00002,0.00001,0.00001,0.00001,0.00001,0.00002,0.00001,0.00003,0.00001,0.00004,
11                    6,0.00000,0.00010,0.00025,0.00003,0.00002,0.00005,0.00004,0.00003,0.00001,0.00001,0.00001,0.00001,0.00001,0.00002,0.00002,0.00002,0.00002,0.00005,
11                    7,0.00000,0.00003,0.00004,0.00001,0.00001,0.00004,0.00004,0.00002,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00002,
11                    8,0.00000,0.00004,0.00008,0.00001,0.00003,0.00005,0.00007,0.00002,0.00002,0.00001,0.00001,0.00001,0.00001,0.00001,0.00002,0.00001,0.00002,0.00006,
11                    9,0.00000,0.00006,0.00000,0.00001,0.00002,0.00003,0.00002,0.00002,0.00001,0.00002,0.00001,0.00001,0.00001,0.00000,0.00001,0.00001,0.00001,0.00002,
11                    10,0.02157,3.08141,0.18263,0.23879,0.23843,4.68262,4.45906,2.50361,0.24643,0.21469,0.25072,0.03505,0.38006,0.46678,0.68153,0.56609,1.16823,4.81792,
12                    1,0.00001,0.00006,0.00013,0.00001,0.00001,0.00003,0.00004,0.00003,0.00002,0.00001,0.00001,0.00000,0.00000,0.00002,0.00001,0.00001,0.00001,0.00003,
12                    2,0.02167,3.08640,0.18253,0.23767,0.23833,4.70065,4.48111,2.49894,0.24622,0.21484,0.25090,0.03495,0.38107,0.46664,0.68259,0.56754,1.17054,4.82505,
12                    3,0.02163,3.08635,0.18341,0.23845,0.23964,4.69762,4.48107,2.50060,0.24629,0.21479,0.25101,0.03507,0.38173,0.46861,0.68231,0.57065,1.17011,4.82712,
12                    4,0.00238,0.28746,0.01237,0.03431,0.01776,0.10882,0.73518,0.36976,0.02146,0.04361,0.02627,0.00404,0.02294,0.03249,0.01957,0.47913,0.13115,0.18668,
12                    5,0.02152,3.07466,0.18147,0.23827,0.23892,4.67110,4.44540,2.50343,0.24428,0.21478,0.25039,0.03496,0.37917,0.46399,0.68076,0.56008,1.16678,4.80441,
12                    6,0.02158,3.07362,0.18320,0.23615,0.23854,4.67465,4.44986,2.50020,0.24458,0.21478,0.25020,0.03492,0.37902,0.46425,0.68185,0.56647,1.16652,4.80837,
12                    7,0.02164,3.08128,0.18285,0.23746,0.23835,4.68544,4.46610,2.50393,0.24573,0.21515,0.25041,0.03495,0.38054,0.46541,0.68232,0.56623,1.16793,4.81838,
12                    8,0.02148,3.07283,0.18122,0.23759,0.23797,4.65746,4.43221,2.50403,0.24344,0.21463,0.25016,0.03488,0.37820,0.46400,0.68011,0.56393,1.16381,4.79944,
12                    9,0.02148,3.07657,0.18228,0.23744,0.23920,4.67570,4.45491,2.50399,0.24417,0.21501,0.25025,0.03496,0.37990,0.46518,0.68079,0.56528,1.16637,4.81260,
