"Sample    : GHA883refeito",
"Operator  : thiago",
"Comment  : ",
"Group     : thiago_acra2010ma",
"Date       : 2011-04-18 19:35:54",
"",
"Mesurement Condition",
"------------------------------------------------------------------------------------",
"Instrument : 700HS2   Atmosphere : Vac.   Collimator : 10(mm)   Spin : No",
"------------------------------------------------------------------------------------",
"Analyte               TG kV   uA      FI Acq.(keV)  Anal.(keV)  Time(sec)     DT(%)",
"------------------------------------------------------------------------------------",
"Na                    Rh 50  662-Auto Al  0 - 20    0.8 - 1.2   Live -  959   21",
"",
"<Profile>",
"Channel_info_start",
"Channel : Na",
"Points : 2048",
"Range : 0.000000 - 20.480000",
"Step : 0.010000",
"Channel_info_end",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"1",
"10",
"75",
"203",
"164",
"197",
"157",
"179",
"178",
"203",
"186",
"184",
"180",
"182",
"178",
"172",
"180",
"172",
"179",
"228",
"187",
"184",
"216",
"223",
"253",
"260",
"225",
"248",
"231",
"266",
"255",
"240",
"231",
"263",
"252",
"240",
"226",
"222",
"232",
"239",
"228",
"248",
"245",
"231",
"209",
"218",
"210",
"213",
"211",
"239",
"210",
"255",
"240",
"268",
"256",
"340",
"352",
"393",
"389",
"432",
"401",
"394",
"370",
"358",
"324",
"276",
"227",
"249",
"256",
"253",
"263",
"247",
"291",
"316",
"315",
"329",
"291",
"360",
"306",
"326",
"284",
"249",
"256",
"225",
"228",
"246",
"223",
"231",
"224",
"256",
"319",
"312",
"312",
"407",
"392",
"434",
"499",
"484",
"493",
"512",
"414",
"389",
"383",
"365",
"369",
"331",
"329",
"352",
"362",
"460",
"549",
"784",
"1105",
"1536",
"1827",
"2478",
"2797",
"3490",
"3680",
"4089",
"4146",
"4252",
"3820",
"3729",
"3078",
"2812",
"2285",
"1803",
"1490",
"1336",
"1088",
"994",
"993",
"1078",
"1438",
"2153",
"3048",
"4422",
"5956",
"8737",
"10959",
"13831",
"15679",
"17871",
"19477",
"20589",
"19921",
"20090",
"17550",
"16203",
"13258",
"11033",
"8425",
"6584",
"4633",
"3534",
"2668",
"1981",
"1396",
"1179",
"976",
"948",
"863",
"929",
"909",
"894",
"877",
"912",
"874",
"848",
"826",
"743",
"702",
"662",
"644",
"585",
"515",
"562",
"509",
"460",
"443",
"449",
"407",
"438",
"432",
"420",
"425",
"429",
"477",
"555",
"618",
"675",
"817",
"1141",
"1326",
"1652",
"2027",
"2466",
"2819",
"3378",
"3739",
"3968",
"4014",
"4249",
"3884",
"3642",
"3248",
"2943",
"2473",
"2170",
"1664",
"1535",
"1234",
"1070",
"921",
"811",
"851",
"901",
"840",
"986",
"1075",
"1322",
"1553",
"2072",
"2748",
"3613",
"4595",
"6570",
"7380",
"9486",
"10697",
"12047",
"13307",
"14059",
"13669",
"14177",
"12653",
"12192",
"10147",
"8919",
"7278",
"5814",
"4420",
