**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 9

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 38.06100,  9.75060, 19.25450, 23.99100, 30.24700, 49.80500, 25.34753, 10.24688,  0.40426,  0.26922
Na,  0.02364,  0.01782,  0.02244,  0.02427,  0.02649,  0.03035,  0.02419,  0.00315,  0.13043,  0.13345
Mg,  0.46241,  0.19057,  0.25164,  0.32863,  0.39346,  0.55549,  0.33830,  0.09674,  0.28596,  0.20921
Al,  2.70960,  1.05130,  1.44218,  1.90080,  2.28760,  3.31290,  1.95733,  0.59475,  0.30386,  0.21950
Si,  6.80210,  2.45180,  3.48118,  4.68125,  5.67950,  8.46160,  4.83575,  1.56964,  0.32459,  0.23076
P,  0.00001,  0.00000,  0.00000,  0.00000,  0.00001,  0.00015,  0.00001,  0.00003,  2.62836,  3.00112
S,  0.12032,  0.06013,  0.12062,  0.13150,  0.15071,  0.18379,  0.12996,  0.02929,  0.22535,  0.24340
Cl,  0.73516,  0.52546,  0.57862,  0.64137,  0.72733,  0.77693,  0.64742,  0.08270,  0.12773,  0.11249
K,  0.30105,  0.03313,  0.11675,  0.18542,  0.24328,  0.40822,  0.19286,  0.09754,  0.50575,  0.32399
Ca,  1.18790,  0.42904,  0.59974,  0.81684,  0.99243,  1.46850,  0.84102,  0.27415,  0.32598,  0.23079
Ti,  0.18847,  0.05718,  0.08634,  0.12404,  0.15394,  0.24009,  0.12839,  0.04795,  0.37345,  0.25439
V,  0.00269,  0.00071,  0.00110,  0.00169,  0.00216,  0.00345,  0.00176,  0.00073,  0.41330,  0.27064
Mn,  0.03041,  0.00773,  0.01252,  0.01918,  0.02435,  0.03964,  0.02000,  0.00834,  0.41719,  0.27436
Fe,  1.62370,  0.46461,  0.71600,  1.05085,  1.31620,  2.08700,  1.09390,  0.42357,  0.38722,  0.26087
Zn,  0.00000,  0.00000,  0.00000,  0.00084,  0.00276,  0.00935,  0.00207,  0.00282,  1.36609,4620.32196
Br,  0.01209,  0.00000,  0.00000,  0.00162,  0.01033,  0.01209,  0.00455,  0.00510,  1.12144,  0.42217
Pb,  0.00323,  0.00274,  0.00303,  0.00321,  0.00378,  0.00557,  0.00349,  0.00078,  0.22232,  0.24043
BC,  0.24402,  0.02156,  0.25407,  0.30821,  0.41127,  0.51290,  0.31289,  0.11600,  0.37075,  0.47539

Factor 2,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,  8.03560,  5.74360,  7.04895,  9.05815, 13.03200, 21.20500, 10.60080,  4.71333,  0.44462,  0.58656
Na,  0.03414,  0.00964,  0.01329,  0.01671,  0.02586,  0.03747,  0.01949,  0.00847,  0.43455,  0.24806
Mg,  0.03957,  0.03120,  0.03560,  0.04979,  0.09444,  0.15581,  0.06872,  0.04019,  0.58480,  1.01557
Al,  0.21381,  0.09870,  0.16656,  0.23765,  0.50455,  0.86651,  0.34664,  0.24045,  0.69365,  1.12458
Si,  0.31721,  0.15725,  0.27914,  0.41117,  1.24578,  2.19310,  0.78078,  0.66714,  0.85445,  2.10315
P,  0.00518,  0.00000,  0.00000,  0.00000,  0.00319,  0.00568,  0.00126,  0.00212,  1.68960,  0.41031
S,  0.29229,  0.08872,  0.11764,  0.14145,  0.22408,  0.31332,  0.16823,  0.07089,  0.42139,  0.24253
Cl,  0.03480,  0.00000,  0.00244,  0.03260,  0.07644,  0.12380,  0.04250,  0.04042,  0.95116,  1.16170
K,  0.37369,  0.17412,  0.23976,  0.31550,  0.37266,  0.45742,  0.31278,  0.08062,  0.25776,  0.21575
Ca,  0.02117,  0.00678,  0.02867,  0.06751,  0.22692,  0.37591,  0.13095,  0.12225,  0.93361,  5.77399
Ti,  0.00257,  0.00048,  0.00240,  0.00684,  0.03574,  0.06077,  0.01961,  0.02103,  1.07233,  8.17344
V,  0.00032,  0.00007,  0.00015,  0.00033,  0.00060,  0.00093,  0.00042,  0.00028,  0.67298,  0.86707
Mn,  0.00000,  0.00000,  0.00000,  0.00091,  0.00593,  0.01034,  0.00323,  0.00376,  1.16427,  0.00000
Fe,  0.03412,  0.02506,  0.03300,  0.07296,  0.32604,  0.55817,  0.18887,  0.18822,  0.99658,  5.51644
Zn,  0.00850,  0.00005,  0.00381,  0.00657,  0.00827,  0.01030,  0.00610,  0.00272,  0.44648,  0.32061
Br,  0.02441,  0.02235,  0.02404,  0.02464,  0.02563,  0.03068,  0.02504,  0.00202,  0.08048,  0.08257
Pb,  0.00528,  0.00202,  0.00313,  0.00403,  0.00484,  0.00612,  0.00405,  0.00110,  0.27269,  0.20895
BC,  0.99455,  0.27248,  0.37329,  0.45477,  0.76025,  1.06190,  0.55265,  0.25383,  0.45930,  0.25522

Factor 3,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 31.15400, 21.38500, 29.88075, 33.87300, 38.64175, 52.17100, 34.32720,  7.26754,  0.21171,  0.23328
Na,  0.01120,  0.01079,  0.01450,  0.01815,  0.02786,  0.04223,  0.02118,  0.00869,  0.41026,  0.77565
Mg,  0.13773,  0.05602,  0.12315,  0.15651,  0.20071,  0.22945,  0.15881,  0.04689,  0.29525,  0.34043
Al,  0.86981,  0.38120,  0.84015,  1.03160,  1.29800,  1.50470,  1.03368,  0.29235,  0.28283,  0.33611
Si,  2.48290,  0.93629,  2.28445,  2.81735,  3.54603,  4.30290,  2.84642,  0.82196,  0.28877,  0.33105
P,  0.00000,  0.00000,  0.00000,  0.00206,  0.00538,  0.00681,  0.00268,  0.00257,  0.95865,  0.00000
S,  0.01067,  0.00000,  0.01747,  0.07938,  0.15783,  0.26779,  0.08750,  0.07808,  0.89224,  7.31454
Cl,  0.04905,  0.00000,  0.02345,  0.07207,  0.11315,  0.17970,  0.07555,  0.05826,  0.77109,  1.18783
K,  0.73141,  0.64975,  0.73762,  0.82109,  0.86397,  1.18140,  0.83161,  0.12003,  0.14434,  0.16411
Ca,  0.34701,  0.03901,  0.28853,  0.38940,  0.50728,  0.60484,  0.38606,  0.13771,  0.35670,  0.39684
Ti,  0.06194,  0.00585,  0.05505,  0.06976,  0.08898,  0.11327,  0.07018,  0.02458,  0.35022,  0.39680
V,  0.00065,  0.00000,  0.00063,  0.00093,  0.00109,  0.00136,  0.00086,  0.00034,  0.38925,  0.52122
Mn,  0.01107,  0.00039,  0.00992,  0.01231,  0.01542,  0.02057,  0.01230,  0.00445,  0.36157,  0.40188
Fe,  0.61651,  0.10881,  0.55973,  0.68455,  0.85337,  1.11370,  0.68889,  0.22685,  0.32930,  0.36796
Zn,  0.02858,  0.02366,  0.02858,  0.03145,  0.03270,  0.04289,  0.03113,  0.00416,  0.13365,  0.14560
Br,  0.00000,  0.00000,  0.00000,  0.00001,  0.00007,  0.00066,  0.00009,  0.00018,  2.04404,110909152.45014
Pb,  0.00910,  0.00771,  0.00912,  0.01021,  0.01090,  0.01314,  0.01026,  0.00130,  0.12642,  0.14249
BC,  0.03666,  0.00814,  0.05516,  0.27514,  0.55569,  0.94014,  0.30203,  0.27392,  0.90692,  7.47219

Factor 4,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 25.61800,  8.40860, 14.96150, 20.00150, 27.05425, 32.76900, 20.63963,  7.00986,  0.33963,  0.27363
Na,  0.08368,  0.06076,  0.07480,  0.08398,  0.08678,  0.09736,  0.08115,  0.00873,  0.10755,  0.10430
Mg,  0.15013,  0.04581,  0.05763,  0.10573,  0.14896,  0.17557,  0.10568,  0.04460,  0.42208,  0.29710
Al,  1.25560,  0.52692,  0.66817,  1.09285,  1.27340,  1.44410,  0.98836,  0.33025,  0.33414,  0.26302
Si,  2.75380,  0.86232,  1.19345,  2.24755,  2.80293,  3.24100,  2.04659,  0.86177,  0.42107,  0.31294
P,  0.02404,  0.01807,  0.02159,  0.02461,  0.02670,  0.02983,  0.02445,  0.00336,  0.13748,  0.13985
S,  0.65294,  0.51684,  0.61667,  0.67681,  0.70480,  0.77955,  0.65910,  0.06768,  0.10268,  0.10365
Cl,  0.13886,  0.00000,  0.00000,  0.00081,  0.09905,  0.13886,  0.03694,  0.05437,  1.47163,  0.39152
K,  0.85632,  0.51286,  0.66506,  0.82095,  0.90351,  1.13950,  0.78317,  0.17091,  0.21823,  0.19959
Ca,  0.26476,  0.00000,  0.00055,  0.16781,  0.26263,  0.38687,  0.15488,  0.13014,  0.84029,  0.49155
Ti,  0.06237,  0.00891,  0.01732,  0.05523,  0.06781,  0.09237,  0.04591,  0.02652,  0.57770,  0.42527
V,  0.00182,  0.00079,  0.00118,  0.00185,  0.00212,  0.00252,  0.00169,  0.00052,  0.30510,  0.28304
Mn,  0.00948,  0.00018,  0.00198,  0.00857,  0.01095,  0.01548,  0.00695,  0.00472,  0.67867,  0.49814
Fe,  0.55200,  0.06862,  0.16990,  0.46797,  0.62053,  0.78974,  0.40497,  0.23499,  0.58027,  0.42570
Zn,  0.02121,  0.00000,  0.01192,  0.01728,  0.02172,  0.02679,  0.01667,  0.00634,  0.38020,  0.29891
Br,  0.00000,  0.00000,  0.00000,  0.00513,  0.01093,  0.01311,  0.00541,  0.00536,  0.98973,1397749.85044
Pb,  0.00929,  0.00114,  0.00670,  0.00796,  0.00949,  0.01148,  0.00779,  0.00234,  0.29993,  0.25163
BC,  2.27300,  1.80390,  2.14795,  2.36285,  2.47280,  2.73280,  2.30659,  0.24122,  0.10458,  0.10612

Factor 5,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 59.93000, 55.58700, 62.86900, 70.59250, 80.41800, 91.98500, 71.86220, 10.45634,  0.14551,  0.17448
Na,  0.00618,  0.00607,  0.00910,  0.01269,  0.01630,  0.02175,  0.01291,  0.00458,  0.35518,  0.74198
Mg,  0.43006,  0.40511,  0.47898,  0.55690,  0.61588,  0.70921,  0.54830,  0.08524,  0.15547,  0.19822
Al,  2.99210,  2.89880,  3.31833,  3.83180,  4.10348,  4.65440,  3.71432,  0.50070,  0.13480,  0.16734
Si,  7.99160,  7.58320,  8.80570, 10.10050, 10.75525, 12.33300,  9.83554,  1.32943,  0.13517,  0.16635
P,  0.01236,  0.01021,  0.01153,  0.01237,  0.01438,  0.01786,  0.01320,  0.00235,  0.17803,  0.19004
S,  0.00839,  0.00837,  0.01804,  0.02571,  0.03700,  0.15013,  0.04048,  0.04119,  1.01750,  4.90965
Cl,  0.00000,  0.00000,  0.00547,  0.15895,  0.25664,  0.39588,  0.15563,  0.13261,  0.85209,  0.00000
K,  0.80600,  0.76164,  0.80845,  0.88697,  1.03050,  1.39210,  0.94801,  0.18116,  0.19109,  0.22476
Ca,  1.25750,  1.16190,  1.39603,  1.60205,  1.75210,  1.98180,  1.56505,  0.22619,  0.14452,  0.17987
Ti,  0.24569,  0.23184,  0.26796,  0.30567,  0.32240,  0.36371,  0.29688,  0.03684,  0.12409,  0.14994
V,  0.00418,  0.00412,  0.00456,  0.00505,  0.00526,  0.00571,  0.00493,  0.00047,  0.09626,  0.11352
Mn,  0.04388,  0.04111,  0.04727,  0.05363,  0.05629,  0.06348,  0.05233,  0.00623,  0.11906,  0.14198
Fe,  2.20630,  2.06880,  2.39043,  2.71845,  2.86598,  3.26060,  2.65527,  0.33126,  0.12476,  0.15014
Zn,  0.00489,  0.00000,  0.00313,  0.00483,  0.00939,  0.02465,  0.00719,  0.00623,  0.86669,  1.27576
Br,  0.00044,  0.00000,  0.00014,  0.00110,  0.00346,  0.00738,  0.00187,  0.00214,  1.14458,  4.87249
Pb,  0.00000,  0.00000,  0.00000,  0.00027,  0.00205,  0.00700,  0.00131,  0.00196,  1.49081,1245814.32612
BC,  0.00000,  0.00000,  0.00000,  0.00000,  0.08284,  0.49922,  0.07625,  0.15585,  2.04388,  0.00000

Percent of Species Sum

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 23.37919,  5.99354, 11.83320, 14.72735, 18.57472, 30.59324, 15.57152,  6.29408,  0.40420,  0.26922
Na, 14.88210, 11.21375, 14.11851, 15.27128, 16.67458, 19.10361, 15.22009,  1.98677,  0.13054,  0.13350
Mg, 37.90557, 15.62979, 20.62683, 26.93857, 32.25547, 45.54037, 27.73404,  7.93060,  0.28595,  0.20922
Al, 33.69764, 13.08171, 17.93473, 23.62360, 28.45645, 41.20174, 24.34365,  7.39629,  0.30383,  0.21949
Si, 33.42948, 12.05727, 17.12273, 22.99256, 27.90996, 41.58776, 23.76825,  7.71381,  0.32454,  0.23075
P,  0.02785,  0.00000,  0.00000,  0.00000,  0.02359,  0.35005,  0.03178,  0.08349,  2.62749,  2.99762
S, 11.09335,  5.54086, 11.11942, 12.11510, 13.88558, 16.93266, 11.97459,  2.69932,  0.22542,  0.24333
Cl, 76.75002, 54.83452, 60.41148, 66.97996, 75.92267, 81.12265, 67.57871,  8.64698,  0.12795,  0.11266
K,  9.81108,  1.08041,  3.80448,  6.04507,  7.92819, 13.30131,  6.28504,  3.17866,  0.50575,  0.32399
Ca, 38.58894, 13.94581, 19.49297, 26.51941, 32.23832, 47.71030, 27.32366,  8.90609,  0.32595,  0.23079
Ti, 33.59265, 10.19857, 15.40148, 22.09523, 27.43568, 42.79694, 22.88601,  8.54558,  0.37340,  0.25439
V, 27.88635,  7.31821, 11.34671, 17.52796, 22.37260, 35.73340, 18.26142,  7.54646,  0.41325,  0.27061
Mn, 32.06849,  8.16190, 13.20985, 20.21471, 25.67217, 41.80249, 21.09273,  8.79824,  0.41712,  0.27436
Fe, 32.26345,  9.23854, 14.23973, 20.86927, 26.15116, 41.47173, 21.73878,  8.41626,  0.38715,  0.26086
Zn,  0.00097,  0.00000,  0.00000,  1.32166,  4.37538, 14.80563,  3.26967,  4.46752,  1.36635,4621.80785
Br, 32.73467,  0.00000,  0.00001,  4.37843, 27.94827, 32.73467, 12.31766, 13.81589,  1.12163,  0.42206
Pb, 12.00732, 10.19504, 11.27175, 11.93259, 14.04504, 20.72618, 12.98412,  2.88791,  0.22242,  0.24051
BC,  6.87724,  0.60714,  7.15791,  8.68205, 11.57619, 14.44512,  8.81287,  3.26764,  0.37078,  0.47514

Factor 2,,Statistics Over All Runs
