**** Analysis Summary ****

Time of run: ,02/02/16 23:19
Concentration file: ,\\VBOXSVR\Downloads\pmf_fa\RGsH.csv
Uncertainty file: ,\\VBOXSVR\Downloads\pmf_fa\RGsHunc8.csv
Configuration file: ,


**** Input Data Statistics ****

Species,Category,S/N,Min,25th,Median,75th,Max,% Modeled Samples,% Raw Samples
8                    3,0.00000,0.00002,0.00001,0.00001,0.00002,0.00003,0.00001,0.00001,0.00001,0.00002,0.00001,0.00001,0.00001,0.00002,0.00005,0.00001,0.00000,
8                    4,0.00001,0.00001,0.00001,0.00001,0.00002,0.00003,0.00000,0.00001,0.00001,0.00003,0.00001,0.00001,0.00001,0.00002,0.00005,0.00001,0.00000,
8                    5,0.00000,0.00001,0.00002,0.00002,0.00002,0.00004,0.00001,0.00001,0.00001,0.00003,0.00001,0.00000,0.00001,0.00002,0.00006,0.00001,0.00000,
8                    6,0.00000,0.00001,0.00001,0.00001,0.00002,0.00004,0.00001,0.00001,0.00001,0.00002,0.00001,0.00000,0.00001,0.00002,0.00005,0.00001,0.00001,
8                    7,0.00000,0.00001,0.00001,0.00001,0.00002,0.00003,0.00001,0.00001,0.00001,0.00002,0.00001,0.00001,0.00001,0.00002,0.00004,0.00001,0.00001,
9                    1,0.00001,0.00001,0.00001,0.00001,0.00001,0.00002,0.00003,0.00001,0.00002,0.00002,0.00000,0.00001,0.00001,0.00001,0.00003,0.00000,0.00000,
9                    2,0.00000,0.00002,0.00001,0.00001,0.00001,0.00001,0.00003,0.00001,0.00002,0.00002,0.00000,0.00001,0.00001,0.00000,0.00002,0.00000,0.00000,
9                    3,0.00001,0.00002,0.00001,0.00001,0.00001,0.00002,0.00004,0.00001,0.00003,0.00001,0.00000,0.00000,0.00001,0.00001,0.00001,0.00000,0.00000,
9                    4,0.00001,0.00001,0.00000,0.00000,0.00001,0.00001,0.00003,0.00001,0.00002,0.00001,0.00000,0.00001,0.00001,0.00000,0.00002,0.00000,0.00000,
9                    5,0.00000,0.00001,0.00001,0.00001,0.00000,0.00001,0.00004,0.00001,0.00002,0.00001,0.00000,0.00001,0.00001,0.00000,0.00002,0.00001,0.00000,
9                    6,0.00001,0.00002,0.00000,0.00001,0.00001,0.00002,0.00003,0.00002,0.00002,0.00001,0.00000,0.00001,0.00001,0.00001,0.00001,0.00000,0.00000,
9                    7,0.00000,0.00001,0.00001,0.00001,0.00001,0.00002,0.00004,0.00001,0.00002,0.00001,0.00000,0.00000,0.00001,0.00000,0.00002,0.00001,0.00000,
9                    8,0.00000,0.00001,0.00002,0.00002,0.00003,0.00005,0.00003,0.00001,0.00003,0.00003,0.00001,0.00001,0.00002,0.00002,0.00007,0.00001,0.00000,
10                    1,0.00001,0.00002,0.00001,0.00001,0.00002,0.00002,0.00003,0.00002,0.00002,0.00001,0.00000,0.00000,0.00001,0.00002,0.00003,0.00000,0.00000,
10                    2,0.00000,0.00001,0.00001,0.00001,0.00001,0.00003,0.00003,0.00001,0.00002,0.00001,0.00000,0.00000,0.00001,0.00002,0.00004,0.00001,0.00000,
10                    3,0.00000,0.00001,0.00001,0.00001,0.00002,0.00003,0.00003,0.00001,0.00002,0.00002,0.00000,0.00001,0.00001,0.00002,0.00005,0.00001,0.00000,
10                    4,0.00001,0.00002,0.00001,0.00002,0.00002,0.00004,0.00003,0.00002,0.00001,0.00002,0.00001,0.00001,0.00001,0.00002,0.00005,0.00001,0.00000,
10                    5,0.00000,0.00001,0.00001,0.00001,0.00002,0.00003,0.00003,0.00001,0.00002,0.00002,0.00000,0.00000,0.00001,0.00002,0.00006,0.00001,0.00000,
10                    6,0.00000,0.00002,0.00001,0.00001,0.00002,0.00003,0.00003,0.00001,0.00002,0.00002,0.00001,0.00000,0.00001,0.00003,0.00005,0.00001,0.00001,
