**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 11

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
Mn,  0.00805,  0.00800,  0.00842,  0.00889,  0.00964,  0.01063,  0.00902,  0.00073,  0.08131,  0.09110
Fe,  0.47439,  0.47355,  0.51192,  0.53447,  0.61856,  0.68931,  0.55762,  0.06476,  0.11614,  0.13651
Zn,  0.00000,  0.00000,  0.00000,  0.00000,  0.00127,  0.00217,  0.00057,  0.00074,  1.29119,180666.55448
Br,  0.00040,  0.00000,  0.00000,  0.00019,  0.00036,  0.00048,  0.00019,  0.00018,  0.98763,  0.46122
Pb,  0.00057,  0.00040,  0.00053,  0.00059,  0.00070,  0.00097,  0.00061,  0.00014,  0.22150,  0.23906

Factor 4,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,  4.98810,  4.56850,  4.96245,  5.45095,  6.31613,  7.09490,  5.61098,  0.81986,  0.14612,  0.16436
Na,  0.53253,  0.51730,  0.52576,  0.53213,  0.53923,  0.56053,  0.53347,  0.01130,  0.02118,  0.02122
Mg,  0.06826,  0.06019,  0.06563,  0.07135,  0.08097,  0.08724,  0.07275,  0.00857,  0.11784,  0.12560
Al,  0.06680,  0.03913,  0.05545,  0.09727,  0.16901,  0.19206,  0.10743,  0.05585,  0.51992,  0.83617
Si,  0.18995,  0.12521,  0.16377,  0.26088,  0.42737,  0.48414,  0.28497,  0.13043,  0.45770,  0.68665
P,  0.00018,  0.00000,  0.00005,  0.00084,  0.00096,  0.00112,  0.00058,  0.00044,  0.76188,  2.46521
S,  0.03249,  0.02180,  0.02972,  0.03333,  0.03491,  0.03670,  0.03168,  0.00449,  0.14165,  0.13812
Cl,  1.04030,  1.02160,  1.03858,  1.04620,  1.06638,  1.12880,  1.05535,  0.02984,  0.02827,  0.02868
K,  0.00000,  0.00000,  0.00000,  0.00004,  0.00702,  0.01693,  0.00327,  0.00557,  1.70295,  0.00000
Ca,  0.15186,  0.13474,  0.15344,  0.17641,  0.20807,  0.23043,  0.17799,  0.03138,  0.17628,  0.20662
Ti,  0.00730,  0.00521,  0.00699,  0.00977,  0.01476,  0.01683,  0.01046,  0.00410,  0.39230,  0.56203
V,  0.00015,  0.00012,  0.00014,  0.00019,  0.00027,  0.00030,  0.00020,  0.00006,  0.32016,  0.42152
Mn,  0.00085,  0.00059,  0.00071,  0.00114,  0.00180,  0.00210,  0.00123,  0.00054,  0.43847,  0.63918
Fe,  0.08619,  0.06679,  0.08680,  0.11267,  0.15421,  0.17560,  0.11637,  0.03732,  0.32067,  0.43298
Zn,  0.00079,  0.00051,  0.00075,  0.00100,  0.00137,  0.00157,  0.00103,  0.00033,  0.32193,  0.41850
Br,  0.00102,  0.00078,  0.00096,  0.00104,  0.00107,  0.00112,  0.00100,  0.00010,  0.10286,  0.10129
Pb,  0.00014,  0.00007,  0.00014,  0.00017,  0.00025,  0.00032,  0.00019,  0.00007,  0.38519,  0.51658

Percent of Species Sum

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 38.58922, 20.32865, 23.83964, 27.93775, 31.20735, 38.58922, 28.25150,  5.49848,  0.19463,  0.14249
Na,  4.73501,  0.00000,  0.00000,  1.76636,  4.09083,  4.73501,  1.97668,  1.95494,  0.98900,  0.41287
Mg, 15.97855,  0.00000,  1.58221,  3.48548,  8.86074, 15.97855,  5.21110,  5.29706,  1.01650,  0.33151
Al, 44.58271, 21.38307, 25.80632, 31.30824, 35.68372, 44.58271, 31.51715,  7.03281,  0.22314,  0.15775
Si, 44.04171, 21.18615, 25.54606, 30.94498, 35.24176, 44.04171, 31.15699,  6.92564,  0.22228,  0.15725
P, 89.14621, 64.18300, 69.08226, 79.93459, 85.38016, 89.14621, 78.06892,  8.46486,  0.10843,  0.09495
S,  0.00000,  0.00000,  0.00000,  0.00000,  0.00719,  2.29631,  0.17045,  0.55055,  3.22998,434649.44920
Cl, 23.82861, 14.00511, 16.16309, 17.99281, 18.46922, 23.82861, 18.11774,  2.49535,  0.13773,  0.10472
K, 17.75620,  7.02716,  9.06012, 12.03265, 14.39464, 17.75620, 12.02883,  3.31692,  0.27575,  0.18680
Ca, 50.87255, 29.95246, 34.01765, 39.65138, 42.79462, 50.87255, 39.56542,  6.32754,  0.15993,  0.12438
Ti, 47.83828, 25.08729, 29.45363, 34.92457, 39.18966, 47.83828, 35.26869,  6.87768,  0.19501,  0.14377
V, 44.32109, 22.45641, 26.64650, 31.79766, 35.87059, 44.32109, 32.08229,  6.60879,  0.20599,  0.14911
Mn, 39.18765, 17.89931, 21.94895, 26.90807, 30.99342, 39.18765, 27.10045,  6.46630,  0.23860,  0.16501
Fe, 50.45802, 28.17332, 32.47669, 38.29029, 42.07228, 50.45802, 38.36883,  6.73998,  0.17566,  0.13358
Zn, 63.01182, 46.49295, 49.62903, 57.34407, 60.93640, 63.01182, 56.08027,  5.81523,  0.10369,  0.09229
Br,  3.24285,  2.63564,  2.85997,  3.06147,  3.23815,  4.86866,  3.15613,  0.51354,  0.16271,  0.15836
Pb, 40.41609, 27.90521, 30.42035, 35.79906, 38.40861, 40.41609, 34.87173,  4.13346,  0.11853,  0.10227

Factor 2,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,  8.39120,  8.39120,  9.70508, 11.50999, 13.47986, 15.41885, 11.62725,  2.21155,  0.19020,  0.26356
Na,  0.28307,  0.00000,  0.00000,  0.00735,  4.14961,  7.45423,  1.80405,  2.60307,  1.44291,  9.19583
Mg,  0.00140,  0.00140,  2.36124,  4.17278,  6.80925,  8.65793,  4.43614,  2.50474,  0.56462,1784.90604
Al,  0.77125,  0.00000,  1.49911,  3.90084,  6.54677,  9.25234,  4.29543,  2.86290,  0.66650,  3.71200
Si,  1.25976,  0.57477,  2.01917,  4.38676,  7.00232,  9.65617,  4.77311,  2.81952,  0.59071,  2.23814
P,  8.49990,  0.08676,  7.43560,  8.40618, 10.60588, 11.71141,  8.49293,  2.56802,  0.30237,  0.30212
S, 70.85181, 70.85181, 74.36606, 76.06387, 79.47404, 80.27784, 76.54956,  2.96017,  0.03867,  0.04178
Cl,  1.87014,  0.93555,  2.10627,  3.12543,  5.06996,  7.42656,  3.53465,  1.71339,  0.48474,  0.91618
K, 47.70410, 47.70410, 49.97580, 53.09275, 55.84073, 58.12707, 53.14075,  3.24433,  0.06105,  0.06801
Ca,  3.37192,  1.76969,  4.01429,  6.09954,  7.47241,  9.36687,  5.82169,  2.20416,  0.37861,  0.65368
Ti,  2.02597,  1.27028,  2.67299,  4.92399,  7.28489,  9.72878,  5.17860,  2.66300,  0.51423,  1.31443
V,  2.99756,  2.51384,  3.82350,  6.01344,  8.40584, 10.84515,  6.31686,  2.62969,  0.41630,  0.87727
Mn,  6.22645,  5.85598,  7.58984,  9.58304, 12.26721, 15.02868, 10.07300,  2.83679,  0.28162,  0.45560
Fe,  3.54556,  2.64993,  4.15297,  6.29933,  8.41550, 10.60916,  6.39873,  2.50709,  0.39181,  0.70711
Zn, 31.78784, 28.58724, 31.90458, 33.71285, 34.23054, 36.76098, 33.41979,  2.00036,  0.05986,  0.06293
Br, 65.12691, 65.12691, 68.55678, 70.04647, 72.78754, 73.53388, 70.29331,  2.54676,  0.03623,  0.03910
Pb, 43.67911, 43.67911, 45.09221, 47.12236, 48.79903, 51.13180, 47.13786,  2.32296,  0.04928,  0.05318

Factor 3,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 36.84828, 36.67044, 38.79023, 40.74259, 45.36185, 50.64583, 41.94817,  3.98164,  0.09492,  0.10806
Na,  0.10888,  0.00000,  0.00000,  0.44046,  2.24022,  3.55882,  1.11289,  1.31423,  1.18091, 12.07009
Mg, 55.15633, 54.83402, 57.10189, 60.19108, 61.11757, 65.71843, 59.61803,  2.95167,  0.04951,  0.05351
Al, 50.33761, 50.12123, 53.34006, 55.93730, 61.94675, 68.02590, 57.26823,  5.13015,  0.08958,  0.10191
Si, 49.54183, 49.32811, 52.47169, 55.02913, 60.92501, 66.94990, 56.34463,  5.04375,  0.08952,  0.10181
P,  1.18256,  0.89688,  1.83598,  6.54437, 17.99189, 23.96639,  9.65189,  8.31583,  0.86158,  7.03208
S, 12.05938,  1.53667,  1.84207,  6.68860, 11.10373, 14.12598,  6.60961,  4.77228,  0.72202,  0.39573
Cl,  8.98306,  8.98306, 10.04541, 12.32513, 13.74435, 17.19302, 12.08000,  2.20946,  0.18290,  0.24596
K, 34.53970, 28.01387, 31.02467, 34.03284, 36.32642, 40.19497, 33.91132,  3.31533,  0.09776,  0.09599
Ca, 32.26001, 32.24755, 35.00959, 36.81450, 43.68767, 49.06527, 38.81202,  5.17860,  0.13343,  0.16053
Ti, 44.24262, 44.09098, 47.27635, 49.48627, 55.98211, 61.92441, 51.12112,  5.22948,  0.10230,  0.11820
V, 44.93404, 44.75121, 47.70190, 49.98940, 55.85742, 61.69658, 51.41394,  4.88979,  0.09511,  0.10882
Mn, 49.39116, 49.08966, 51.57463, 54.46916, 59.10540, 65.18319, 55.26392,  4.48579,  0.08117,  0.09082
Fe, 38.92475, 38.82375, 41.91618, 43.80085, 50.67671, 56.51801, 45.69600,  5.29594,  0.11590,  0.13606
Zn,  0.00003,  0.00000,  0.00000,  0.00044,  8.27670, 14.19445,  3.74319,  4.83339,  1.29125,180552.08359
Br,  8.89972,  0.00000,  0.01605,  4.16058,  8.03741, 10.66871,  4.15679,  4.10502,  0.98755,  0.46125
Pb, 12.72668,  9.06581, 11.80342, 13.32974, 15.76333, 21.81713, 13.72998,  3.04251,  0.22160,  0.23907

Factor 4,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 16.17129, 14.78422, 16.08131, 17.65284, 20.45712, 22.98651, 18.17308,  2.65514,  0.14610,  0.16419
Na, 94.87303, 92.31388, 93.72055, 94.87869, 96.22083,100.00000, 95.10637,  2.04292,  0.02148,  0.02153
Mg, 28.86372, 25.43134, 27.73436, 30.13771, 34.22125, 36.84182, 30.73473,  3.62304,  0.11788,  0.12552
Al,  4.30843,  2.51754,  3.57291,  6.26239, 10.88682, 12.36700,  6.91919,  3.59686,  0.51984,  0.83484
Si,  5.15670,  3.39094,  4.44188,  7.06903, 11.58708, 13.12114,  7.72527,  3.53530,  0.45763,  0.68557
P,  1.17134,  0.00000,  0.32029,  5.50164,  6.28648,  7.32396,  3.78626,  2.88461,  0.76186,  2.46267
S, 17.08881, 11.46467, 15.64132, 17.54094, 18.37975, 19.31864, 16.67038,  2.36542,  0.14189,  0.13842
Cl, 65.31819, 64.08258, 65.25055, 65.71846, 66.92088, 70.91455, 66.26762,  1.89255,  0.02856,  0.02897
K,  0.00000,  0.00000,  0.00001,  0.00988,  1.97482,  4.75983,  0.91910,  1.56531,  1.70310,  0.00000
Ca, 13.49551, 11.95023, 13.63036, 15.65867, 18.47634, 20.45565, 15.80087,  2.78542,  0.17628,  0.20640
Ti,  5.89312,  4.19435,  5.63150,  7.87422, 11.90182, 13.56175,  8.43159,  3.30718,  0.39224,  0.56119
V,  7.74730,  6.08367,  7.29514,  9.52201, 13.57572, 15.34710, 10.18691,  3.26085,  0.32010,  0.42090
Mn,  5.19474,  3.60991,  4.35698,  6.98908, 11.04640, 12.84670,  7.56263,  3.31531,  0.43838,  0.63820
Fe,  7.07167,  5.46844,  7.11812,  9.23295, 12.64111, 14.39091,  9.53643,  3.05760,  0.32062,  0.43237
Zn,  5.20031,  3.30821,  4.91847,  6.56828,  8.95138, 10.27752,  6.75675,  2.17492,  0.32189,  0.41823
Br, 22.73052, 17.39101, 21.31629, 23.25362, 23.98009, 25.06608, 22.39378,  2.30807,  0.10307,  0.10154
