**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 17

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,  3.66610,  3.08770,  3.09503,  3.10450,  3.18678,  3.66610,  3.18641,  0.17234,  0.05409,  0.04701
Na,  0.16858,  0.16832,  0.16835,  0.16843,  0.16849,  0.16861,  0.16843,  0.00009,  0.00051,  0.00050
Mg,  0.01611,  0.01611,  0.01711,  0.01730,  0.01732,  0.01734,  0.01712,  0.00037,  0.02152,  0.02288
Al,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Si,  0.00189,  0.00189,  0.00225,  0.00233,  0.00234,  0.00235,  0.00227,  0.00014,  0.06199,  0.07448
P,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
S,  0.10706,  0.10289,  0.10299,  0.10306,  0.10361,  0.10706,  0.10363,  0.00123,  0.01188,  0.01150
Cl,  0.34820,  0.34813,  0.34826,  0.34832,  0.34851,  0.34861,  0.34837,  0.00015,  0.00042,  0.00042
K,  0.10661,  0.08930,  0.08952,  0.08981,  0.09227,  0.10661,  0.09226,  0.00516,  0.05588,  0.04836
Ca,  0.03035,  0.02917,  0.02919,  0.02920,  0.02936,  0.03035,  0.02937,  0.00035,  0.01193,  0.01155
Ti,  0.00074,  0.00071,  0.00071,  0.00071,  0.00071,  0.00074,  0.00071,  0.00001,  0.01605,  0.01536
V,  0.00023,  0.00020,  0.00020,  0.00020,  0.00021,  0.00023,  0.00021,  0.00001,  0.03410,  0.03115
Mn,  0.00044,  0.00032,  0.00032,  0.00033,  0.00034,  0.00044,  0.00034,  0.00003,  0.09881,  0.07749
Fe,  0.00789,  0.00588,  0.00590,  0.00593,  0.00622,  0.00789,  0.00622,  0.00060,  0.09640,  0.07599
Zn,  0.00454,  0.00379,  0.00380,  0.00381,  0.00392,  0.00454,  0.00392,  0.00022,  0.05641,  0.04875
Br,  0.00437,  0.00420,  0.00421,  0.00421,  0.00423,  0.00437,  0.00423,  0.00005,  0.01135,  0.01100
Pb,  0.00316,  0.00269,  0.00270,  0.00270,  0.00277,  0.00316,  0.00277,  0.00014,  0.05086,  0.04455
BC,  0.46187,  0.34808,  0.34928,  0.35126,  0.36758,  0.46187,  0.36741,  0.03394,  0.09238,  0.07348

Factor 2,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,  5.72870,  5.72870,  5.87070,  5.87785,  5.88030,  6.66940,  5.90250,  0.18656,  0.03161,  0.03257
Na,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Mg,  0.08137,  0.08137,  0.08313,  0.08342,  0.08345,  0.08350,  0.08309,  0.00068,  0.00819,  0.00836
Al,  0.53605,  0.53605,  0.54912,  0.54977,  0.54994,  0.55111,  0.54814,  0.00399,  0.00727,  0.00743
Si,  1.07400,  1.07400,  1.10013,  1.10140,  1.10178,  1.10400,  1.09814,  0.00795,  0.00724,  0.00741
P,  0.00381,  0.00381,  0.00390,  0.00392,  0.00392,  0.00392,  0.00390,  0.00003,  0.00804,  0.00824
S,  0.06508,  0.06508,  0.06693,  0.06699,  0.06703,  0.07179,  0.06702,  0.00126,  0.01880,  0.01936
Cl,  0.07560,  0.07560,  0.07727,  0.07736,  0.07739,  0.07756,  0.07716,  0.00051,  0.00664,  0.00677
K,  0.10629,  0.10629,  0.10906,  0.10919,  0.10923,  0.13250,  0.11009,  0.00536,  0.04873,  0.05047
Ca,  0.18115,  0.18115,  0.18556,  0.18579,  0.18587,  0.18743,  0.18532,  0.00143,  0.00773,  0.00791
Ti,  0.03458,  0.03458,  0.03542,  0.03546,  0.03548,  0.03555,  0.03536,  0.00026,  0.00730,  0.00747
V,  0.00056,  0.00056,  0.00058,  0.00058,  0.00058,  0.00061,  0.00058,  0.00001,  0.01515,  0.01554
Mn,  0.00429,  0.00429,  0.00439,  0.00440,  0.00440,  0.00456,  0.00439,  0.00005,  0.01139,  0.01167
Fe,  0.29459,  0.29459,  0.30176,  0.30212,  0.30226,  0.30498,  0.30138,  0.00234,  0.00777,  0.00795
Zn,  0.00110,  0.00110,  0.00113,  0.00113,  0.00113,  0.00215,  0.00118,  0.00023,  0.19319,  0.20742
Br,  0.00152,  0.00152,  0.00156,  0.00156,  0.00156,  0.00176,  0.00157,  0.00005,  0.03032,  0.03132
Pb,  0.00035,  0.00035,  0.00036,  0.00036,  0.00036,  0.00101,  0.00039,  0.00015,  0.37098,  0.41634
BC,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.15747,  0.00846,  0.03517,  4.15718,  0.00000

Factor 3,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,  5.90390,  5.90390,  7.20198,  7.43405,  7.45800,  7.47070,  7.19039,  0.49989,  0.06952,  0.08467
Na,  0.14822,  0.14822,  0.14830,  0.14835,  0.14844,  0.14854,  0.14837,  0.00009,  0.00064,  0.00064
Mg,  0.01292,  0.00958,  0.00960,  0.00964,  0.01013,  0.01292,  0.01017,  0.00106,  0.10442,  0.08219
Al,  0.00373,  0.00373,  0.00426,  0.00436,  0.00437,  0.00438,  0.00426,  0.00021,  0.04833,  0.05515
Si,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  4.43648,  0.00000
P,  0.00792,  0.00787,  0.00787,  0.00788,  0.00788,  0.00792,  0.00788,  0.00001,  0.00172,  0.00171
S,  0.32349,  0.32349,  0.33170,  0.33332,  0.33362,  0.33388,  0.33180,  0.00324,  0.00976,  0.01001
Cl,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
K,  0.27539,  0.27539,  0.31374,  0.32062,  0.32144,  0.32185,  0.31346,  0.01479,  0.04719,  0.05371
Ca,  0.02058,  0.02058,  0.02338,  0.02388,  0.02394,  0.02397,  0.02336,  0.00108,  0.04625,  0.05250
Ti,  0.00001,  0.00001,  0.00013,  0.00015,  0.00015,  0.00016,  0.00013,  0.00005,  0.36305,  5.50651
V,  0.00032,  0.00032,  0.00038,  0.00039,  0.00039,  0.00039,  0.00038,  0.00002,  0.05466,  0.06362
Mn,  0.00053,  0.00053,  0.00079,  0.00084,  0.00084,  0.00085,  0.00079,  0.00010,  0.12659,  0.18776
Fe,  0.00676,  0.00676,  0.01160,  0.01246,  0.01254,  0.01257,  0.01155,  0.00186,  0.16110,  0.27518
Zn,  0.00609,  0.00609,  0.00776,  0.00806,  0.00809,  0.00810,  0.00774,  0.00064,  0.08275,  0.10514
Br,  0.00839,  0.00839,  0.00873,  0.00879,  0.00880,  0.00881,  0.00873,  0.00013,  0.01500,  0.01560
Pb,  0.00255,  0.00255,  0.00362,  0.00381,  0.00382,  0.00383,  0.00361,  0.00041,  0.11369,  0.16072
BC,  0.51014,  0.51014,  0.76698,  0.81283,  0.81704,  0.81907,  0.76429,  0.09875,  0.12920,  0.19357

Factor 4,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 10.95300,  9.77320,  9.81208,  9.83140,  9.92628, 10.95300,  9.96792,  0.32733,  0.03284,  0.02989
Na,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Mg,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Al,  0.13862,  0.12323,  0.12377,  0.12402,  0.12468,  0.13862,  0.12577,  0.00426,  0.03387,  0.03073
Si,  0.26990,  0.23993,  0.24099,  0.24147,  0.24271,  0.26990,  0.24487,  0.00830,  0.03388,  0.03074
P,  0.00062,  0.00055,  0.00055,  0.00055,  0.00055,  0.00062,  0.00056,  0.00002,  0.03847,  0.03447
S,  0.07592,  0.06764,  0.06788,  0.06802,  0.06874,  0.07592,  0.06898,  0.00231,  0.03344,  0.03039
Cl,  0.01926,  0.01726,  0.01736,  0.01738,  0.01745,  0.01926,  0.01760,  0.00055,  0.03108,  0.02841
K,  0.30741,  0.27430,  0.27537,  0.27591,  0.27869,  0.30741,  0.27975,  0.00919,  0.03287,  0.02991
Ca,  0.06605,  0.05880,  0.05905,  0.05917,  0.05957,  0.06605,  0.06000,  0.00201,  0.03345,  0.03039
Ti,  0.00959,  0.00853,  0.00857,  0.00858,  0.00863,  0.00959,  0.00870,  0.00029,  0.03375,  0.03063
V,  0.00053,  0.00047,  0.00048,  0.00048,  0.00048,  0.00053,  0.00048,  0.00002,  0.03303,  0.03004
Mn,  0.00299,  0.00266,  0.00267,  0.00268,  0.00270,  0.00299,  0.00271,  0.00009,  0.03310,  0.03010
Fe,  0.10955,  0.09753,  0.09794,  0.09814,  0.09880,  0.10955,  0.09951,  0.00333,  0.03345,  0.03039
Zn,  0.01248,  0.01115,  0.01119,  0.01121,  0.01132,  0.01248,  0.01137,  0.00037,  0.03270,  0.02977
Br,  0.00281,  0.00251,  0.00251,  0.00252,  0.00254,  0.00281,  0.00255,  0.00008,  0.03314,  0.03014
Pb,  0.00790,  0.00706,  0.00708,  0.00710,  0.00717,  0.00790,  0.00720,  0.00024,  0.03268,  0.02976
BC,  1.88370,  1.68190,  1.68840,  1.69170,  1.70913,  1.88370,  1.71522,  0.05606,  0.03268,  0.02976

Percent of Species Sum

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 13.96519, 11.75958, 11.78963, 11.82622, 12.14649, 13.96519, 12.13994,  0.65580,  0.05402,  0.04696
Na, 53.21338, 53.12569, 53.14668, 53.16096, 53.18231, 53.21338, 53.16524,  0.02202,  0.00041,  0.00041
Mg, 14.58996, 14.58996, 15.50439, 15.67789, 15.69259, 15.70587, 15.51432,  0.33614,  0.02167,  0.02304
Al,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Si,  0.14020,  0.14020,  0.16731,  0.17354,  0.17420,  0.17494,  0.16853,  0.01048,  0.06217,  0.07473
P,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
S, 18.73168, 18.00530, 18.02260, 18.03383, 18.14018, 18.73168, 18.13553,  0.21427,  0.01181,  0.01144
Cl, 78.58981, 78.58465, 78.60656, 78.61878, 78.62444, 78.62874, 78.61480,  0.01297,  0.00017,  0.00017
K, 13.39827, 11.22220, 11.25055, 11.28783, 11.60417, 13.39827, 11.59649,  0.64737,  0.05582,  0.04832
Ca, 10.18016,  9.77953,  9.79456,  9.79940,  9.85253, 10.18016,  9.85501,  0.11610,  0.01178,  0.01140
Ti,  1.65776,  1.57100,  1.57378,  1.57501,  1.58550,  1.65776,  1.58686,  0.02515,  0.01585,  0.01517
V, 13.79788, 12.35091, 12.37701, 12.39869, 12.60700, 13.79788, 12.60387,  0.42860,  0.03401,  0.03106
Mn,  5.29520,  3.91771,  3.93468,  3.95720,  4.15604,  5.29520,  4.15383,  0.40977,  0.09865,  0.07739
Fe,  1.88302,  1.40242,  1.40849,  1.41608,  1.48458,  1.88302,  1.48466,  0.14283,  0.09620,  0.07585
Zn, 18.72791, 15.66098, 15.69930, 15.75140, 16.20030, 18.72791, 16.18810,  0.91286,  0.05639,  0.04874
Br, 25.56229, 24.61149, 24.63096, 24.64931, 24.79197, 25.56229, 24.78226,  0.28051,  0.01132,  0.01097
Pb, 22.63926, 19.25105, 19.29361, 19.35189, 19.84854, 22.63926, 19.83423,  1.00841,  0.05084,  0.04454
BC, 16.17356, 12.18606, 12.22894, 12.29835, 12.88159, 16.17356, 12.86727,  1.18834,  0.09235,  0.07347

Factor 2,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 21.82221, 21.82221, 22.37179, 22.39343, 22.40045, 25.39872, 22.48802,  0.70823,  0.03149,  0.03245
Na,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Mg, 73.70800, 73.70800, 75.31935, 75.58976, 75.60702, 75.62733, 75.27469,  0.62830,  0.00835,  0.00852
Al, 79.01683, 79.01683, 81.00252, 81.07092, 81.10076, 81.20080, 80.82711,  0.59898,  0.00741,  0.00758
Si, 79.80462, 79.80462, 81.80434, 81.87692, 81.90805, 82.00404, 81.62906,  0.60377,  0.00740,  0.00757
P, 30.85121, 30.85121, 31.61943, 31.72814, 31.74812, 31.78905, 31.61446,  0.25927,  0.00820,  0.00840
S, 11.38581, 11.38581, 11.71449, 11.72148, 11.72987, 12.56008, 11.72858,  0.22034,  0.01879,  0.01935
Cl, 17.06338, 17.06338, 17.44081, 17.45657, 17.46187, 17.50270, 17.41260,  0.11483,  0.00659,  0.00673
K, 13.35805, 13.35805, 13.71076, 13.72325, 13.72864, 16.64836, 13.83817,  0.67279,  0.04862,  0.05037
Ca, 60.76229, 60.76229, 62.27974, 62.34097, 62.35235, 62.85948, 62.17729,  0.48452,  0.00779,  0.00797
