Acquisition date and time: 00-00-   0 (00:00:00)
Live Time:,        0
Real Time:,        0
 
Photopeaks:,    11
  12,      1.254,         71,         66,       0.66
  13,      1.487,        129,         65,       1.22
  14,      1.740,         20,         62,       1.20
  19,      3.313,         -3,         68,       0.92
  20,      3.691,        313,         79,       1.45
  24,      5.412,       1461,        177,       1.97
  26,      6.399,       1987,        234,       2.22
  29,      8.041,       7535,        432,       1.21
  30,      8.631,       2362,        418,       1.14
  45,      2.696,        586,         61,       1.57
  58,      4.838,        536,        226,       1.26
