Acquisition date and time: 00-00-   0 (00:00:00)
Live Time:,        0
Real Time:,        0
 
Photopeaks:,    14
  12,      1.254,        564,         75,       0.88
  13,      1.487,       1231,         81,       1.96
  14,      1.740,       3522,         95,       1.04
  15,      2.013,        479,         77,       2.01
  16,      2.307,       1861,         86,       0.90
  17,      2.622,       3740,        111,       2.07
  19,      3.313,      21765,        173,       1.78
  20,      3.691,      28857,        200,       2.85
  22,      4.509,       1928,        174,       1.41
  23,      4.950,        450,        161,       1.40
  24,      5.412,       1604,        186,       1.30
  25,      5.895,       2993,        217,       1.93
  45,      2.696,        747,         85,       1.06
  56,      4.464,        711,        232,       1.23
