Acquisition date and time: 00-00-   0 (00:00:00)
Live Time:,        0
Real Time:,        0
 
Photopeaks:,    14
  12,      1.254,        197,         66,       1.13
  13,      1.487,       1690,         80,       1.22
  14,      1.740,       4541,         97,       2.61
  15,      2.013,         64,         67,       1.12
  16,      2.307,       5815,        102,       1.73
  17,      2.622,       7290,        128,       1.55
  19,      3.313,      23767,        174,       2.33
  20,      3.691,      18009,        166,       2.46
  22,      4.509,       2991,        168,       1.71
  23,      4.950,        348,        149,       1.11
  24,      5.412,       1788,        166,       1.20
  25,      5.895,       1476,        191,       2.69
  45,      2.696,        883,         85,       1.75
  56,      4.464,        967,        212,       1.89
