Acquisition date and time: 00-00-   0 (00:00:00)
Live Time:,        0
Real Time:,        0
 
Photopeaks:,    14
  12,      1.254,        468,         77,       1.75
  13,      1.487,       9499,        128,       1.98
  14,      1.740,      35964,        210,       5.31
  15,      2.013,       1102,         95,       1.26
  16,      2.307,       9387,        130,       1.85
  17,      2.622,      21983,        198,       3.12
  19,      3.313,      60824,        265,       5.81
  20,      3.691,     146646,        389,       3.97
  22,      4.509,      23887,        253,       0.86
  23,      4.950,        382,        173,       0.91
  24,      5.412,       1781,        176,       1.02
  25,      5.895,       7361,        220,       5.31
  45,      2.696,        617,        114,       1.61
  56,      4.464,       1709,        247,       0.93
