Acquisition date and time: 00-00-   0 (00:00:00)
Live Time:,        0
Real Time:,        0
 
Photopeaks:,    14
  12,      1.254,        344,         76,       1.79
  13,      1.487,        485,         76,       1.61
  14,      1.740,        555,         75,       1.02
  15,      2.013,        224,         71,       1.48
  16,      2.307,        236,         72,       1.67
  17,      2.622,        126,         82,       2.26
  19,      3.313,        459,         83,       2.19
  20,      3.691,       4271,        115,       1.18
  22,      4.509,       -528,        175,       2.32
  23,      4.950,        329,        172,       1.63
  24,      5.412,       1920,        197,       1.81
  25,      5.895,       1372,        229,       3.62
  45,      2.696,        911,         77,       1.62
  56,      4.464,        824,        242,       2.24
