**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 18

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
Ti,  0.09896,  0.04089,  0.04704,  0.07281,  0.09732,  0.12206,  0.07372,  0.02594,  0.35187,  0.26215
V,  0.00201,  0.00072,  0.00092,  0.00169,  0.00195,  0.00225,  0.00154,  0.00050,  0.32409,  0.24933
Mn,  0.01711,  0.00624,  0.00847,  0.01226,  0.01688,  0.02147,  0.01271,  0.00463,  0.36441,  0.27066
Fe,  0.88164,  0.31141,  0.37537,  0.65253,  0.85657,  1.07380,  0.63812,  0.23963,  0.37552,  0.27180
Zn,  0.02281,  0.00000,  0.00266,  0.01744,  0.02433,  0.02789,  0.01570,  0.01028,  0.65509,  0.45085
Br,  0.00031,  0.00000,  0.00000,  0.00000,  0.00102,  0.01036,  0.00155,  0.00334,  2.15457, 10.59730
Pb,  0.01004,  0.00185,  0.00337,  0.00830,  0.01091,  0.01168,  0.00763,  0.00360,  0.47217,  0.35901
BC,  2.40820,  1.59730,  2.07353,  2.37890,  2.52155,  2.63520,  2.25941,  0.32231,  0.14265,  0.13384

Factor 4,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 51.06200, 38.95900, 43.57775, 47.00050, 51.74150, 57.80700, 48.07125,  5.16143,  0.10737,  0.10108
Na,  0.00000,  0.00000,  0.00000,  0.00000,  0.01884,  7.45080,  0.38434,  1.66359,  4.32844,  0.00000
Mg,  0.09063,  0.00000,  0.00008,  0.06146,  0.11240,  0.71516,  0.15996,  0.25141,  1.57174,  2.77413
Al,  0.95763,  0.45618,  0.60613,  0.84903,  1.14278,  4.08890,  1.28323,  1.10772,  0.86323,  1.15673
Si,  2.42060,  1.04440,  1.22170,  2.13130,  2.86038, 10.75200,  3.22681,  3.04468,  0.94356,  1.25782
P,  0.00014,  0.00001,  0.00056,  0.00298,  0.01168,  0.01472,  0.00513,  0.00537,  1.04673, 39.26203
S,  0.06775,  0.03389,  0.06432,  0.10479,  0.20277,  0.38435,  0.15026,  0.12024,  0.80023,  1.77473
Cl,  0.14017,  0.00000,  0.02350,  0.10734,  0.13005,  0.25667,  0.08939,  0.06649,  0.74382,  0.47435
K,  0.96071,  0.47229,  0.70567,  0.96189,  1.10295,  1.15200,  0.91287,  0.21138,  0.23156,  0.22002
Ca,  0.79192,  0.56980,  0.58643,  0.73923,  0.86975,  1.28800,  0.76446,  0.19895,  0.26025,  0.25123
Ti,  0.11973,  0.08303,  0.08803,  0.12051,  0.13554,  0.25236,  0.12425,  0.04435,  0.35691,  0.37038
V,  0.00237,  0.00182,  0.00203,  0.00218,  0.00246,  0.00364,  0.00230,  0.00041,  0.17888,  0.17321
Mn,  0.01990,  0.01353,  0.01439,  0.02012,  0.02277,  0.04517,  0.02116,  0.00854,  0.40344,  0.42914
Fe,  1.15910,  0.83328,  0.87615,  1.14920,  1.30583,  2.18560,  1.17474,  0.35392,  0.30128,  0.30534
Zn,  0.03299,  0.00000,  0.01977,  0.03318,  0.03702,  0.03810,  0.02763,  0.01332,  0.48206,  0.40372
Br,  0.00784,  0.00000,  0.00186,  0.00451,  0.00594,  0.00784,  0.00402,  0.00243,  0.60404,  0.30995
Pb,  0.01097,  0.00089,  0.00677,  0.01093,  0.01253,  0.01360,  0.00941,  0.00436,  0.46319,  0.39743
BC,  0.00000,  0.00000,  0.04462,  0.12336,  0.54576,  1.00910,  0.28964,  0.37130,  1.28195,  0.00000

Factor 5,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,  4.29650,  1.46920,  2.80865,  6.90315, 12.04775, 20.31400,  8.00205,  5.45755,  0.68202,  1.27023
Na,  0.01528,  0.00000,  0.00972,  0.01784,  0.02709,  0.34864,  0.07023,  0.11912,  1.69604,  7.79514
Mg,  0.07477,  0.02008,  0.02825,  0.04781,  0.10072,  0.17067,  0.06556,  0.04588,  0.69986,  0.61365
Al,  0.31250,  0.08424,  0.16725,  0.19559,  0.51997,  0.95708,  0.32428,  0.25764,  0.79450,  0.82445
Si,  0.80329,  0.14948,  0.35390,  0.47800,  1.36068,  2.39540,  0.80755,  0.68590,  0.84936,  0.85386
P,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00327,  0.00049,  0.00111,  2.26408,  0.00000
S,  0.14307,  0.09728,  0.11297,  0.13740,  0.17016,  0.23485,  0.14596,  0.03974,  0.27230,  0.27780
Cl,  0.03533,  0.00126,  0.02223,  0.04045,  0.06441,  0.11684,  0.04339,  0.03002,  0.69170,  0.84968
K,  0.16752,  0.10371,  0.12821,  0.25827,  0.28981,  0.48154,  0.24355,  0.10570,  0.43398,  0.63094
Ca,  0.09770,  0.04233,  0.05832,  0.10534,  0.22687,  0.38731,  0.14389,  0.10031,  0.69715,  1.02676
Ti,  0.01210,  0.00303,  0.00506,  0.01097,  0.03361,  0.05828,  0.01847,  0.01749,  0.94706,  1.44557
V,  0.00036,  0.00019,  0.00024,  0.00041,  0.00071,  0.00124,  0.00051,  0.00030,  0.58292,  0.82177
Mn,  0.00154,  0.00002,  0.00025,  0.00119,  0.00540,  0.00933,  0.00259,  0.00309,  1.19356,  2.00582
Fe,  0.10512,  0.02306,  0.05030,  0.10375,  0.30889,  0.52889,  0.17130,  0.15806,  0.92271,  1.50357
Zn,  0.00066,  0.00000,  0.00017,  0.00451,  0.00636,  0.00906,  0.00400,  0.00308,  0.77000,  4.67408
Br,  0.02800,  0.02072,  0.02335,  0.02489,  0.02797,  0.03203,  0.02561,  0.00326,  0.12735,  0.11650
Pb,  0.00232,  0.00155,  0.00193,  0.00318,  0.00418,  0.00563,  0.00326,  0.00127,  0.38986,  0.54750
BC,  0.38718,  0.18887,  0.29263,  0.37757,  0.48056,  0.67806,  0.38951,  0.13162,  0.33790,  0.33993

Percent of Species Sum

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 41.51897, 34.09597, 40.89820, 42.09990, 58.82144, 64.52322, 46.54317, 10.70338,  0.22997,  0.25779
Na,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000, 87.34639, 12.94041, 31.60653,  2.44247,  0.00000
Mg, 70.81266, 19.26842, 69.65385, 71.07014, 72.13272, 73.66076, 62.28369, 19.33135,  0.31038,  0.27299
Al, 61.42514, 23.81439, 55.62647, 61.71187, 65.33519, 67.92654, 55.86023, 14.76066,  0.26424,  0.24030
Si, 65.12425, 25.03163, 59.71500, 65.61067, 69.21935, 71.76226, 59.27961, 15.71196,  0.26505,  0.24126
P, 30.64166,  4.06963, 21.34123, 24.45850, 27.10100, 30.91710, 22.95206,  6.87915,  0.29972,  0.22450
S, 11.62889,  3.32500,  7.05683,  9.19136, 11.54571, 12.75111,  8.83127,  2.75979,  0.31250,  0.23732
Cl, 37.04051,  0.36950, 28.69528, 40.07351, 46.33797, 48.05554, 34.92295, 14.52947,  0.41604,  0.39226
K, 25.01404, 23.90701, 24.87179, 25.60033, 44.85801, 48.63801, 31.90781, 10.11617,  0.31704,  0.40442
Ca, 50.21096, 30.87563, 44.31068, 51.16845, 63.84131, 68.01656, 51.67029, 11.60753,  0.22465,  0.23118
Ti, 55.75079, 33.88148, 46.22257, 56.35138, 66.68197, 70.52294, 55.29120, 11.72241,  0.21201,  0.21026
V, 45.91811, 29.95463, 40.43723, 46.56651, 58.91230, 63.20290, 47.76161, 10.34631,  0.21662,  0.22532
Mn, 58.27636, 33.97238, 49.55257, 58.76139, 68.67994, 72.46979, 57.25216, 12.17012,  0.21257,  0.20883
Fe, 54.11967, 33.87335, 46.00174, 54.76434, 66.33491, 70.42431, 54.59204, 11.53705,  0.21133,  0.21318
Zn,  0.00000,  0.00000,  0.00001,  4.48004, 39.41775, 46.12195, 16.61616, 18.65875,  1.12293,3744547.75348
Br,  2.53469,  0.00000,  3.20321, 10.95036, 17.92912, 19.52409, 10.45185,  7.27964,  0.69649,  2.87201
Pb,  3.24256,  2.56040,  3.26751,  5.53129, 33.63727, 35.69910, 15.39410, 14.02861,  0.91130,  4.32640
BC, 13.28140,  0.00000,  4.40279,  8.24864, 11.10333, 13.28140,  7.59046,  4.36915,  0.57561,  0.32897

Factor 2,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,  3.58383,  0.81072,  1.90645,  3.57080,  6.74194, 14.73737,  4.81316,  3.82286,  0.79425,  1.06670
Na, 55.66550,  3.87764, 54.17553, 54.67450, 56.68989, 61.15554, 45.81917, 21.34500,  0.46585,  0.38345
Mg,  0.00457,  0.00000,  0.01859,  5.28293,  9.72093, 17.12340,  6.07432,  6.05364,  0.99660,1325.09572
Al,  2.32141,  2.09718,  2.32153,  6.49811,  9.42508, 17.79776,  7.03007,  5.15834,  0.73375,  2.22207
