ACC295,98.5,
ACC296,28.6,
ACC297,11.5,
ACC298,17.5,
ACC299,100.5,
ACC300,27,
ACC301,15,
ACC302,25,
ACC303,16.4,
ACC304,13.8,
ACC305,38,
ACC306,17.7,
ACC307,99.5,
ACC308,26.5,
ACC309,21.9,
ACC311,97.8,
ACC312,22,
ACC313,40.5,
ACC314,34.9,
ACC315,39.6,
ACC316,19.5,
ACC317,27,
ACC318,21.2,
ACC319,42.1,furado
ACC320,36.8,
ACC321,38.7,
ACC322,19.6,
ACC323,37,
ACC324,19,
ACC325,16.8,
ACC326,12.5,
ACC327,28.9,
ACC328,25.2,
ACC329,19.8,
ACC330,15.6,
ACC331,31.2,
ACC332,16.7,
ACC333,36.7,
ACC334,22.5,
ACC335,20,
ACC336,21,
ACC337,19.5,
ACC338,45.5,
ACC339,23.9,
ACC340,34.5,
ACC341,36.8,
ACC342,37.1,
ACC343,31.4,
ACC344,11,
ACC345,25.7,
ACC346,98,
ACC347,10.8,
ACC348,30.1,furado
ACC349,39.5,
ACC350,17,
ACC351,21.5,
ACC352,33.1,
ACC353,29.6,
ACC354,33.7,
ACC355,33.5,
ACC356,34.9,furado
ACC357,34.8,
ACC358,27.1,
ACC359,19.3,
ACC360,29.1,
ACC361,17.1,
ACC362,24,
ACC363,35.9,
ACC364,32.7,
ACC365,32.4,
ACC366,25.4,
ACC367,56.7,
ACC368,24.2,
ACC369,23.6,
ACC370,21.8,
ACC371,38.8,
ACC372,32.4,
ACC373,98.4,
ACC374,30.3,
ACC375,30.6,
ACC376,35.2,
ACC377,31.6,
ACC378,23.7,
ACC379,33.3,
ACC380,30.2,
ACC381,19.1,
ACC382,23,
ACC383,18,
ACC384,33.5,
ACC385,27.2,
ACC386,97.3,
ACC387,18.8,
ACC388,20.8,
ACC390,35.3,
ACC391,16.8,
ACC392,24.6,
ACC393,19.9,
ACC394,29.9,
ACC395,32.8,
ACC396,98,
ACC397,42.6,
ACC398,29.6,
ACC399,27.8,
ACC400,28.1,furado
ACC401,17.7,
ACC402,26.2,
ACC403,25.4,
ACC404,19.2,
ACC405,100.4,
ACC406,29,
ACC407,25,
ACC408,13.7,furado
ACC409,32.3,
ACC410,31.4,
ACC411,16.3,
ACC412,16.2,
ACC413,34.5,
ACC414,34.8,
ACC415,39.5,
ACC416,33.3,
ACC417,45,
ACC418,25.6,
ACC419,31.7,
ACC420,42,
ACC421,25.4,
ACC422,38.2,
ACC423,37.9,
ACC424,22.8,
ACC425,40.8,
ACC426,29.4,
ACC428,22.2,
ACC429,31,
ACC430,28.2,
ACC431,28.7,
ACC432,38.1,
ACC433,40.2,
ACC434,31,
ACC435,30.9,
ACC436,24.5,
ACC437,97.4,
ACC438,23.2,
ACC439,26,
ACC440,29.4,
ACC441,28.1,
ACC442,15.8,
ACC443,96.2,
ACC444,17.6,
ACC445,20.5,
ACC446,29.1,
